bin,freq(Hz),pow(dB/Hz)
1,0,-6.107879773562238
2,5.38330078125,-6.246238897211073
3,10.7666015625,-6.602680275149111
4,16.14990234375,-6.903792463889545
5,21.533203125,-6.664432839927528
6,26.91650390625,-5.692586518903155
7,32.2998046875,-4.513559193095449
8,37.68310546875,-4.0115042058406525
9,43.06640625,-5.123923666920197
10,48.44970703125,-9.247875500638456
11,53.8330078125,-10.784381430667304
12,59.21630859375,-3.0528031893079484
13,64.599609375,1.345530214979025
14,69.98291015625,3.604307936061828
15,75.3662109375,4.399708809833797
16,80.74951171875,3.991351574893317
17,86.1328125,2.4918887199820885
18,91.51611328125,-0.004960745546530109
19,96.8994140625,-3.2466779528361034
20,102.28271484375,-6.410408483128326
21,107.666015625,-8.09147238753758
22,113.04931640625,-8.199094231177334
23,118.4326171875,-7.803629991085829
24,123.81591796875,-7.389188149047341
25,129.19921875,-7.022025292138224
26,134.58251953125,-6.8257232168536275
27,139.9658203125,-7.085522150005682
28,145.34912109375,-8.170614476937674
29,150.732421875,-10.594594613403817
30,156.11572265625,-15.20140852070665
31,161.4990234375,-19.656302214907065
32,166.88232421875,-15.645307736840891
33,172.265625,-13.266044148409877
34,177.64892578125,-13.306198254653157
35,183.0322265625,-14.474287204984986
36,188.41552734375,-14.386626893736416
37,193.798828125,-12.7471324912902
38,199.18212890625,-11.452298838111172
39,204.5654296875,-11.031722895804004
40,209.94873046875,-11.305222241126916
41,215.33203125,-11.982605464550545
42,220.71533203125,-12.883856894297441
43,226.0986328125,-14.101417929013824
44,231.48193359375,-15.982230268900526
45,236.865234375,-18.917368393837762
46,242.24853515625,-22.515717934470203
47,247.6318359375,-23.09246406180248
48,253.01513671875,-20.638879562862623
49,258.3984375,-18.551835444834413
50,263.78173828125,-17.174301162135777
51,269.1650390625,-16.35874504116356
52,274.54833984375,-16.035731074355667
53,279.931640625,-16.168097931417993
54,285.31494140625,-16.766190124477095
55,290.6982421875,-17.90712333340557
56,296.08154296875,-19.62056632265304
57,301.46484375,-21.55624066115991
58,306.84814453125,-22.69958651906356
59,312.2314453125,-22.621284589046503
60,317.61474609375,-22.471595815620525
61,322.998046875,-23.43301010314615
62,328.38134765625,-26.61017098585119
63,333.7646484375,-34.75339094919824
64,339.14794921875,-30.771673340556546
65,344.53125,-23.93990896569591
66,349.91455078125,-20.56888937052619
67,355.2978515625,-18.749189523008567
68,360.68115234375,-17.91523651251312
69,366.064453125,-17.866748641282882
70,371.44775390625,-18.455140263351616
71,376.8310546875,-19.390778636788074
72,382.21435546875,-20.096517520493528
73,387.59765625,-19.90264579400864
74,392.98095703125,-18.894785594591433
75,398.3642578125,-17.861146486412956
76,403.74755859375,-17.313915481421954
77,409.130859375,-17.270706200438322
78,414.51416015625,-17.513375930403374
79,419.8974609375,-18.059563531567655
80,425.28076171875,-19.566946783669547
81,430.6640625,-23.692016117012148
82,436.04736328125,-40.93871057521419
83,441.4306640625,-24.48011704184234
84,446.81396484375,-18.819997696761696
85,452.197265625,-16.743846495349008
86,457.58056640625,-16.551384195104394
87,462.9638671875,-17.7385715948061
88,468.34716796875,-20.118323502563726
89,473.73046875,-23.51337013809424
90,479.11376953125,-27.704157793363024
91,484.4970703125,-31.210588768746533
92,489.88037109375,-25.74266021999812
93,495.263671875,-20.506296571135675
94,500.64697265625,-17.702742661042894
95,506.0302734375,-16.686889919183336
96,511.41357421875,-17.058407294772163
