bin,freq(Hz),pow(dB/Hz)
1,0,-16.633430308282396
2,5.38330078125,-17.523964614869087
3,10.7666015625,-20.037307398709075
4,16.14990234375,-23.249656217611133
5,21.533203125,-23.742659043499547
6,26.91650390625,-20.338009307562306
7,32.2998046875,-16.50688223198076
8,37.68310546875,-13.557695974848482
9,43.06640625,-12.1199302754423
10,48.44970703125,-13.228514901553703
11,53.8330078125,-18.091101030090613
12,59.21630859375,-11.281997322617414
13,64.599609375,-5.013486150193427
14,69.98291015625,-2.200768812799036
15,75.3662109375,-1.6241929477549175
16,80.74951171875,-2.560493228503638
17,86.1328125,-4.049599946441116
18,91.51611328125,-4.910113810758341
19,96.8994140625,-4.9252671571862
20,102.28271484375,-4.961218493067929
21,107.666015625,-5.745760029318944
22,113.04931640625,-7.56833805042664
23,118.4326171875,-10.607855049129572
24,123.81591796875,-15.639205210021759
25,129.19921875,-28.467697146299177
26,134.58251953125,-21.111900884640708
27,139.9658203125,-14.515009842492512
28,145.34912109375,-12.065816694503493
29,150.732421875,-11.5113109305064
30,156.11572265625,-12.162410502421292
31,161.4990234375,-13.504081796103513
32,166.88232421875,-14.853248827848935
33,172.265625,-15.791007872974081
34,177.64892578125,-16.68517859147105
35,183.0322265625,-17.99015897984626
36,188.41552734375,-19.713109155063204
37,193.798828125,-21.251763856436998
38,199.18212890625,-21.365716111211377
39,204.5654296875,-20.02498410390851
40,209.94873046875,-18.718433162317595
41,215.33203125,-18.24570547985675
42,220.71533203125,-18.53194888662747
43,226.0986328125,-19.06279011330416
44,231.48193359375,-19.4360816834023
45,236.865234375,-19.848822510700664
46,242.24853515625,-20.756521825462816
47,247.6318359375,-21.79205829322779
48,253.01513671875,-21.200014940714528
49,258.3984375,-19.492847991287906
50,263.78173828125,-18.691855107165242
51,269.1650390625,-19.466750466633023
52,274.54833984375,-21.936625956243564
53,279.931640625,-26.06319163644955
54,285.31494140625,-31.424788886685505
55,290.6982421875,-35.58250644579089
56,296.08154296875,-31.18610647323489
57,301.46484375,-26.38054329065878
58,306.84814453125,-23.75984490604448
59,312.2314453125,-22.242279029437753
60,317.61474609375,-20.66982819391157
61,322.998046875,-19.182040077321812
62,328.38134765625,-18.612103849528996
63,333.7646484375,-19.284501425586246
64,339.14794921875,-20.93490179993192
65,344.53125,-22.648140166718882
66,349.91455078125,-23.427071926805976
67,355.2978515625,-23.63015924529701
68,360.68115234375,-24.33978393674029
69,366.064453125,-25.84287342302471
70,371.44775390625,-26.25997204694314
71,376.8310546875,-24.653646226197434
72,382.21435546875,-23.472376957661623
73,387.59765625,-23.70869410586682
74,392.98095703125,-25.777850736474722
75,398.3642578125,-29.628959472992
76,403.74755859375,-28.928010821028487
77,409.130859375,-25.585062986169092
78,414.51416015625,-24.550771037648342
79,419.8974609375,-25.495804675285342
80,425.28076171875,-27.317938924235357
81,430.6640625,-28.084618114894155
82,436.04736328125,-28.064197675722184
83,441.4306640625,-28.869665080692698
84,446.81396484375,-29.908270536760917
85,452.197265625,-28.720229849059944
86,457.58056640625,-25.598828372760906
87,462.9638671875,-22.88674428417396
88,468.34716796875,-21.772023983701363
89,473.73046875,-22.734546398150314
90,479.11376953125,-26.377318808363015
91,484.4970703125,-35.297730349203434
92,489.88037109375,-41.53584091733636
93,495.263671875,-32.658850961608785
94,500.64697265625,-30.87673271122597
95,506.0302734375,-31.171800284264435
96,511.41357421875,-32.699006253933845
97,516.796875,-35.370091211097424
98,522.18017578125,-39.48728283655841
99,527.5634765625,-44.03264847925058
100,532.94677734375,-42.3212582235594
101,538.330078125,-40.277413876537324
102,543.71337890625,-41.9796212378164
103,549.0966796875,-49.19644850738127
104,554.47998046875,-45.802362052945746
105,559.86328125,-38.29095298009995
106,565.24658203125,-33.03135397304559
107,570.6298828125,-30.134624841921067
108,576.01318359375,-29.415904140034147
109,581.396484375,-30.08861790782482
110,586.77978515625,-30.454103848878432
111,592.1630859375,-29.834125944833055
112,597.54638671875,-29.638075880695453
113,602.9296875,-30.611365264001314
114,608.31298828125,-32.02600186653182
115,613.6962890625,-31.273976579415425
116,619.07958984375,-29.585027473532215
117,624.462890625,-29.288884295943824
118,629.84619140625,-29.1837722048255
119,635.2294921875,-27.2471899528912
120,640.61279296875,-25.33968058676274
121,645.99609375,-24.73254808972144
122,651.37939453125,-25.340786105650185
123,656.7626953125,-26.75716024388032
124,662.14599609375,-28.254973066847633
125,667.529296875,-28.984255428420163
126,672.91259765625,-29.09983553045062
127,678.2958984375,-29.065598721123855
128,683.67919921875,-28.37740790338751
129,689.0625,-26.96157722193547
130,694.44580078125,-25.8820725045155
131,699.8291015625,-25.737663001802797
132,705.21240234375,-26.240873956417204
133,710.595703125,-26.61511600992337
134,715.97900390625,-26.672643345605664
135,721.3623046875,-26.662051690992612
136,726.74560546875,-26.15025484345047
137,732.12890625,-24.93456889128367
138,737.51220703125,-23.89989229000706
139,742.8955078125,-24.06368796917116
140,748.27880859375,-26.26747949139631
141,753.662109375,-31.723823394541085
142,759.04541015625,-38.19572239206447
143,764.4287109375,-34.300745566452726
144,769.81201171875,-35.01366260342303
145,775.1953125,-40.21139379822104
146,780.57861328125,-32.74652030055674
147,785.9619140625,-27.961924985138197
148,791.34521484375,-26.54235249276227
149,796.728515625,-27.65875545224761
150,802.11181640625,-31.253832392516717
151,807.4951171875,-33.2263328401216
152,812.87841796875,-28.54450538879761
153,818.26171875,-25.221171391703688
154,823.64501953125,-23.906666972504723
155,829.0283203125,-24.38143142643762
156,834.41162109375,-26.837075481158056
157,839.794921875,-32.211179573624385
158,845.17822265625,-37.77843241345828
159,850.5615234375,-31.772149123898682
160,855.94482421875,-28.62828086139934
161,861.328125,-27.24931270169412
162,866.71142578125,-26.152068083215873
163,872.0947265625,-24.849443973643503
164,877.47802734375,-23.660023327386757
165,882.861328125,-22.979183959852403
166,888.24462890625,-23.110146285993668
167,893.6279296875,-24.337096801771388
168,899.01123046875,-26.985171024821373
169,904.39453125,-31.382158348116
170,909.77783203125,-35.00196919977958
171,915.1611328125,-32.236209386589394
172,920.54443359375,-29.44137286488115
173,925.927734375,-27.89192663974232
174,931.31103515625,-27.16686525461567
175,936.6943359375,-26.902956257177223
176,942.07763671875,-26.477836730503917
177,947.4609375,-25.66392297366955
178,952.84423828125,-25.019218556765367
179,958.2275390625,-24.807626521857177
180,963.61083984375,-24.696444684995058
181,968.994140625,-24.382760621593288
182,974.37744140625,-24.062479859640455
183,979.7607421875,-24.107291013087824
184,985.14404296875,-24.728247754465073
185,990.52734375,-25.89232842706955
186,995.91064453125,-27.047597161842674
187,1001.2939453125,-27.089146708195617
188,1006.67724609375,-25.886898754958537
189,1012.060546875,-24.384036074406676
190,1017.44384765625,-23.189105619032144
191,1022.8271484375,-22.5245534169373
192,1028.21044921875,-22.300838527970757
193,1033.59375,-22.076190056353155
194,1038.97705078125,-21.405234295554152
195,1044.3603515625,-20.442822454014966
196,1049.74365234375,-19.696195222564004
197,1055.126953125,-19.44114565586773
198,1060.51025390625,-19.635121388949045
199,1065.8935546875,-20.043852245946994
200,1071.27685546875,-20.403797735910413
201,1076.66015625,-20.611847975069946
202,1082.04345703125,-20.773634411434667
203,1087.4267578125,-21.02122289136634
204,1092.81005859375,-21.37583190320727
205,1098.193359375,-21.77559830144133
206,1103.57666015625,-22.111690087329585
207,1108.9599609375,-22.28250826656161
208,1114.34326171875,-22.368164945387772
209,1119.7265625,-22.617524731413326
210,1125.10986328125,-23.069082603254806
211,1130.4931640625,-23.294206858953732
212,1135.87646484375,-22.97870743797315
213,1141.259765625,-22.574705735767374
214,1146.64306640625,-22.565076192855177
215,1152.0263671875,-22.874483335518327
216,1157.40966796875,-22.955895588434867
217,1162.79296875,-22.411867578839395
218,1168.17626953125,-21.644095936461255
219,1173.5595703125,-21.29682432137317
220,1178.94287109375,-21.63252872786799
221,1184.326171875,-22.4318663633432
222,1189.70947265625,-23.04330984562935
223,1195.0927734375,-23.016370020556757
224,1200.47607421875,-22.673073561004898
225,1205.859375,-22.30966388036443
226,1211.24267578125,-21.825218408038417
227,1216.6259765625,-21.36614687434294
228,1222.00927734375,-21.41862588390505
229,1227.392578125,-22.23699546216143
230,1232.77587890625,-23.402774021316635
231,1238.1591796875,-23.73917909828637
232,1243.54248046875,-23.074011260480614
233,1248.92578125,-22.58447003085565
234,1254.30908203125,-22.780607452796673
235,1259.6923828125,-23.33259782893503
236,1265.07568359375,-23.57355650038322
237,1270.458984375,-23.215583657221007
238,1275.84228515625,-22.5424037834065
239,1281.2255859375,-21.9241566192537
240,1286.60888671875,-21.55103327700505
241,1291.9921875,-21.355229745091393
242,1297.37548828125,-21.038281803078153
243,1302.7587890625,-20.394681523242213
244,1308.14208984375,-19.52949774191321
245,1313.525390625,-18.503876794723922
246,1318.90869140625,-17.252968404594313
247,1324.2919921875,-15.92878219094908
248,1329.67529296875,-14.834967972341955
249,1335.05859375,-14.15892985965112
250,1340.44189453125,-13.933950035435867
251,1345.8251953125,-14.078819288487859
252,1351.20849609375,-14.373416268566828
253,1356.591796875,-14.446930649423951
254,1361.97509765625,-14.031810639942
255,1367.3583984375,-13.28260157585767
256,1372.74169921875,-12.561411274429933
257,1378.125,-12.08674927056758
258,1383.50830078125,-11.88070923114077
259,1388.8916015625,-11.863188823975579
260,1394.27490234375,-11.956021618467023
261,1399.658203125,-12.109321145718566
262,1405.04150390625,-12.250665673901658
263,1410.4248046875,-12.287624332957137
264,1415.80810546875,-12.177523684688223
265,1421.19140625,-11.92323381631676
266,1426.57470703125,-11.554918782237358
267,1431.9580078125,-11.221165642029344
268,1437.34130859375,-11.183770897791685
269,1442.724609375,-11.656902768808735
270,1448.10791015625,-12.702871601086624
271,1453.4912109375,-14.211029684980371
272,1458.87451171875,-15.922370298257595
273,1464.2578125,-17.57737570285208
