bin,freq(Hz),pow(dB/Hz)
1,0,1.8953904198161986
2,10.7666015625,8.580205362216486
3,21.533203125,14.587565984832569
4,32.2998046875,18.812023973620274
5,43.06640625,21.819228810176394
6,53.8330078125,23.784400103725673
7,64.599609375,24.83076176714469
8,75.3662109375,25.11080976803202
9,86.1328125,24.784198170587317
10,96.8994140625,23.938162722699417
11,107.666015625,22.54018867831039
12,118.4326171875,20.49258740552858
13,129.19921875,17.724570455594314
14,139.9658203125,14.24219119044118
15,150.732421875,10.161718238182907
16,161.4990234375,5.8248820815554865
17,172.265625,1.9724373780508653
18,183.0322265625,-0.5956550597229401
19,193.798828125,-1.8912373711037542
20,204.5654296875,-2.4977879345934864
21,215.33203125,-2.8438442640071013
22,226.0986328125,-3.122989186816641
23,236.865234375,-3.510219305720269
24,247.6318359375,-4.276824327344251
25,258.3984375,-5.739531912514748
26,269.1650390625,-8.221297277336872
27,279.931640625,-12.112372282888854
28,290.6982421875,-18.064534107855096
29,301.46484375,-27.88360028727109
30,312.2314453125,-30.26264289317824
31,322.998046875,-22.306022849794857
32,333.7646484375,-18.007680520222486
33,344.53125,-15.40938925867431
34,355.2978515625,-13.425827045826077
35,366.064453125,-11.30610443852194
36,376.8310546875,-9.191598606718404
37,387.59765625,-7.656966935527465
38,398.3642578125,-7.02314328425466
39,409.130859375,-7.209111036964051
40,419.8974609375,-7.66168363869673
41,430.6640625,-7.7867618782930395
42,441.4306640625,-8.00047150123693
43,452.197265625,-9.367820322742391
44,462.9638671875,-13.004697206092022
45,473.73046875,-20.95719150031657
46,484.4970703125,-23.067697732036436
47,495.263671875,-18.788203318451096
48,506.0302734375,-18.906089972598792
49,516.796875,-20.46299601336483
50,527.5634765625,-22.71929617391562
51,538.330078125,-26.889276028226526
52,549.0966796875,-17.244890972482146
53,559.86328125,-10.645562136961345
54,570.6298828125,-7.111546277174705
55,581.396484375,-5.618980536453055
56,592.1630859375,-5.816315321177388
57,602.9296875,-7.47426138388816
58,613.6962890625,-9.697140040996384
59,624.462890625,-10.166822676576556
60,635.2294921875,-9.12417216027382
61,645.99609375,-8.629460925222663
62,656.7626953125,-9.185406405012191
63,667.529296875,-10.721432034206195
64,678.2958984375,-13.15457227407773
65,689.0625,-16.449629962845805
66,699.8291015625,-20.411410666335676
67,710.595703125,-24.558461593029204
68,721.3623046875,-29.549033039190768
69,732.12890625,-37.93607975628868
70,742.8955078125,-27.82205416661413
71,753.662109375,-20.36676613352702
72,764.4287109375,-15.480394744606743
73,775.1953125,-12.19670296432444
74,785.9619140625,-10.158342242724236
75,796.728515625,-9.087263974569597
76,807.4951171875,-8.675988032178806
77,818.26171875,-8.581654935256118
78,829.0283203125,-8.539499225312056
79,839.794921875,-8.510329883804719
80,850.5615234375,-8.640837027494399
81,861.328125,-9.054018661659452
82,872.0947265625,-9.689705978357136
83,882.861328125,-10.32797372829518
84,893.6279296875,-10.770251915072453
85,904.39453125,-10.926338626336616
86,915.1611328125,-10.715945176806672
87,925.927734375,-10.138311305766406
88,936.6943359375,-9.457625079878717
89,947.4609375,-9.006968605044666
90,958.2275390625,-8.947593705612922
91,968.994140625,-9.341089319653799
92,979.7607421875,-10.328681092518162
93,990.52734375,-12.17976523544748
94,1001.2939453125,-15.218510949980999
95,1012.060546875,-20.00587368728055
96,1022.8271484375,-28.053249976794163
97,1033.59375,-24.4475858116304
98,1044.3603515625,-18.25468896025092
99,1055.126953125,-14.842867019896385
100,1065.8935546875,-12.69531522813831
101,1076.66015625,-11.343229996200249
102,1087.4267578125,-10.839234067055417
103,1098.193359375,-11.420959753394534
104,1108.9599609375,-12.918064349465897
105,1119.7265625,-13.340622213206759
106,1130.4931640625,-11.45792246985361
107,1141.259765625,-9.785217856752293
108,1152.0263671875,-9.537783643425731
109,1162.79296875,-11.258121631647143
110,1173.5595703125,-15.922194695236321
111,1184.326171875,-16.70381212534699
112,1195.0927734375,-11.091427972186684
113,1205.859375,-8.545509068394757
114,1216.6259765625,-8.112846154065856
115,1227.392578125,-8.926046336123715
116,1238.1591796875,-10.157326640272707
117,1248.92578125,-11.035726300015963
118,1259.6923828125,-11.651204049585676
119,1270.458984375,-12.767927872901648
120,1281.2255859375,-14.625442335115174
121,1291.9921875,-16.455717762241704
122,1302.7587890625,-16.22231734420766
123,1313.525390625,-13.582254673098381
124,1324.2919921875,-11.461810174420004
125,1335.05859375,-11.02676010816076
126,1345.8251953125,-12.412948424908834
127,1356.591796875,-15.012362909175426
128,1367.3583984375,-12.732313352532813
129,1378.125,-8.138082573116321
130,1388.8916015625,-5.4097044322762144
131,1399.658203125,-3.8000129210880607
132,1410.4248046875,-2.566720660379167
133,1421.19140625,-2.063535714910745
134,1431.9580078125,-2.908323220549624
135,1442.724609375,-5.009186269558073
136,1453.4912109375,-7.346603613960399
137,1464.2578125,-8.609732141847404
138,1475.0244140625,-6.788003619581053
139,1485.791015625,-4.168640845125434
140,1496.5576171875,-2.426857940168063
141,1507.32421875,0.010414306790537124
142,1518.0908203125,2.6233914106827765
143,1528.857421875,3.854890275474034
144,1539.6240234375,3.5182130045894153
145,1550.390625,2.2775093864048186
146,1561.1572265625,0.8519922131714752
147,1571.923828125,-0.5565177058763263
148,1582.6904296875,-0.3948610787759568
149,1593.45703125,1.114218968906368
150,1604.2236328125,1.4263867647917232
151,1614.990234375,0.17561312792811662
152,1625.7568359375,-1.595642670129258
153,1636.5234375,-3.6071914165906915
154,1647.2900390625,-6.669772752839246
155,1658.056640625,-6.702934373653812
156,1668.8232421875,-4.545199758390424
157,1679.58984375,-3.660766957069499
158,1690.3564453125,-2.349543971500704
159,1701.123046875,-1.196781785855817
160,1711.8896484375,-1.7059229471674593
161,1722.65625,-3.026065101931603
162,1733.4228515625,-2.7904451960511993
163,1744.189453125,-2.489761994995952
164,1754.9560546875,-3.6564941349493623
165,1765.72265625,-5.479303088435654
166,1776.4892578125,-7.70791430529915
167,1787.255859375,-10.515967551836152
168,1798.0224609375,-7.630834023260498
169,1808.7890625,-5.0934441600433535
170,1819.5556640625,-5.911380675828335
171,1830.322265625,-9.001239532094159
172,1841.0888671875,-10.318502908939461
173,1851.85546875,-8.723477741307416
174,1862.6220703125,-3.8314758719362816
175,1873.388671875,0.27389891367879443
176,1884.1552734375,2.7150228694609813
177,1894.921875,4.877213330994222
178,1905.6884765625,7.210921910894951
179,1916.455078125,8.73039342381642
180,1927.2216796875,8.812844360464174
181,1937.98828125,7.409155780863345
182,1948.7548828125,4.780689510124007
183,1959.521484375,1.2610088060089226
184,1970.2880859375,-0.6986116420846729
185,1981.0546875,2.9207716780272137
186,1991.8212890625,6.029766536896003
187,2002.587890625,7.627917783935025
188,2013.3544921875,9.197138061937096
189,2024.12109375,11.083501820114101
190,2034.8876953125,12.194148675464842
191,2045.654296875,12.1052434493349
192,2056.4208984375,11.370545929943267
193,2067.1875,10.834989343688832
194,2077.9541015625,10.500071115184664
195,2088.720703125,10.69918182890419
196,2099.4873046875,12.06669571025537
197,2110.25390625,13.247147599961151
198,2121.0205078125,13.05400512009902
199,2131.787109375,11.40293406451667
200,2142.5537109375,9.250334573008637
201,2153.3203125,7.881306480656846
202,2164.0869140625,6.475861651832036
203,2174.853515625,4.509227547174877
204,2185.6201171875,3.6217531527479823
205,2196.38671875,4.039813471463572
206,2207.1533203125,7.0552709893393395
207,2217.919921875,11.104088599990547
208,2228.6865234375,13.583901604644367
209,2239.453125,14.533026295258505
210,2250.2197265625,15.030811142214953
211,2260.986328125,15.889964397889715
212,2271.7529296875,16.343792016370465
213,2282.51953125,15.566725304345429
214,2293.2861328125,13.826563672371137
215,2304.052734375,12.111774683593202
216,2314.8193359375,9.973426224336226
217,2325.5859375,9.661654113330725
218,2336.3525390625,14.274912865795631
219,2347.119140625,17.247148266591473
220,2357.8857421875,17.984246570319304
221,2368.65234375,17.446439272868886
222,2379.4189453125,16.70296977436951
223,2390.185546875,15.248206352363663
224,2400.9521484375,10.980907020002748
225,2411.71875,8.37110072834944
226,2422.4853515625,14.300627966516812
227,2433.251953125,16.57175173323019
228,2444.0185546875,16.95111331153964
229,2454.78515625,18.191546000210334
230,2465.5517578125,19.866401299303995
231,2476.318359375,20.087336870138984
232,2487.0849609375,19.152791910391727
233,2497.8515625,19.755723620257363
234,2508.6181640625,21.393407507686554
235,2519.384765625,21.553979498389282
236,2530.1513671875,20.682726959537675
237,2540.91796875,21.59370167844013
238,2551.6845703125,23.096349656760186
239,2562.451171875,22.539305068320196
240,2573.2177734375,19.480062347857064
241,2583.984375,18.272680926555267
242,2594.7509765625,19.983293510647545
243,2605.517578125,18.066819044460118
244,2616.2841796875,15.659661725616408
245,2627.05078125,22.608268560374203
246,2637.8173828125,25.617650982938397
247,2648.583984375,25.081004355767117
248,2659.3505859375,23.154833239017464
249,2670.1171875,26.08196786602239
250,2680.8837890625,29.020443391247667
251,2691.650390625,29.094431892564685
252,2702.4169921875,26.014371074152148
253,2713.18359375,24.48401425804687
254,2723.9501953125,29.06481160741754
255,2734.716796875,30.92535518456245
256,2745.4833984375,29.40376083567798
257,2756.25,26.551499233199046
258,2767.0166015625,31.737717844853876
259,2777.783203125,36.08022711866952
260,2788.5498046875,37.794333188080245
261,2799.31640625,37.286792719505605
262,2810.0830078125,35.0171748093798
263,2820.849609375,35.627224509340934
264,2831.6162109375,39.99154905659531
265,2842.3828125,43.062285036728795
266,2853.1494140625,44.47471202076204
267,2863.916015625,44.44588811589909
268,2874.6826171875,43.06209410183173
269,2885.44921875,40.69803708434794
270,2896.2158203125,39.96910902335617
271,2906.982421875,42.64107067524939
272,2917.7490234375,45.450351336762154
273,2928.515625,47.361570526069855
274,2939.2822265625,48.48118553041104
275,2950.048828125,48.97230279042457
276,2960.8154296875,48.94529591463542
277,2971.58203125,48.47944830384628
278,2982.3486328125,47.65851624521713
279,2993.115234375,46.60055182432803
280,3003.8818359375,45.44762318358106
281,3014.6484375,44.28201611344508
282,3025.4150390625,43.03443463577062
283,3036.181640625,41.51088722063832
284,3046.9482421875,39.50382583427262
285,3057.71484375,36.86910046760183
286,3068.4814453125,33.58528129184754
287,3079.248046875,29.945915440764928
288,3090.0146484375,26.84855929414375
289,3100.78125,24.891791977597094
290,3111.5478515625,23.119329336476675
291,3122.314453125,20.357510374870145
292,3133.0810546875,15.473978560077828
293,3143.84765625,4.154940408427018
294,3154.6142578125,6.675938927335563
295,3165.380859375,12.234091206446587
296,3176.1474609375,12.577088383232875
297,3186.9140625,9.934563901261125
298,3197.6806640625,4.6712563637178235
299,3208.447265625,0.11945333958884154
300,3219.2138671875,4.350309886246579
301,3229.98046875,7.985077981406428
302,3240.7470703125,9.590853158329853
303,3251.513671875,9.930827079858663
304,3262.2802734375,9.333326929828278
305,3273.046875,7.061729487918126
306,3283.8134765625,2.2796967864053346
307,3294.580078125,2.886755114979872
308,3305.3466796875,6.828825852523264
309,3316.11328125,8.76795940691466
310,3326.8798828125,9.861879123655111
311,3337.646484375,9.697655411440582
312,3348.4130859375,7.229584626202493
313,3359.1796875,5.902740219089775
314,3369.9462890625,9.806118793938614
315,3380.712890625,11.869674909469696
316,3391.4794921875,12.034769906270997
317,3402.24609375,11.994676854081545
318,3413.0126953125,12.574744880892837
319,3423.779296875,13.737084885402806
320,3434.5458984375,15.647380000536973
321,3445.3125,17.21362547675504
322,3456.0791015625,17.50713506501572
323,3466.845703125,16.52282675585594
324,3477.6123046875,14.733590075497215
325,3488.37890625,12.13588796323204
326,3499.1455078125,7.092025738395455
327,3509.912109375,-9.917148186855387
328,3520.6787109375,2.0836689662935086
329,3531.4453125,7.137811432351958
330,3542.2119140625,9.651594813817972
331,3552.978515625,10.381894425726763
332,3563.7451171875,8.041533731648013
333,3574.51171875,3.7108387802232117
334,3585.2783203125,9.467077562527601
335,3596.044921875,13.540531167380685
336,3606.8115234375,15.444902737908407
337,3617.578125,16.37148557067949
338,3628.3447265625,16.41006152856304
339,3639.111328125,15.223661290219074
340,3649.8779296875,13.077713049618287
341,3660.64453125,11.577630875046127
342,3671.4111328125,11.414332213020245
343,3682.177734375,11.685594123141176
344,3692.9443359375,12.39115632855081
345,3703.7109375,12.78000098221768
346,3714.4775390625,11.84933256003103
347,3725.244140625,9.57853549628455
348,3736.0107421875,7.812259195488065
349,3746.77734375,7.821742922765235
350,3757.5439453125,7.679138650999143
351,3768.310546875,7.551003146488169
352,3779.0771484375,8.326939294417372
353,3789.84375,8.803973938775918
354,3800.6103515625,8.345548941662202
355,3811.376953125,7.753904527814819
356,3822.1435546875,7.419166505015782
357,3832.91015625,6.233964064866386
358,3843.6767578125,3.3631327820127055
359,3854.443359375,-0.8647071984611127
360,3865.2099609375,-4.667311973850085
361,3875.9765625,-2.662963018884683
362,3886.7431640625,1.630407071986009
363,3897.509765625,3.0171791507647194
364,3908.2763671875,1.2986961341386996
365,3919.04296875,-1.1740553572796293
366,3929.8095703125,0.9113633045761191
367,3940.576171875,2.467868308267723
368,3951.3427734375,2.505353435131576
369,3962.109375,2.4080112570031034
370,3972.8759765625,1.526589890075478
371,3983.642578125,-0.8700404215785927
372,3994.4091796875,-0.40566909554484265
373,4005.17578125,1.820829577680815
374,4015.9423828125,1.7360750833843501
375,4026.708984375,0.5155786034291542
376,4037.4755859375,0.7618406790429715
377,4048.2421875,0.2644037662063731
378,4059.0087890625,-4.150821705698524
379,4069.775390625,-17.912869180724535
380,4080.5419921875,-6.465199071645903
381,4091.30859375,-1.9371102046153534
382,4102.0751953125,1.4571400607503273
383,4112.841796875,3.5585244410110195
384,4123.6083984375,3.8980019792007385
385,4134.375,3.666792273493493
386,4145.1416015625,4.736877362842805
387,4155.908203125,5.894936520094689
388,4166.6748046875,5.498069514386726
389,4177.44140625,3.082137074513447
390,4188.2080078125,-1.4018645953501176
391,4198.974609375,-7.347866682043856
392,4209.7412109375,-7.186155512729371
393,4220.5078125,-1.3215597356184372
394,4231.2744140625,1.9199178445920848
395,4242.041015625,2.8825765489839545
396,4252.8076171875,3.034772184721816
397,4263.57421875,4.424253556197283
398,4274.3408203125,6.3847063120312475
399,4285.107421875,7.540354685014941
400,4295.8740234375,7.970373465410318
401,4306.640625,8.129981105957643
402,4317.4072265625,7.717704255820332
403,4328.173828125,5.797340565521195
404,4338.9404296875,1.3709005534496297
405,4349.70703125,-5.386360717056988
406,4360.4736328125,-4.090301089051419
407,4371.240234375,1.3106279701611843
408,4382.0068359375,5.295263569040759
409,4392.7734375,7.158807237388364
410,4403.5400390625,7.5569182482021695
411,4414.306640625,7.896579101133004
412,4425.0732421875,8.461013449796862
413,4435.83984375,8.236271481151507
414,4446.6064453125,7.047846858439069
415,4457.373046875,5.614082138043736
416,4468.1396484375,4.514599110116428
417,4478.90625,4.434470037546724
418,4489.6728515625,5.160339371843095
419,4500.439453125,5.0230907252831365
420,4511.2060546875,4.036691020440456
421,4521.97265625,4.162770157196554
422,4532.7392578125,5.045165741436986
423,4543.505859375,5.484859565175311
424,4554.2724609375,5.870000796579578
425,4565.0390625,5.92229672544139
426,4575.8056640625,5.187169132443521
427,4586.572265625,4.884786982646259
428,4597.3388671875,5.540308632818435
429,4608.10546875,5.16052226650039
430,4618.8720703125,2.9562244838199385
431,4629.638671875,1.707789846137561
432,4640.4052734375,2.8929443934618746
433,4651.171875,2.0186216173954405
434,4661.9384765625,-2.3353559132335016
435,4672.705078125,-1.9609164085116684
436,4683.4716796875,0.6458090032512538
437,4694.23828125,-1.773237293926337
438,4705.0048828125,-4.192202795491365
439,4715.771484375,1.6963617452332085
440,4726.5380859375,2.9251754476845666
441,4737.3046875,-0.0015230010747800168
442,4748.0712890625,0.32527691274239856
443,4758.837890625,3.7091390450289126
444,4769.6044921875,2.8463020884409125
445,4780.37109375,-4.247611956230784
446,4791.1376953125,-1.816526324001297
447,4801.904296875,1.8298416643723814
448,4812.6708984375,-1.4852104585564136
449,4823.4375,-0.8324481399962153
450,4834.2041015625,5.600882633431581
451,4844.970703125,6.985420295260129
452,4855.7373046875,4.292378067489383
453,4866.50390625,-0.4704161803440706
454,4877.2705078125,2.7218218627391497
455,4888.037109375,3.4545638501838907
456,4898.8037109375,-1.8075306771727235
457,4909.5703125,-4.107741238437767
458,4920.3369140625,2.968105534449869
459,4931.103515625,3.4844685359027343
460,4941.8701171875,-1.896784738777393
461,4952.63671875,-7.090074452910708
462,4963.4033203125,1.7282806070374843
463,4974.169921875,2.99701694141747
464,4984.9365234375,0.29101375498881016
465,4995.703125,-0.9696011567948519
466,5006.4697265625,2.2155966464262415
467,5017.236328125,2.5838098950841273
468,5028.0029296875,-0.9045792800534425
469,5038.76953125,-5.853123467827578
470,5049.5361328125,-1.6198370684350902
471,5060.302734375,0.11563281147271677
