bin,freq(Hz),pow(dB/Hz)
1,0,1.5698211451415631
2,10.7666015625,2.39835065572003
3,21.533203125,3.320073064540812
4,32.2998046875,3.3659577819424125
5,43.06640625,8.000095822249651
6,53.8330078125,14.446490838160921
7,64.599609375,18.628947977756226
8,75.3662109375,20.614655530700148
9,86.1328125,20.602381169346593
10,96.8994140625,18.63312731320525
11,107.666015625,14.645203265080154
12,118.4326171875,8.827616993709631
13,129.19921875,3.8504837523947133
14,139.9658203125,2.2022241666297027
15,150.732421875,-0.07166907142590483
16,161.4990234375,-4.930254308586796
17,172.265625,-16.30707255044189
18,183.0322265625,-9.307402916511974
19,193.798828125,-3.2541038213565714
20,204.5654296875,-0.5972183969533541
21,215.33203125,0.07196280584443727
22,226.0986328125,-0.9475913918288786
23,236.865234375,-3.225947342550804
24,247.6318359375,-5.35794905295038
25,258.3984375,-5.8758942917972945
26,269.1650390625,-5.87143936929311
27,279.931640625,-6.780435594045197
28,290.6982421875,-9.680316884557756
29,301.46484375,-14.087023674777958
30,312.2314453125,-10.364008740995237
31,322.998046875,-6.936572015999468
32,333.7646484375,-6.55943338898921
33,344.53125,-8.96474576327346
34,355.2978515625,-14.929665959043131
35,366.064453125,-22.295060710459943
36,376.8310546875,-15.57023105383179
37,387.59765625,-11.877967295414393
38,398.3642578125,-9.885139843755763
39,409.130859375,-9.037974813882734
40,419.8974609375,-9.353744292527523
41,430.6640625,-11.055449891294451
42,441.4306640625,-14.95061673451389
43,452.197265625,-23.852036788027313
44,462.9638671875,-18.542794096222114
45,473.73046875,-12.557431033458283
46,484.4970703125,-10.140810150560494
47,495.263671875,-9.52659246019878
48,506.0302734375,-9.691469627116495
49,516.796875,-9.415835003495372
50,527.5634765625,-8.000946331619323
51,538.330078125,-6.116476911403917
52,549.0966796875,-4.713829176132945
53,559.86328125,-4.324929329714796
54,570.6298828125,-5.140684640987322
55,581.396484375,-6.972435678471963
56,592.1630859375,-8.945878424925981
57,602.9296875,-9.722514485730798
58,613.6962890625,-8.847351158489595
59,624.462890625,-7.386147149768075
60,635.2294921875,-6.59915781121541
61,645.99609375,-6.801518915077379
62,656.7626953125,-7.676396743560034
63,667.529296875,-9.044558078893322
64,678.2958984375,-11.392860870647416
65,689.0625,-15.579465741800336
66,699.8291015625,-22.791161867229516
67,710.595703125,-27.5399370617796
68,721.3623046875,-19.22981560006685
69,732.12890625,-14.796247340811606
70,742.8955078125,-13.180538033199547
71,753.662109375,-13.68319249380098
72,764.4287109375,-15.622409540059897
73,775.1953125,-17.757278887711198
74,785.9619140625,-18.38261166404767
75,796.728515625,-17.21101415755789
76,807.4951171875,-15.451027943232647
77,818.26171875,-13.800684503864517
78,829.0283203125,-12.436637678553781
79,839.794921875,-11.724607820883293
80,850.5615234375,-12.426771522743785
81,861.328125,-15.911181742885834
82,872.0947265625,-27.075538173564198
83,882.861328125,-18.683449998672003
84,893.6279296875,-13.043149997575973
85,904.39453125,-10.838200373847666
86,915.1611328125,-10.149118694686404
87,925.927734375,-10.65587906709862
88,936.6943359375,-12.42191737646231
89,947.4609375,-14.512773810910954
90,958.2275390625,-14.348684832536364
91,968.994140625,-12.989222102218672
92,979.7607421875,-12.59779464850996
93,990.52734375,-13.657886458377469
94,1001.2939453125,-15.841038142405514
95,1012.060546875,-17.45353709462418
96,1022.8271484375,-18.0548317717504
97,1033.59375,-19.378226935266497
98,1044.3603515625,-19.618053553307245
99,1055.126953125,-17.745643107415034
100,1065.8935546875,-16.701160332421203
101,1076.66015625,-16.404371619992332
102,1087.4267578125,-15.642596235002042
103,1098.193359375,-14.803898244285145
104,1108.9599609375,-14.790268272392188
105,1119.7265625,-15.752206322955388
106,1130.4931640625,-16.700050487836013
107,1141.259765625,-15.428662472893425
108,1152.0263671875,-12.026144468756073
109,1162.79296875,-8.90998113630669
110,1173.5595703125,-7.314264411866107
111,1184.326171875,-7.399580266907016
112,1195.0927734375,-8.843153522056094
113,1205.859375,-10.792513647325809
114,1216.6259765625,-12.034185336030369
115,1227.392578125,-12.297363682882807
116,1238.1591796875,-12.639962218415619
117,1248.92578125,-14.109021161077193
118,1259.6923828125,-17.001757218527295
119,1270.458984375,-20.652156758671282
120,1281.2255859375,-23.89307842174734
121,1291.9921875,-29.58676262161437
122,1302.7587890625,-31.202161047973437
123,1313.525390625,-20.171009648037497
124,1324.2919921875,-16.104647771915133
125,1335.05859375,-15.217135358462341
126,1345.8251953125,-16.930692358911834
127,1356.591796875,-20.855904408960477
128,1367.3583984375,-21.80788885332069
129,1378.125,-18.822004893627785
130,1388.8916015625,-17.392054891974066
131,1399.658203125,-17.60502062348689
132,1410.4248046875,-18.453829147200423
133,1421.19140625,-18.054516126837687
134,1431.9580078125,-16.203506801096378
135,1442.724609375,-14.300558103358718
136,1453.4912109375,-12.958295189248181
137,1464.2578125,-12.336833650419637
138,1475.0244140625,-12.171821790348961
139,1485.791015625,-11.786477533499752
140,1496.5576171875,-10.904219532823593
141,1507.32421875,-9.987699833152481
142,1518.0908203125,-9.56505560144044
143,1528.857421875,-9.953096707258899
144,1539.6240234375,-11.13057584547102
145,1550.390625,-12.233579742384755
146,1561.1572265625,-11.842053821371215
147,1571.923828125,-10.482587525106366
148,1582.6904296875,-9.542620426231409
149,1593.45703125,-9.597343827238053
150,1604.2236328125,-10.771145047870935
151,1614.990234375,-12.836825188672226
152,1625.7568359375,-14.542117742104105
153,1636.5234375,-13.46151496214608
154,1647.2900390625,-10.817451703476875
155,1658.056640625,-8.953371488543572
156,1668.8232421875,-8.226287681750058
157,1679.58984375,-7.8904548258262395
158,1690.3564453125,-6.691028467111984
159,1701.123046875,-4.505868974011808
160,1711.8896484375,-2.3163449268912157
161,1722.65625,-0.8252310720244467
162,1733.4228515625,-0.32604613510369207
163,1744.189453125,-0.938420771393699
164,1754.9560546875,-2.72148181451377
165,1765.72265625,-5.651077638987971
166,1776.4892578125,-9.542606272866264
167,1787.255859375,-13.829199035767811
168,1798.0224609375,-15.258143822554386
169,1808.7890625,-12.112419601618107
170,1819.5556640625,-9.303166237340847
171,1830.322265625,-7.912539451410808
172,1841.0888671875,-7.722945885677827
173,1851.85546875,-8.61910813965794
174,1862.6220703125,-10.950495006568424
175,1873.388671875,-15.532885755102669
176,1884.1552734375,-19.737164781562925
