bin,freq(Hz),pow(dB/Hz)
1,0,-9.202093225327816
2,5.38330078125,-8.487207020278667
3,10.7666015625,-6.423308490479255
4,16.14990234375,-3.5448906533522004
5,21.533203125,-0.44410350395499626
6,26.91650390625,2.4509820518700227
7,32.2998046875,4.495197979517844
8,37.68310546875,4.78727096965978
9,43.06640625,1.6077851111346866
10,48.44970703125,-3.5421195200382294
11,53.8330078125,7.88026230937948
12,59.21630859375,14.033572859488743
13,64.599609375,18.406230177378614
14,69.98291015625,21.959347025905288
15,75.3662109375,24.382795523610152
16,80.74951171875,25.255963353043754
17,86.1328125,24.368452622046174
18,91.51611328125,21.6510829251378
19,96.8994140625,17.261630695262014
20,102.28271484375,12.241017899572784
21,107.666015625,9.415106548930286
22,113.04931640625,9.93366607769907
23,118.4326171875,11.003770962415151
24,123.81591796875,10.635669016182964
25,129.19921875,7.8140626702878
26,134.58251953125,0.13133081457645057
27,139.9658203125,-8.267202774277337
28,145.34912109375,1.6754108804927237
29,150.732421875,2.8918867380301623
30,156.11572265625,1.0726904512752298
31,161.4990234375,-2.2940767272488993
32,166.88232421875,-4.4152117004844715
33,172.265625,-4.387778353712654
34,177.64892578125,-4.917225746011028
35,183.0322265625,-6.84530070109723
36,188.41552734375,-9.669147303359335
37,193.798828125,-10.730866471629788
38,199.18212890625,-9.026760653661738
39,204.5654296875,-7.3392454393769295
40,209.94873046875,-6.231729230923312
41,215.33203125,-5.548222335420846
42,220.71533203125,-5.390374130553591
43,226.0986328125,-5.925769499688933
44,231.48193359375,-7.219521446522408
45,236.865234375,-9.09423686573654
46,242.24853515625,-10.778855650262106
47,247.6318359375,-11.118810937713295
48,253.01513671875,-9.945847156916143
49,258.3984375,-8.12456851456749
50,263.78173828125,-6.660589700926853
51,269.1650390625,-6.171678967779873
52,274.54833984375,-6.898207144008428
53,279.931640625,-8.876540738405703
54,285.31494140625,-11.868349219257393
55,290.6982421875,-14.85585263259295
56,296.08154296875,-16.863659988689975
57,301.46484375,-19.08067084080804
58,306.84814453125,-19.78765365124169
59,312.2314453125,-15.224491276699814
60,317.61474609375,-10.221937085729717
61,322.998046875,-6.208796557750253
62,328.38134765625,-3.461260262264077
63,333.7646484375,-2.1777220290894177
64,339.14794921875,-2.5478760943967824
65,344.53125,-4.923914524322826
66,349.91455078125,-9.943952650404471
67,355.2978515625,-14.336051987169853
68,360.68115234375,-11.44171938460148
69,366.064453125,-10.26658909841647
70,371.44775390625,-10.05520902587342
71,376.8310546875,-8.507239573260774
72,382.21435546875,-6.546304182015309
73,387.59765625,-5.5519300028306215
74,392.98095703125,-5.854686417282427
75,398.3642578125,-7.464636721624154
76,403.74755859375,-9.666805819860677
77,409.130859375,-9.777642280048187
78,414.51416015625,-8.086485955101917
79,419.8974609375,-7.409443893081066
80,425.28076171875,-8.582989648799156
81,430.6640625,-11.792671924824134
82,436.04736328125,-15.175305790677836
83,441.4306640625,-13.298412945749924
84,446.81396484375,-10.809264653536108
85,452.197265625,-9.753639826859978
86,457.58056640625,-9.816333517554806
87,462.9638671875,-10.834617970854815
88,468.34716796875,-12.853217358551976
89,473.73046875,-15.824607714671341
90,479.11376953125,-19.427015496058345
91,484.4970703125,-23.638021041780853
92,489.88037109375,-28.83184092276629
93,495.263671875,-31.93827376887288
94,500.64697265625,-27.72855144085716
95,506.0302734375,-21.968244424899183
96,511.41357421875,-18.132356327005127
97,516.796875,-16.156963457012644
98,522.18017578125,-15.568685599577616
99,527.5634765625,-16.18068807341874
100,532.94677734375,-18.495817563526543
101,538.330078125,-24.597389568910515
102,543.71337890625,-30.470327568706182
103,549.0966796875,-19.723035523748354
104,554.47998046875,-14.968356490195127
105,559.86328125,-12.10171760850261
106,565.24658203125,-10.330629040251083
107,570.6298828125,-9.505804968240636
108,576.01318359375,-9.626211735496845
109,581.396484375,-10.609251993713498
110,586.77978515625,-12.060902393309402
111,592.1630859375,-12.88940390918204
112,597.54638671875,-12.074157603563002
113,602.9296875,-10.596986258897118
114,608.31298828125,-9.45445064397938
115,613.6962890625,-8.743288548032021
116,619.07958984375,-8.478244465657497
117,624.462890625,-8.799833664551869
118,629.84619140625,-9.617011567481875
119,635.2294921875,-10.218166588329856
120,640.61279296875,-10.047857061598952
121,645.99609375,-9.68314796051568
122,651.37939453125,-9.187264174757921
123,656.7626953125,-7.958350466015947
124,662.14599609375,-6.6092395693221615
125,667.529296875,-5.988960945814366
126,672.91259765625,-6.044772667310561
127,678.2958984375,-6.375185491972303
128,683.67919921875,-7.109932441636522
129,689.0625,-8.859261405766262
130,694.44580078125,-11.943340700022382
131,699.8291015625,-15.305930560724894
132,705.21240234375,-17.544816538928757
133,710.595703125,-20.12921005285599
134,715.97900390625,-17.65862415837462
135,721.3623046875,-13.83840703742707
136,726.74560546875,-12.4714281598927
137,732.12890625,-12.796663749275169
138,737.51220703125,-14.152122056255587
139,742.8955078125,-15.832431038171663
140,748.27880859375,-16.049239938396504
141,753.662109375,-14.28368314914444
142,759.04541015625,-12.316727506120058
143,764.4287109375,-11.416658697248963
144,769.81201171875,-12.031310504399638
145,775.1953125,-14.05934522930206
146,780.57861328125,-15.40473613112626
147,785.9619140625,-13.747323172541863
148,791.34521484375,-12.747745435582496
149,796.728515625,-13.922745322923936
150,802.11181640625,-16.28002414997393
151,807.4951171875,-16.771841658445283
152,812.87841796875,-15.049293058025286
153,818.26171875,-13.190491885343405
154,823.64501953125,-12.240871579565722
155,829.0283203125,-12.750480752698344
156,834.41162109375,-15.084757882356968
157,839.794921875,-17.86460396185495
158,845.17822265625,-17.861376605968623
159,850.5615234375,-17.058749008093553
160,855.94482421875,-14.03830689002428
161,861.328125,-11.006917155793435
162,866.71142578125,-9.973439375087542
163,872.0947265625,-10.440966935739661
164,877.47802734375,-11.11504058547223
165,882.861328125,-11.038303456410198
166,888.24462890625,-10.965808134282074
167,893.6279296875,-12.434040216805563
168,899.01123046875,-16.33012005405198
169,904.39453125,-20.477456292911512
170,909.77783203125,-22.086706500711145
