bin,freq(Hz),pow(dB/Hz)
1,0,1.6267900767957606
2,10.7666015625,5.637190284483935
3,21.533203125,11.164730400882636
4,32.2998046875,15.26603339188922
5,43.06640625,17.454291193640287
6,53.8330078125,17.18651711305633
7,64.599609375,13.43023448583871
8,75.3662109375,11.85620945216236
9,86.1328125,17.74094424692953
10,96.8994140625,20.19289569007733
11,107.666015625,20.086458213804207
12,118.4326171875,18.107143018232254
13,129.19921875,14.436664713204795
14,139.9658203125,8.554177211012629
15,150.732421875,-3.962395925215518
16,161.4990234375,-1.8189463607736718
17,172.265625,4.150468733930311
18,183.0322265625,5.270494874217952
19,193.798828125,4.50704465186069
20,204.5654296875,3.303053873163535
21,215.33203125,2.9927057723219557
22,226.0986328125,3.612757570835383
23,236.865234375,4.315117412760054
24,247.6318359375,4.5772377609616814
25,258.3984375,4.256247775762642
26,269.1650390625,3.4754269260739745
27,279.931640625,2.5153103340320833
28,290.6982421875,1.4979902593756125
29,301.46484375,0.1379845184345088
30,312.2314453125,-1.9879432752533428
31,322.998046875,-4.851583079758971
32,333.7646484375,-7.210487887905361
33,344.53125,-8.182303304759781
34,355.2978515625,-9.719159981791524
35,366.064453125,-13.711486679658073
36,376.8310546875,-16.393131750415908
37,387.59765625,-11.19813640728518
38,398.3642578125,-8.022791462002022
39,409.130859375,-6.836897975563998
40,419.8974609375,-7.051738655034244
41,430.6640625,-8.330293664453558
42,441.4306640625,-10.08274959357609
43,452.197265625,-11.184022881721084
44,462.9638671875,-10.645156989306528
45,473.73046875,-9.127469719429143
46,484.4970703125,-8.093532759592195
47,495.263671875,-8.120245332959323
48,506.0302734375,-8.959056167863807
49,516.796875,-9.552883413642222
50,527.5634765625,-8.713431922926329
51,538.330078125,-7.15939308431906
52,549.0966796875,-6.0533686256703465
53,559.86328125,-5.611513828201807
54,570.6298828125,-5.480920594829279
55,581.396484375,-5.1027479356163035
56,592.1630859375,-4.099254592129715
57,602.9296875,-2.6539508893951687
58,613.6962890625,-1.3559479730668886
59,624.462890625,-0.7012841255460818
60,635.2294921875,-0.9110348037872261
61,645.99609375,-1.9725029536262144
62,656.7626953125,-3.664385152544524
63,667.529296875,-5.6164463790976535
64,678.2958984375,-7.599383479497188
65,689.0625,-9.653000418842764
66,699.8291015625,-11.416057394269004
67,710.595703125,-12.006797928742035
68,721.3623046875,-11.771769617835943
69,732.12890625,-11.469051717415937
70,742.8955078125,-11.207633570167863
71,753.662109375,-11.428296661421456
72,764.4287109375,-12.649007278822094
73,775.1953125,-14.734982919925411
74,785.9619140625,-16.71065610727458
75,796.728515625,-16.898024196346192
76,807.4951171875,-15.253553155312218
77,818.26171875,-13.89172805230574
78,829.0283203125,-14.068174514511341
79,839.794921875,-16.482795268935448
80,850.5615234375,-22.583625462082928
81,861.328125,-35.9399692533196
82,872.0947265625,-26.48257532484675
