bin,freq(Hz),pow(dB/Hz)
1,0,-7.335850223020403
2,10.7666015625,-7.131572692026472
3,21.533203125,-4.877680397708221
4,32.2998046875,2.673903907582471
5,43.06640625,9.364752814230462
6,53.8330078125,13.546718231231214
7,64.599609375,15.935159907022937
8,75.3662109375,18.46766135280529
9,86.1328125,21.79946339250742
10,96.8994140625,24.099223403948983
11,107.666015625,24.1150122517326
12,118.4326171875,20.667579668287633
13,129.19921875,14.213339801819645
14,139.9658203125,24.74784834426023
15,150.732421875,29.49633808664117
16,161.4990234375,30.579922701034658
17,172.265625,29.550490276970834
18,183.0322265625,28.1976529203726
19,193.798828125,26.66161674927805
20,204.5654296875,23.369286210451392
21,215.33203125,17.477973216656615
22,226.0986328125,9.934155571462869
23,236.865234375,3.8498077458423117
24,247.6318359375,2.470347670762458
25,258.3984375,3.1639537055780194
26,269.1650390625,2.020785461578771
27,279.931640625,4.632303738142133
28,290.6982421875,4.945268471787126
29,301.46484375,1.4012145427270806
30,312.2314453125,8.39662341386143
31,322.998046875,12.54796307443215
32,333.7646484375,13.396679323716114
33,344.53125,12.282535956062175
34,355.2978515625,9.656612345201147
35,366.064453125,5.461362015622385
36,376.8310546875,0.387000760874992
37,387.59765625,-3.1879663723122027
38,398.3642578125,-2.990658500560092
39,409.130859375,-0.45668576714541675
40,419.8974609375,1.515503947955508
41,430.6640625,2.5515469304803546
42,441.4306640625,2.3413850919826134
43,452.197265625,0.40909728772440856
44,462.9638671875,0.07726129858488381
45,473.73046875,-0.19008706393563893
46,484.4970703125,-28.36237004207662
47,495.263671875,5.8256606130104815
48,506.0302734375,12.560301344587174
49,516.796875,15.342206315220183
50,527.5634765625,15.7278662519904
51,538.330078125,14.065311301662454
52,549.0966796875,9.866032416510745
53,559.86328125,0.21057562691206644
54,570.6298828125,0.02200870367887215
55,581.396484375,5.050817837361786
56,592.1630859375,6.369935775476776
57,602.9296875,8.48103804988584
58,613.6962890625,11.09694776815369
59,624.462890625,12.76301954451011
60,635.2294921875,13.31107167911558
61,645.99609375,12.838272903976428
62,656.7626953125,11.108564089636989
63,667.529296875,7.648494401576383
64,678.2958984375,5.469843154589531
65,689.0625,9.283539130394356
66,699.8291015625,12.156859993930196
67,710.595703125,13.017215733893348
68,721.3623046875,12.185394310057623
69,732.12890625,9.621243131679446
70,742.8955078125,5.431251357822829
71,753.662109375,5.629923496466464
72,764.4287109375,8.89637861034004
73,775.1953125,10.414091505026501
74,785.9619140625,10.756899420699835
75,796.728515625,10.489295073352295
76,807.4951171875,9.430616072225138
77,818.26171875,7.298437847389081
78,829.0283203125,5.104515698510065
79,839.794921875,4.984888816974853
80,850.5615234375,6.413446553042919
81,861.328125,7.741252258958886
82,872.0947265625,8.355380900207788
83,882.861328125,8.250305341308177
84,893.6279296875,7.415341872707176
85,904.39453125,6.538246758399907
86,915.1611328125,6.541121186176268
87,925.927734375,6.264100823645812
88,936.6943359375,3.5694788028116102
89,947.4609375,-5.915790804109489
90,958.2275390625,-1.325298143268422
91,968.994140625,2.0707006751271035
92,979.7607421875,-3.2116613467699837
93,990.52734375,-6.32091233594776
94,1001.2939453125,3.2416842108619868
95,1012.060546875,6.954028248596897
96,1022.8271484375,9.71436313839359
97,1033.59375,10.738918255026732
98,1044.3603515625,8.987646241935025
99,1055.126953125,3.991135483320173
100,1065.8935546875,0.9299453631028329
101,1076.66015625,4.334299766238817
102,1087.4267578125,6.651320623266907
103,1098.193359375,7.421174861342585
104,1108.9599609375,6.245815525033828
105,1119.7265625,2.1894865535168453
106,1130.4931640625,-5.971098792235198
107,1141.259765625,-4.139795481771521
108,1152.0263671875,-0.22557705384109009
109,1162.79296875,1.8189241160370149
110,1173.5595703125,3.5154038441808777
111,1184.326171875,5.186899734963653
112,1195.0927734375,6.520459742591518
113,1205.859375,6.857650683678185
114,1216.6259765625,5.756629203987607
115,1227.392578125,3.6458227965844205
116,1238.1591796875,2.4326146981876
117,1248.92578125,3.6967986091202105
118,1259.6923828125,5.5404524180148975
119,1270.458984375,5.676804802936592
120,1281.2255859375,3.305173191223764
121,1291.9921875,-0.8948197166551317
122,1302.7587890625,-2.0083990737028925
123,1313.525390625,0.9800742615385254
124,1324.2919921875,2.3771117828838624
125,1335.05859375,1.778871483391401
126,1345.8251953125,1.7289334778514445
127,1356.591796875,3.8533705344151503
128,1367.3583984375,6.08631681344412
129,1378.125,7.165754343319324
130,1388.8916015625,6.555203628462919
131,1399.658203125,4.0212671734063274
132,1410.4248046875,-0.24036909420618227
133,1421.19140625,-4.20887239247898
134,1431.9580078125,-2.32317944946074
135,1442.724609375,1.7741218038337503
136,1453.4912109375,3.6633000697785425
137,1464.2578125,2.4287998231857406
138,1475.0244140625,0.08804969322506354
139,1485.791015625,2.4794679489352194
140,1496.5576171875,3.0929979670647683
141,1507.32421875,0.12673911835685334
142,1518.0908203125,-1.8436574876486138
143,1528.857421875,0.014425611858894507
144,1539.6240234375,-0.8849338967471544
145,1550.390625,-4.19163221493779
146,1561.1572265625,-1.6649335911255032
147,1571.923828125,1.7312129430319119
148,1582.6904296875,-0.4073760068656868
149,1593.45703125,-17.29211236116107
150,1604.2236328125,-2.7536654281579027
