bin,freq(Hz),pow(dB/Hz)
1,0,-3.4587251407449355
2,5.38330078125,3.9931174430078666
3,10.7666015625,9.9027602961001
4,16.14990234375,13.868702445348791
5,21.533203125,16.558198923569925
6,26.91650390625,18.05156711085695
7,32.2998046875,18.325103596458113
8,37.68310546875,17.299694692297013
9,43.06640625,14.746164756963864
10,48.44970703125,10.79975377690214
11,53.8330078125,9.938712204184432
12,59.21630859375,15.721592364639703
13,64.599609375,21.90450328992715
14,69.98291015625,26.173724763652597
15,75.3662109375,28.32305528259344
16,80.74951171875,28.295833663921588
17,86.1328125,25.576417553915842
18,91.51611328125,17.398391294894925
19,96.8994140625,13.56980217081987
20,102.28271484375,22.088528490265155
21,107.666015625,23.648495404377556
22,113.04931640625,22.52919378452375
23,118.4326171875,20.09148653819541
24,123.81591796875,17.98919492850444
25,129.19921875,16.803718892040212
26,134.58251953125,15.58539122375382
27,139.9658203125,14.403286695907553
28,145.34912109375,13.459380133792544
29,150.732421875,11.873087536468114
30,156.11572265625,8.935730320046103
31,161.4990234375,4.662709932287566
32,166.88232421875,-0.5114105553946785
33,172.265625,-6.688668258685978
34,177.64892578125,-6.72406213225544
35,183.0322265625,-0.451315170906087
36,188.41552734375,3.1581595497023427
37,193.798828125,4.548796535949794
38,199.18212890625,3.9950102978615067
39,204.5654296875,1.7932536320658534
40,209.94873046875,0.2132000461373715
41,215.33203125,2.021920711572841
42,220.71533203125,4.1507699069854205
43,226.0986328125,5.462829728527899
44,231.48193359375,6.350510215526677
45,236.865234375,6.940503195227539
46,242.24853515625,6.9709713787927985
47,247.6318359375,6.318533773196975
48,253.01513671875,5.3188486571730955
49,258.3984375,4.633169017024334
50,263.78173828125,4.329440498711187
51,269.1650390625,3.5615205409084045
52,274.54833984375,1.562305400792621
53,279.931640625,-1.7870386774015472
54,285.31494140625,-5.489634164521502
55,290.6982421875,-7.11841835887066
56,296.08154296875,-5.903200745812594
57,301.46484375,-4.3954824014517255
58,306.84814453125,-3.765447503448862
59,312.2314453125,-3.897045938211985
60,317.61474609375,-4.6318175874653456
61,322.998046875,-6.09277352822419
62,328.38134765625,-7.4836160889397965
63,333.7646484375,-5.735096288675448
64,339.14794921875,-2.9740651283221924
65,344.53125,-1.428881379227422
66,349.91455078125,-0.5338539526514701
67,355.2978515625,0.14989093394201927
68,360.68115234375,0.13405822027197226
69,366.064453125,-0.9125332064898685
70,371.44775390625,-2.6388054651487343
71,376.8310546875,-3.946611216074576
72,382.21435546875,-3.5778610916027604
73,387.59765625,-1.4228247183631135
74,392.98095703125,1.5145362299789422
75,398.3642578125,4.024984562755662
76,403.74755859375,5.373134399815623
77,409.130859375,5.229500577659476
78,414.51416015625,3.319463994119346
79,419.8974609375,-1.0587684622076636
80,425.28076171875,-10.300822023327441
81,430.6640625,-7.213671527441897
82,436.04736328125,-1.9939166347292403
83,441.4306640625,-0.35342265559613184
84,446.81396484375,-0.6400232329430721
85,452.197265625,-2.2573053674848538
86,457.58056640625,-4.582534676479736
87,462.9638671875,-6.418932817188431
88,468.34716796875,-6.574245047091046
89,473.73046875,-5.589864979472204
90,479.11376953125,-5.000530886698199
91,484.4970703125,-5.811437145125426
92,489.88037109375,-8.795376143305628
93,495.263671875,-16.513905317921136
94,500.64697265625,-20.302187160244287
95,506.0302734375,-11.327881600795479
96,511.41357421875,-9.11579533867397
97,516.796875,-9.327074963036345
98,522.18017578125,-9.764379581870879
99,527.5634765625,-9.90499938040579
100,532.94677734375,-11.574267416061685
101,538.330078125,-16.334682645598964
