bin,freq(Hz),pow(dB/Hz)
1,0,5.727900867166607
2,10.7666015625,9.829757630852821
3,21.533203125,15.057286825107132
4,32.2998046875,19.197578247671434
5,43.06640625,22.32722831164629
6,53.8330078125,24.462738244593602
7,64.599609375,25.59343521168109
8,75.3662109375,25.68468196729242
9,86.1328125,24.636735933805042
10,96.8994140625,22.217245501882488
11,107.666015625,17.89992373590078
12,118.4326171875,10.279915031754483
13,129.19921875,2.984228432260301
14,139.9658203125,8.322980817463874
15,150.732421875,9.96608391232901
16,161.4990234375,10.501917399373673
17,172.265625,11.017033256545703
18,183.0322265625,11.207872349935766
19,193.798828125,10.862630452208828
20,204.5654296875,10.245425423304281
21,215.33203125,9.684940143002773
22,226.0986328125,9.140857872290498
23,236.865234375,8.276288375229267
24,247.6318359375,6.911282720018078
25,258.3984375,5.3821679895622925
26,269.1650390625,4.3744110348474265
27,279.931640625,4.148798837444163
28,290.6982421875,4.429408656313197
29,301.46484375,4.6421510431772175
30,312.2314453125,4.175070449784168
31,322.998046875,2.8127418668686666
32,333.7646484375,1.1708720225392362
33,344.53125,0.6379317831690836
34,355.2978515625,1.125298089282514
35,366.064453125,1.4757109373642843
36,376.8310546875,1.3921406681912294
37,387.59765625,0.9347238459643598
38,398.3642578125,-0.13028685150439318
39,409.130859375,-2.007530623637773
40,419.8974609375,-2.908097551134113
41,430.6640625,-0.9344330522190805
42,441.4306640625,0.8677800440659812
43,452.197265625,1.1496261396136587
44,462.9638671875,-0.12162067193117951
45,473.73046875,-3.0013708957411556
46,484.4970703125,-7.983005346513249
47,495.263671875,-14.708683731197114
48,506.0302734375,-11.174027093726826
49,516.796875,-6.042976261234151
50,527.5634765625,-1.6675845176939417
51,538.330078125,2.115402631477065
52,549.0966796875,4.886582955514901
53,559.86328125,6.474597828008316
54,570.6298828125,6.827319881849049
55,581.396484375,5.821021443889771
56,592.1630859375,3.058385169364656
57,602.9296875,-2.8482839343058046
58,613.6962890625,-32.92224641893295
59,624.462890625,-5.622242450971266
60,635.2294921875,-1.5390597035311295
61,645.99609375,-0.42391424580488224
62,656.7626953125,-0.35709863551878
63,667.529296875,-0.5590156092487277
64,678.2958984375,-0.5724960500336664
65,689.0625,0.11842670519052845
66,699.8291015625,1.5661607489301967
67,710.595703125,3.135444933458724
68,721.3623046875,4.2645442738282355
69,732.12890625,4.717288629994899
70,742.8955078125,4.469925411295904
71,753.662109375,3.6175449070693526
72,764.4287109375,2.2762789237195986
73,775.1953125,0.5059121213405844
74,785.9619140625,-1.5516277963103022
75,796.728515625,-3.3733404387433703
76,807.4951171875,-4.576630634950499
77,818.26171875,-5.842207765138299
78,829.0283203125,-7.8600675424941695
79,839.794921875,-9.75325777332824
80,850.5615234375,-9.200446154674587
81,861.328125,-7.410115361070314
82,872.0947265625,-6.217603178853823
83,882.861328125,-5.377785797065673
84,893.6279296875,-3.9783791066741254
85,904.39453125,-2.4620300103806043
86,915.1611328125,-1.979637470957102
87,925.927734375,-3.1326866121666153
88,936.6943359375,-6.275331722185314
89,947.4609375,-11.713185832599407
90,958.2275390625,-14.604047655026172
91,968.994140625,-10.817190477690604
92,979.7607421875,-8.388322329642236
93,990.52734375,-7.736652049557547
94,1001.2939453125,-8.760559190837826
95,1012.060546875,-10.895976382567294
96,1022.8271484375,-11.888279694576207
97,1033.59375,-12.277034060777098
98,1044.3603515625,-15.593280099505392
99,1055.126953125,-24.09814344502092
100,1065.8935546875,-14.529273359922135
101,1076.66015625,-10.364297771592813
102,1087.4267578125,-10.487420543210055
103,1098.193359375,-7.406497630841422
104,1108.9599609375,-0.16867387383135687
105,1119.7265625,4.5061670901938875
106,1130.4931640625,7.100181275594912
107,1141.259765625,8.174830505649256
108,1152.0263671875,8.009159405515184
109,1162.79296875,6.710127779845751
110,1173.5595703125,4.387374712840804
111,1184.326171875,1.8932741603087817
112,1195.0927734375,1.263112427082994
113,1205.859375,1.6925413694897489
114,1216.6259765625,1.1312969627770453
115,1227.392578125,-0.5859704631795057
116,1238.1591796875,-2.2124316794178327
117,1248.92578125,-3.090078033986411
118,1259.6923828125,-4.845923954103525
119,1270.458984375,-9.465862174821
120,1281.2255859375,-22.80630266977653
121,1291.9921875,-13.60296889515993
122,1302.7587890625,-8.788709912749702
123,1313.525390625,-7.282865340070047
124,1324.2919921875,-7.010536448886021
125,1335.05859375,-6.847726600602697
126,1345.8251953125,-5.967255771819893
127,1356.591796875,-4.885198822626288
128,1367.3583984375,-4.5567620696044635
129,1378.125,-5.043267194715133
130,1388.8916015625,-5.520607773012309
131,1399.658203125,-5.462093988129469
132,1410.4248046875,-5.711544720559397
133,1421.19140625,-7.5367188403641165
134,1431.9580078125,-13.110026205543901
135,1442.724609375,-18.351843531523734
136,1453.4912109375,-7.9694642239832225
137,1464.2578125,-3.689163784825953
138,1475.0244140625,-1.624653218669294
139,1485.791015625,-0.7108564159935877
140,1496.5576171875,-0.6474347960283635
141,1507.32421875,-1.5816794947527015
142,1518.0908203125,-4.019551371208262
143,1528.857421875,-9.174952725762708
144,1539.6240234375,-16.850822924453393
145,1550.390625,-9.993293626543455
146,1561.1572265625,-6.825516012447127
147,1571.923828125,-6.860265769639971
148,1582.6904296875,-9.426169588349987
149,1593.45703125,-15.096304340768663
150,1604.2236328125,-17.4840278844381
151,1614.990234375,-10.374013854482733
152,1625.7568359375,-6.636272115088096
153,1636.5234375,-5.332126813043115
154,1647.2900390625,-5.984597918688003
155,1658.056640625,-7.910366991045628
156,1668.8232421875,-8.735045924232237
157,1679.58984375,-8.035584740119779
158,1690.3564453125,-8.658837195289541
159,1701.123046875,-11.482606601999269
160,1711.8896484375,-15.235588832093857
161,1722.65625,-21.34615660478643
162,1733.4228515625,-24.925117995573785
163,1744.189453125,-14.913419174807682
164,1754.9560546875,-14.452120706078356
165,1765.72265625,-17.61797377195745
166,1776.4892578125,-9.900337738631373
167,1787.255859375,-4.295317086680609
168,1798.0224609375,-1.3329712582051112
169,1808.7890625,-0.22778221797459802
170,1819.5556640625,-1.0334274234222836
171,1830.322265625,-4.566877726337776
172,1841.0888671875,-14.176377218034332
173,1851.85546875,-15.903836842890842
174,1862.6220703125,-9.275279343893194
175,1873.388671875,-6.034452674301319
176,1884.1552734375,-3.8118351404978617
177,1894.921875,-3.697804674674971
178,1905.6884765625,-6.477622177401488
179,1916.455078125,-12.882711177662333
180,1927.2216796875,-8.88312703678763
181,1937.98828125,-3.3529907536423442
182,1948.7548828125,-0.43976808861900973
183,1959.521484375,0.7559902009931387
184,1970.2880859375,0.42537618074561273
185,1981.0546875,-0.9349155335724164
186,1991.8212890625,-1.5135152079545198
187,2002.587890625,-0.42954865756354843
188,2013.3544921875,0.44438721893167965
189,2024.12109375,0.22822531732461046
190,2034.8876953125,-0.3547635332048363
191,2045.654296875,-0.1718565246429557
192,2056.4208984375,0.39102027283952184
193,2067.1875,1.6420960769317208
194,2077.9541015625,3.852438024573419
195,2088.720703125,5.6244918210721355
196,2099.4873046875,6.2352633323332505
197,2110.25390625,5.82380021403303
198,2121.0205078125,5.005336778961389
199,2131.787109375,4.611159423004776
200,2142.5537109375,5.48550024375319
201,2153.3203125,7.906409118297747
202,2164.0869140625,10.497418589613034
203,2174.853515625,11.993283608633867
204,2185.6201171875,12.057939667225082
205,2196.38671875,10.830205900844616
206,2207.1533203125,8.695776781405906
207,2217.919921875,6.2619926634520855
208,2228.6865234375,4.774845941238323
209,2239.453125,5.603688203527934
210,2250.2197265625,7.6768753312893505
211,2260.986328125,10.138389536311427
212,2271.7529296875,13.249588133744016
213,2282.51953125,16.537440021199213
214,2293.2861328125,19.034125718732284
215,2304.052734375,20.007546665244842
216,2314.8193359375,18.733834998405914
217,2325.5859375,13.227538132438418
218,2336.3525390625,1.5903316223370392
219,2347.119140625,17.16899912691575
220,2357.8857421875,21.76722163908167
221,2368.65234375,23.703002091817194
222,2379.4189453125,23.841159807798693
223,2390.185546875,22.34388307591988
224,2400.9521484375,20.198104099271454
225,2411.71875,20.724130709623715
226,2422.4853515625,22.841336296302693
227,2433.251953125,23.823515557223203
228,2444.0185546875,23.198720126278563
229,2454.78515625,20.798576310192573
230,2465.5517578125,17.591459730487347
231,2476.318359375,19.750096609763666
232,2487.0849609375,23.612411848248914
233,2497.8515625,25.82002914368955
234,2508.6181640625,26.66360109242558
235,2519.384765625,26.55578274728206
236,2530.1513671875,25.77263268975949
237,2540.91796875,24.34942067080511
238,2551.6845703125,22.032424001819813
239,2562.451171875,18.484957384935576
240,2573.2177734375,14.112500534782885
241,2583.984375,10.902116006760208
242,2594.7509765625,8.519889606580287
243,2605.517578125,12.890873175053716
244,2616.2841796875,18.773376323891515
245,2627.05078125,22.077576053203465
246,2637.8173828125,23.44032876200178
247,2648.583984375,23.472112006931756
248,2659.3505859375,23.04052104515632
249,2670.1171875,23.043289810758978
250,2680.8837890625,23.103377118048137
251,2691.650390625,22.48342712417876
252,2702.4169921875,22.50798423573955
253,2713.18359375,25.145757259531678
254,2723.9501953125,27.93930803650998
255,2734.716796875,29.207849679830016
256,2745.4833984375,28.437032890261985
257,2756.25,25.007016288463035
258,2767.0166015625,25.069941423106194
259,2777.783203125,31.866933440903026
260,2788.5498046875,36.38434864398785
261,2799.31640625,39.163316467002105
262,2810.0830078125,40.74786026033797
263,2820.849609375,41.35297864592971
264,2831.6162109375,41.038574292499696
265,2842.3828125,39.7973223124929
266,2853.1494140625,37.60921142836856
267,2863.916015625,34.4870974530417
268,2874.6826171875,30.529251127779176
269,2885.44921875,26.01080867180365
270,2896.2158203125,21.678570905435194
271,2906.982421875,19.059443003858526
272,2917.7490234375,18.53478357687431
273,2928.515625,18.71724523248683
274,2939.2822265625,18.821684066026798
275,2950.048828125,18.53912683784496
276,2960.8154296875,17.595952661357103
277,2971.58203125,15.764134563899646
278,2982.3486328125,12.947426800336949
279,2993.115234375,9.427425103194855
280,3003.8818359375,6.879517530062953
281,3014.6484375,7.8192711146284655
282,3025.4150390625,10.439304496169314
283,3036.181640625,12.590730420336298
284,3046.9482421875,13.752994331375186
285,3057.71484375,13.904105424331679
286,3068.4814453125,13.138040860838009
287,3079.248046875,11.523979701111333
288,3090.0146484375,9.065125771750111
289,3100.78125,6.092537389350739
290,3111.5478515625,4.503864631585367
291,3122.314453125,5.205584053347756
292,3133.0810546875,5.970737259737616
293,3143.84765625,6.338630204145684
294,3154.6142578125,6.910657163983199
295,3165.380859375,7.483058450127623
296,3176.1474609375,7.315818285925061
297,3186.9140625,6.051139963357642
298,3197.6806640625,3.767885928483718
299,3208.447265625,0.7404730737383113
300,3219.2138671875,-3.271480337764581
301,3229.98046875,-9.29971834377476
302,3240.7470703125,-5.416116937261604
303,3251.513671875,-0.4719587403427378
304,3262.2802734375,0.9515517135380808
305,3273.046875,0.13935636765212395
306,3283.8134765625,-0.8755794402283961
307,3294.580078125,0.13844179419214622
308,3305.3466796875,1.9661353413727702
309,3316.11328125,2.980522301684591
310,3326.8798828125,2.8624248167477906
311,3337.646484375,2.4456318475465104
312,3348.4130859375,2.6621724685301724
313,3359.1796875,3.0079083967946625
314,3369.9462890625,3.544815002942867
315,3380.712890625,4.95169043332571
316,3391.4794921875,6.223693549486274
317,3402.24609375,6.201140093853348
