bin,freq(Hz),pow(dB/Hz)
1,0,32.0579291463595
2,10.7666015625,32.51829991900635
3,21.533203125,31.347097847594867
4,32.2998046875,26.216413901625177
5,43.06640625,19.468150330696513
6,53.8330078125,23.388109133743633
7,64.599609375,23.48851095847556
8,75.3662109375,20.3823559677253
9,86.1328125,17.92518763515154
10,96.8994140625,18.385835400608176
11,107.666015625,18.931798077098556
12,118.4326171875,17.75632662294065
13,129.19921875,15.973122254092214
14,139.9658203125,14.652002922227307
15,150.732421875,13.71049957558365
16,161.4990234375,14.19693155415662
17,172.265625,15.290023060038767
18,183.0322265625,14.285027046049057
19,193.798828125,7.03174719702806
20,204.5654296875,6.1850512453599125
21,215.33203125,12.602093784252906
22,226.0986328125,11.870275151360481
23,236.865234375,6.903186710953797
24,247.6318359375,1.8469094486678463
25,258.3984375,4.973300498267793
26,269.1650390625,6.751539243278608
27,279.931640625,6.071678629320775
28,290.6982421875,3.0813116748140574
29,301.46484375,-2.49257009893004
30,312.2314453125,-6.432431187497887
31,322.998046875,-0.6378526141976687
32,333.7646484375,3.580979652281888
33,344.53125,5.541243394687035
34,355.2978515625,5.300045027287068
35,366.064453125,2.8477940867971254
36,376.8310546875,-0.06167345007237816
37,387.59765625,-0.36626858603128415
38,398.3642578125,-1.0709373992410414
39,409.130859375,-1.4185915018496331
40,419.8974609375,-0.09900755829411403
41,430.6640625,0.07505395714236726
42,441.4306640625,-1.0699811290565737
43,452.197265625,0.3498128803905939
44,462.9638671875,3.0103073100744417
45,473.73046875,3.9271271815140962
46,484.4970703125,3.4810876126473245
47,495.263671875,3.5521158682939102
48,506.0302734375,4.459866521753123
49,516.796875,4.099473168083601
50,527.5634765625,1.7368670442601144
51,538.330078125,0.5834131324741033
52,549.0966796875,2.7053335718751703
53,559.86328125,4.503112627790504
54,570.6298828125,5.026296172434837
55,581.396484375,3.9599802068913825
56,592.1630859375,1.2702958548143837
57,602.9296875,-1.1915979234726215
58,613.6962890625,0.35679257782066953
59,624.462890625,2.1391961450274275
60,635.2294921875,2.275984850001841
61,645.99609375,1.3475458303576886
62,656.7626953125,0.6881513352202052
63,667.529296875,1.3239022089470798
64,678.2958984375,2.3928443815193874
65,689.0625,2.209012511554966
66,699.8291015625,-0.3313664510595725
67,710.595703125,-4.339006529466324
68,721.3623046875,-3.9446313279118566
69,732.12890625,-2.342171881420229
70,742.8955078125,-1.7954509027306733
71,753.662109375,-1.56437042553175
72,764.4287109375,-1.5888259008802075
73,775.1953125,-2.82725568254967
74,785.9619140625,-7.651917402241404
75,796.728515625,-19.701961896184386
76,807.4951171875,-8.602446996610688
77,818.26171875,-8.055912217990622
78,829.0283203125,-12.976510513003586
79,839.794921875,-13.073254183193317
80,850.5615234375,-8.42402585471513
81,861.328125,-7.474532316039417
82,872.0947265625,-9.621182878794805
83,882.861328125,-11.987405901677807
84,893.6279296875,-11.812215621841169
85,904.39453125,-11.013335305315204
86,915.1611328125,-10.663118362522418
87,925.927734375,-10.10919434553144
88,936.6943359375,-11.093312543225897
89,947.4609375,-16.007324842182864
90,958.2275390625,-18.657535177670802
91,968.994140625,-13.156687707979549
92,979.7607421875,-10.07526404641679
93,990.52734375,-7.666717582743214
94,1001.2939453125,-6.323153101104166
95,1012.060546875,-7.126875142878337
96,1022.8271484375,-9.907884641689783
97,1033.59375,-14.741792622886774
98,1044.3603515625,-26.236341280138586
99,1055.126953125,-14.680935489530984
100,1065.8935546875,-10.084228977676217
101,1076.66015625,-9.279242095414451
102,1087.4267578125,-11.477781907247833
103,1098.193359375,-18.37455563335164
104,1108.9599609375,-16.261993523911652
105,1119.7265625,-12.169143712490252
106,1130.4931640625,-11.623110254320503
107,1141.259765625,-10.6149663322526
108,1152.0263671875,-10.099035272867267
109,1162.79296875,-11.117601622548516
110,1173.5595703125,-10.669509341574528
111,1184.326171875,-9.19281630524845
112,1195.0927734375,-9.268218587024297
113,1205.859375,-11.208450522816111
114,1216.6259765625,-10.579014093494592
115,1227.392578125,-7.969653117696415
116,1238.1591796875,-6.624379853979821
117,1248.92578125,-6.509370882152242
118,1259.6923828125,-7.077824389441977
119,1270.458984375,-7.646143354305039
120,1281.2255859375,-8.79083484625629
121,1291.9921875,-10.398087397784828
122,1302.7587890625,-11.581135694601258
123,1313.525390625,-13.923377144272537
124,1324.2919921875,-21.919250073697796
125,1335.05859375,-24.1365438322647
126,1345.8251953125,-16.284161889077264
127,1356.591796875,-16.646895065319978
128,1367.3583984375,-15.38315572966421
129,1378.125,-9.637159862693132
130,1388.8916015625,-8.31930326342491
131,1399.658203125,-11.32199833599499
132,1410.4248046875,-19.542415814242663
133,1421.19140625,-20.09230763357223
134,1431.9580078125,-16.14379342362691
135,1442.724609375,-15.039965254871
136,1453.4912109375,-14.260469973837699
137,1464.2578125,-11.56978774430682
138,1475.0244140625,-10.078691413912768
139,1485.791015625,-12.864738849171111
140,1496.5576171875,-15.378630208192504
141,1507.32421875,-9.665160489826246
142,1518.0908203125,-7.983151934171461
143,1528.857421875,-9.311357326440639
144,1539.6240234375,-13.210600149178319
145,1550.390625,-16.281469539661405
146,1561.1572265625,-15.633689075953367
147,1571.923828125,-16.25246573682064
148,1582.6904296875,-13.086667415338793
149,1593.45703125,-11.00789173532926
150,1604.2236328125,-11.97652356868403
151,1614.990234375,-14.849135803975294
152,1625.7568359375,-16.726413242291972
153,1636.5234375,-14.971953572524706
154,1647.2900390625,-11.122554715861494
155,1658.056640625,-9.690326789382418
156,1668.8232421875,-10.658727212462535
157,1679.58984375,-11.605072832655345
158,1690.3564453125,-9.812258146503632
159,1701.123046875,-8.480929041516873
160,1711.8896484375,-10.289093765269035
161,1722.65625,-15.530807798536209
162,1733.4228515625,-20.166558930618823
163,1744.189453125,-18.992875312157643
164,1754.9560546875,-16.691915810954523
165,1765.72265625,-16.081724065487776
166,1776.4892578125,-16.705550395360174
167,1787.255859375,-17.165790030939604
168,1798.0224609375,-17.964644340171883
169,1808.7890625,-19.008419813754983
170,1819.5556640625,-18.194646067380965
171,1830.322265625,-22.25733188728419
172,1841.0888671875,-22.827422380257346
173,1851.85546875,-11.54579959510652
174,1862.6220703125,-7.647573073597938
175,1873.388671875,-6.326204137094163
176,1884.1552734375,-6.218348972449511
177,1894.921875,-7.614523499970861
178,1905.6884765625,-10.883576314901017
179,1916.455078125,-15.47413515858311
180,1927.2216796875,-17.26557397137228
181,1937.98828125,-10.322643421382942
182,1948.7548828125,-6.615009311266267
183,1959.521484375,-5.895941755960035
184,1970.2880859375,-6.618398427999748
185,1981.0546875,-9.113806655118946
186,1991.8212890625,-14.21351567035892
187,2002.587890625,-10.18848829327331
188,2013.3544921875,-8.689670087286508
189,2024.12109375,-7.995984490490422
190,2034.8876953125,-5.877646588915413
191,2045.654296875,-6.005739262990717
192,2056.4208984375,-5.3691166432441975
193,2067.1875,-2.12316870524228
194,2077.9541015625,0.17292276498739473
195,2088.720703125,0.5778593876905614
196,2099.4873046875,2.0221594370907012
197,2110.25390625,5.514342789633131
198,2121.0205078125,8.445820457489829
199,2131.787109375,10.328360814082927
200,2142.5537109375,11.691719135300438
201,2153.3203125,12.691084326004923
202,2164.0869140625,12.999662028197168
203,2174.853515625,12.103887785819325
204,2185.6201171875,9.845878770555824
205,2196.38671875,7.511987492430734
206,2207.1533203125,6.056321934267691
