bin,freq(Hz),pow(dB/Hz)
1,0,18.70505787299799
2,10.7666015625,21.30762565001387
3,21.533203125,21.057671393800423
4,32.2998046875,16.292269031521354
5,43.06640625,13.368066260096644
6,53.8330078125,14.818768553111035
7,64.599609375,15.287787439969174
8,75.3662109375,14.721604546343979
9,86.1328125,12.72272941054612
10,96.8994140625,8.252487112330051
11,107.666015625,-0.6689683557868595
12,118.4326171875,6.641504354464139
13,129.19921875,12.750572375440083
14,139.9658203125,14.28583435506113
15,150.732421875,12.964684396007254
16,161.4990234375,10.00100816617416
17,172.265625,7.408446498556421
18,183.0322265625,6.792571079092467
19,193.798828125,7.081667003872443
20,204.5654296875,6.938408013357025
21,215.33203125,5.927392755580626
22,226.0986328125,3.551749571968306
23,236.865234375,-0.24714544866611837
24,247.6318359375,-3.230758790224356
25,258.3984375,-2.87487838340105
26,269.1650390625,-1.30825695235504
27,279.931640625,-1.3141367785441167
28,290.6982421875,-3.727573396489825
29,301.46484375,-7.742936331720811
30,312.2314453125,-5.921004671672464
31,322.998046875,-1.870634150177663
32,333.7646484375,-0.9700650404257387
33,344.53125,-3.1299116272852694
34,355.2978515625,-8.086462628533734
35,366.064453125,-13.000520213213878
36,376.8310546875,-18.062607368191962
37,387.59765625,-12.853811375462719
38,398.3642578125,-6.259971825621173
39,409.130859375,-3.985814377398476
40,419.8974609375,-4.7057830043333695
41,430.6640625,-8.452587213812201
42,441.4306640625,-13.077336463381574
43,452.197265625,-10.842467007724029
44,462.9638671875,-10.737853057606069
45,473.73046875,-11.02444670800284
46,484.4970703125,-8.892986910511475
47,495.263671875,-9.46605445006194
48,506.0302734375,-14.918016767769693
49,516.796875,-24.26368761938312
50,527.5634765625,-21.745506476617955
51,538.330078125,-20.349500574012108
52,549.0966796875,-14.053354618011674
53,559.86328125,-7.580713339075053
54,570.6298828125,-3.6873137801127767
55,581.396484375,-2.044059881930945
56,592.1630859375,-2.163308056198274
57,602.9296875,-3.6458003062079705
58,613.6962890625,-6.160200599466924
59,624.462890625,-9.405970230278994
60,635.2294921875,-12.19870560328003
61,645.99609375,-11.8715338647738
62,656.7626953125,-9.44089495361813
63,667.529296875,-7.419907286541607
64,678.2958984375,-6.476869418074074
65,689.0625,-6.516705231864725
66,699.8291015625,-7.362721483339679
67,710.595703125,-8.876515716136899
68,721.3623046875,-11.405769972781021
69,732.12890625,-15.791882422071573
70,742.8955078125,-22.30702091767104
71,753.662109375,-17.976968951251557
72,764.4287109375,-11.971884569908031
73,775.1953125,-8.859046367673905
74,785.9619140625,-8.228686048657131
75,796.728515625,-9.55308057428798
76,807.4951171875,-11.451105648403983
77,818.26171875,-13.825170188125298
78,829.0283203125,-17.722738854399477
79,839.794921875,-14.05296857436831
80,850.5615234375,-10.864831074651633
81,861.328125,-10.495953310646122
82,872.0947265625,-11.62906655646984
83,882.861328125,-11.720660106516576
84,893.6279296875,-10.11889414463914
85,904.39453125,-9.978205349044504
86,915.1611328125,-11.595241294255093
87,925.927734375,-14.00492805886709
88,936.6943359375,-16.56700532079472
89,947.4609375,-19.557166371459772
