bin,freq(Hz),pow(dB/Hz)
1,0,16.01566518129766
2,10.7666015625,24.486305623970797
3,21.533203125,28.860047540390198
4,32.2998046875,29.12857749006133
5,43.06640625,26.418974962476206
6,53.8330078125,23.996079820557302
7,64.599609375,24.71804157103623
8,75.3662109375,25.325007033938988
9,86.1328125,24.893021380759155
10,96.8994140625,23.55193471040706
11,107.666015625,21.342011815471604
12,118.4326171875,19.39465360647691
13,129.19921875,18.65977821725583
14,139.9658203125,17.970466170647985
15,150.732421875,16.70168975203001
16,161.4990234375,14.52193504078976
17,172.265625,10.69281374930924
18,183.0322265625,4.367917746945124
19,193.798828125,-1.99896891601939
20,204.5654296875,6.760718761270099
21,215.33203125,12.064677751770814
22,226.0986328125,13.965942656197258
23,236.865234375,13.443165252557655
24,247.6318359375,11.439209797649726
25,258.3984375,8.976734604707644
26,269.1650390625,6.192147236770769
27,279.931640625,3.6760873209032265
28,290.6982421875,4.451833988257101
29,301.46484375,5.432430272596167
30,312.2314453125,3.975306578376089
31,322.998046875,0.9276339730316954
32,333.7646484375,-0.21788351317123175
33,344.53125,1.6303800122008139
34,355.2978515625,3.041068196214054
35,366.064453125,2.627567790841246
36,376.8310546875,0.8767551662205197
37,387.59765625,-1.6524529304468147
38,398.3642578125,-4.808773688249849
39,409.130859375,-4.772529958555908
40,419.8974609375,-3.226245254477284
41,430.6640625,-3.895483791614639
42,441.4306640625,-4.339477974129608
43,452.197265625,-1.8090760178973904
44,462.9638671875,-0.21765228414240229
45,473.73046875,-0.9097104271940668
46,484.4970703125,-3.9985496715249544
47,495.263671875,-10.610054065773458
48,506.0302734375,-16.895691384758
49,516.796875,-5.024891990874252
50,527.5634765625,-2.7041896468986177
51,538.330078125,-4.835935260588673
52,549.0966796875,-8.75624512023519
53,559.86328125,-7.6850661705209
54,570.6298828125,-3.5159755183081707
55,581.396484375,-1.9170868785415127
56,592.1630859375,-3.581954845393376
57,602.9296875,-3.5973281682203018
58,613.6962890625,-1.3818665473379723
59,624.462890625,-1.115632452612831
60,635.2294921875,-0.6975659885223257
61,645.99609375,-0.3785744165722357
62,656.7626953125,-2.867689774522976
63,667.529296875,-11.844126645416564
64,678.2958984375,-16.04646929065851
65,689.0625,-10.114674513228511
66,699.8291015625,-9.238666680784686
67,710.595703125,-6.17045015257193
68,721.3623046875,-4.973665035735745
69,732.12890625,-7.422035145186574
70,742.8955078125,-13.678902494525193
71,753.662109375,-10.55516288444391
72,764.4287109375,-5.212989001416622
73,775.1953125,-2.681767846108607
74,785.9619140625,-2.0007050306634317
75,796.728515625,-2.0118237065586895
76,807.4951171875,-0.567174934775979
77,818.26171875,0.6603116999961144
78,829.0283203125,-0.9207202462556273
79,839.794921875,-7.166697546488415
80,850.5615234375,-10.187117338993332
81,861.328125,-4.04444786107526
82,872.0947265625,-2.3637852386673033
83,882.861328125,-2.619215235270041
84,893.6279296875,-3.7438305375229697
85,904.39453125,-5.798262816234713
86,915.1611328125,-7.607655428880713
87,925.927734375,-5.959665453836703
88,936.6943359375,-4.196330752695777
89,947.4609375,-3.379380619560714
90,958.2275390625,-2.480132493851675
91,968.994140625,-1.287621108593214
92,979.7607421875,-0.45652988757142243
93,990.52734375,-0.9134051145990056
94,1001.2939453125,-3.4855792863156108
95,1012.060546875,-9.180028988262055
96,1022.8271484375,-20.039566733744856
97,1033.59375,-13.155750356827356
98,1044.3603515625,-10.088457243981956
99,1055.126953125,-10.05188669203433
100,1065.8935546875,-10.627748899892616
101,1076.66015625,-10.439119610831158
102,1087.4267578125,-9.339046609252735
103,1098.193359375,-8.49466794823672
104,1108.9599609375,-10.195493326556234
105,1119.7265625,-16.488836821567
106,1130.4931640625,-20.20830028162574
107,1141.259765625,-14.153659173740811
108,1152.0263671875,-12.952415478001296
109,1162.79296875,-16.752059170159175
110,1173.5595703125,-19.45943136165639
111,1184.326171875,-13.848118255945188
112,1195.0927734375,-10.200712746849703
113,1205.859375,-8.663942611516092
114,1216.6259765625,-8.022740546592697
115,1227.392578125,-6.816142039989997
116,1238.1591796875,-5.6187900201415095
117,1248.92578125,-5.287583155406578
118,1259.6923828125,-5.561421700999185
119,1270.458984375,-6.365435225381091
120,1281.2255859375,-7.909435270634475
121,1291.9921875,-8.314237294820499
122,1302.7587890625,-7.336288200125118
123,1313.525390625,-8.082060476015293
124,1324.2919921875,-8.833162581338657
125,1335.05859375,-6.589792937419926
126,1345.8251953125,-4.4291537752585945
127,1356.591796875,-3.324771220428979
128,1367.3583984375,-3.0188707733515767
129,1378.125,-2.804433610866544
130,1388.8916015625,-2.7778618176486307
131,1399.658203125,-3.8807457293522485
132,1410.4248046875,-6.026097296247196
133,1421.19140625,-7.567655208601215
134,1431.9580078125,-9.239439976579849
135,1442.724609375,-14.910836781227008
136,1453.4912109375,-26.15184642926338
137,1464.2578125,-12.677578372913834
138,1475.0244140625,-10.4591559580802
139,1485.791015625,-11.88591907362381
140,1496.5576171875,-13.763863008669915
141,1507.32421875,-12.110729017616432
142,1518.0908203125,-12.408506872803592
143,1528.857421875,-17.49441979018873
144,1539.6240234375,-19.789279363590598
145,1550.390625,-14.429907653603696
146,1561.1572265625,-14.412047871534469
147,1571.923828125,-19.183216004103297
148,1582.6904296875,-11.90483088095318
149,1593.45703125,-7.358519502872314
150,1604.2236328125,-6.741744283986004
151,1614.990234375,-10.055749670627756
152,1625.7568359375,-18.495071261265497
153,1636.5234375,-11.256300102931323
154,1647.2900390625,-7.610888271394161
155,1658.056640625,-7.242528893901545
156,1668.8232421875,-9.139353801725282
