bin,freq(Hz),pow(dB/Hz)
1,0,31.335173569125452
2,5.38330078125,32.24546883242725
3,10.7666015625,33.76977294370741
4,16.14990234375,34.599932219677086
5,21.533203125,34.38467909171046
6,26.91650390625,33.231120814005116
7,32.2998046875,31.472408538612193
8,37.68310546875,29.423798475728287
9,43.06640625,27.215035167758238
10,48.44970703125,25.096131940955782
11,53.8330078125,23.658785574818783
12,59.21630859375,23.16972438912731
13,64.599609375,23.093234484361354
14,69.98291015625,22.749367326615214
15,75.3662109375,21.726344428473062
16,80.74951171875,19.82907598058724
17,86.1328125,16.892509469961357
18,91.51611328125,12.182812212870386
19,96.8994140625,0.8832485166819666
20,102.28271484375,4.977331808351853
21,107.666015625,12.147590777138449
22,113.04931640625,14.54887181832424
23,118.4326171875,14.788849883803747
24,123.81591796875,13.533484135707157
25,129.19921875,11.11979243944051
26,134.58251953125,7.713001390750841
27,139.9658203125,3.170174355075389
28,145.34912109375,-3.6414009932637543
29,150.732421875,-20.84702578655844
30,156.11572265625,-5.924846733136773
31,161.4990234375,-1.132409019926977
32,166.88232421875,1.0156983915543591
33,172.265625,2.331250307242627
34,177.64892578125,3.0223127646596835
35,183.0322265625,2.8015853361394805
36,188.41552734375,1.8579136233599542
37,193.798828125,1.537711176638747
38,199.18212890625,3.2581137995365013
39,204.5654296875,5.54426732358711
40,209.94873046875,6.924946247192371
41,215.33203125,6.983946955598817
42,220.71533203125,5.417956711509046
43,226.0986328125,1.4719112620812513
44,231.48193359375,-6.962900462430404
45,236.865234375,-6.454154420567977
46,242.24853515625,-1.674408258654242
47,247.6318359375,-0.5122432760630369
48,253.01513671875,-1.2408647771721641
49,258.3984375,-4.239163644571202
50,263.78173828125,-9.878717043086043
51,269.1650390625,-5.535136950381913
52,274.54833984375,-1.2821065037787425
53,279.931640625,0.4592479624384881
54,285.31494140625,1.2042727368149
55,290.6982421875,1.7265775702839234
56,296.08154296875,2.07540205330413
57,301.46484375,2.0720237013703175
58,306.84814453125,1.6117925535014386
59,312.2314453125,0.6668072696643114
60,317.61474609375,-0.6125410898632483
61,322.998046875,-1.7835266740812559
62,328.38134765625,-2.32268801424412
63,333.7646484375,-2.3290492251606145
64,339.14794921875,-2.555591063509644
65,344.53125,-3.5766648327884534
66,349.91455078125,-5.524623705641101
67,355.2978515625,-8.277958141342827
68,360.68115234375,-12.013790333690974
69,366.064453125,-19.018644270036326
70,371.44775390625,-21.125925777099322
71,376.8310546875,-11.029069183260399
72,382.21435546875,-6.5058998728632025
73,387.59765625,-4.362100723369836
74,392.98095703125,-3.772957958871724
75,398.3642578125,-3.9552410432578284
76,403.74755859375,-3.506800846274084
77,409.130859375,-1.9378664133158294
78,414.51416015625,-0.48515150527999457
79,419.8974609375,-0.004407672707615419
80,425.28076171875,-0.8010013593775516
81,430.6640625,-3.0779736263394604
82,436.04736328125,-6.977701847417549
83,441.4306640625,-12.345209764378398
84,446.81396484375,-19.998487749046507
85,452.197265625,-17.958694515506494
86,457.58056640625,-9.887207727198202
87,462.9638671875,-5.774351465235394
88,468.34716796875,-3.615780327462911
89,473.73046875,-2.6933115712279108
90,479.11376953125,-2.530210191939534
91,484.4970703125,-2.4421879892766873
92,489.88037109375,-1.9239019651670421
93,495.263671875,-1.3566888043489507
94,500.64697265625,-1.4727196677122811
95,506.0302734375,-2.880192112514666
96,511.41357421875,-5.921017019312074
97,516.796875,-7.576179006434113
98,522.18017578125,-4.308894875345563
99,527.5634765625,-1.466767309765407
100,532.94677734375,0.20088057892292266
101,538.330078125,1.008406230002854
102,543.71337890625,0.8063632871379857
103,549.0966796875,-0.8555057629004732
104,554.47998046875,-4.705609399734924
105,559.86328125,-11.487526244849377
106,565.24658203125,-10.355735396349338
107,570.6298828125,-6.410725996331234
108,576.01318359375,-5.152736702020432
