bin,freq(Hz),pow(dB/Hz)
1,0,-33.58653145889683
2,21.533203125,-15.826868146228112
3,43.06640625,-10.610790247729287
4,64.599609375,-8.427150803253733
5,86.1328125,-8.015375158806867
6,107.666015625,-9.186892615362325
7,129.19921875,-12.011528957773896
8,150.732421875,-16.563126369323754
9,172.265625,-22.87100679226416
10,193.798828125,-31.139683812386313
11,215.33203125,-33.689428277432256
12,236.865234375,-30.781727257006608
13,258.3984375,-31.130805278769017
14,279.931640625,-34.5495930333564
15,301.46484375,-42.46288527021429
16,322.998046875,-48.352674941113534
17,344.53125,-38.553357909815425
18,366.064453125,-35.71762232606566
19,387.59765625,-35.69330573626308
20,409.130859375,-36.127840472014206
21,430.6640625,-33.93434672576631
22,452.197265625,-30.528616281624778
23,473.73046875,-27.441347969912606
24,495.263671875,-24.341623661967656
25,516.796875,-20.66656324611747
26,538.330078125,-17.50841842815648
27,559.86328125,-15.963964668868718
28,581.396484375,-16.282014021881583
29,602.9296875,-18.250217774350187
30,624.462890625,-21.326052306840005
31,645.99609375,-24.819295604421747
32,667.529296875,-28.416350626990972
33,689.0625,-32.44696180104597
34,710.595703125,-37.173199159233874
35,732.12890625,-40.046443292470286
36,753.662109375,-39.50957059555592
37,775.1953125,-39.47054702341371
38,796.728515625,-40.060570397225696
39,818.26171875,-38.873836021918386
40,839.794921875,-35.9109074850282
41,861.328125,-33.64034844538095
42,882.861328125,-32.554953925170636
43,904.39453125,-31.603219428711554
44,925.927734375,-30.405536650332472
45,947.4609375,-29.94810210018022
46,968.994140625,-30.80980486329842
47,990.52734375,-33.082072306660656
48,1012.060546875,-36.736529740232264
49,1033.59375,-41.56616248812422
50,1055.126953125,-43.15436550789086
51,1076.66015625,-37.57017481435456
52,1098.193359375,-34.040748462793424
53,1119.7265625,-33.27852659988038
54,1141.259765625,-34.76752707472351
55,1162.79296875,-38.3227772058298
56,1184.326171875,-44.414197059010895
57,1205.859375,-38.28517267161474
58,1227.392578125,-32.069395608454215
59,1248.92578125,-29.50509409994895
60,1270.458984375,-29.692294896156184
61,1291.9921875,-32.14075687545212
62,1313.525390625,-36.40556949802607
63,1335.05859375,-43.04137245205807
64,1356.591796875,-45.50616628751847
65,1378.125,-39.19243453617674
66,1399.658203125,-36.0773355520231
67,1421.19140625,-35.628220181511246
68,1442.724609375,-36.158614417371496
69,1464.2578125,-32.584843332925594
70,1485.791015625,-28.054961575886303
71,1507.32421875,-25.66871525184237
72,1528.857421875,-26.201396005132285
73,1550.390625,-30.48550821478594
74,1571.923828125,-31.25040311408767
75,1593.45703125,-27.41466211715661
76,1614.990234375,-27.638347224007184
77,1636.5234375,-29.94544513161702
78,1658.056640625,-27.433480309478355
79,1679.58984375,-23.47037418302929
80,1701.123046875,-21.562625639362075
81,1722.65625,-21.764369631205863
82,1744.189453125,-22.99046712426587
83,1765.72265625,-22.561095489605492
84,1787.255859375,-22.0379586375749
85,1808.7890625,-24.92261454805608
86,1830.322265625,-34.635440700837535
87,1851.85546875,-24.461979521392173
88,1873.388671875,-19.828066768059365
89,1894.921875,-19.0886243490328
90,1916.455078125,-21.97441421109253
91,1937.98828125,-28.735879727819725
92,1959.521484375,-23.347025154950067
93,1981.0546875,-19.883898089029046
94,2002.587890625,-19.258786902374748
95,2024.12109375,-17.841621740688907
96,2045.654296875,-14.95516228818028
97,2067.1875,-13.177142936636873
98,2088.720703125,-12.92484331516454
99,2110.25390625,-13.344497083650332
100,2131.787109375,-13.36534592700416
101,2153.3203125,-13.271847473473803
102,2174.853515625,-13.876880518430015
103,2196.38671875,-14.981395640319535
104,2217.919921875,-16.434665457790857
105,2239.453125,-19.770508335199928
106,2260.986328125,-22.183792816040334
107,2282.51953125,-18.241063941526782
108,2304.052734375,-17.735128375867152
109,2325.5859375,-21.94277744702173
110,2347.119140625,-22.657775846267878
111,2368.65234375,-20.457369700602147
112,2390.185546875,-21.795720029839494
113,2411.71875,-15.571506887641586
114,2433.251953125,-11.385108480767357
115,2454.78515625,-10.20266524289121
116,2476.318359375,-10.730614519331073
117,2497.8515625,-12.26993788861844
118,2519.384765625,-16.321293844101707
119,2540.91796875,-26.234631029071522
120,2562.451171875,-14.10261070609277
121,2583.984375,-10.20095938143543
122,2605.517578125,-9.901881747733237
123,2627.05078125,-12.190454170502916
124,2648.583984375,-19.015792225424914
125,2670.1171875,-21.861737581374285
126,2691.650390625,-11.248349350321456
127,2713.18359375,-7.82728124317863
128,2734.716796875,-7.339830675216801
129,2756.25,-6.996812508592822
130,2777.783203125,-5.594562919001984
131,2799.31640625,-5.5709580767250655
132,2820.849609375,-7.282620223706678
133,2842.3828125,-12.583997577936106
134,2863.916015625,-10.44932198796415
135,2885.44921875,1.986524160048249
136,2906.982421875,7.441986528294703
137,2928.515625,9.379407613142224
138,2950.048828125,7.860598484194517
139,2971.58203125,4.349898078161171
140,2993.115234375,10.409051932876885
141,3014.6484375,15.486456637063743
142,3036.181640625,18.423435174488922
143,3057.71484375,20.00343364961539
144,3079.248046875,20.347067425354275
145,3100.78125,19.43741892955619
146,3122.314453125,17.336217320775848
147,3143.84765625,14.1465921580436
148,3165.380859375,9.878440514372558
149,3186.9140625,4.275824625339732
150,3208.447265625,-3.1888804992658843
151,3229.98046875,-3.7333722146377046
152,3251.513671875,1.344130502908092
153,3273.046875,3.7269980670685587
154,3294.580078125,3.6831374282871288
155,3316.11328125,1.1442746121049872
156,3337.646484375,-4.388273303270292
157,3359.1796875,-14.196193325204757
158,3380.712890625,-21.4264703524005
159,3402.24609375,-14.641504401746097
160,3423.779296875,-11.971051376175739
161,3445.3125,-13.117530277558764
162,3466.845703125,-18.315291034366975
163,3488.37890625,-21.638165760124366
164,3509.912109375,-18.24712222517117
165,3531.4453125,-18.26920363452402
166,3552.978515625,-15.821581720594446
167,3574.51171875,-11.28999924046244
168,3596.044921875,-9.315627923572963
169,3617.578125,-9.726172471833777
170,3639.111328125,-11.450219055140476
171,3660.64453125,-12.371405629430722
172,3682.177734375,-11.612283639645968
173,3703.7109375,-10.59477656406936
174,3725.244140625,-10.320697946810425
175,3746.77734375,-10.437656089627678
176,3768.310546875,-10.1051652074039
177,3789.84375,-10.157502698316325
178,3811.376953125,-10.692812604457
179,3832.91015625,-10.723113021662947
180,3854.443359375,-11.82584294398325
181,3875.9765625,-16.848743990727662
182,3897.509765625,-27.0686618330635
183,3919.04296875,-17.000401989964146
184,3940.576171875,-15.117835011569078
185,3962.109375,-17.66524743691273
186,3983.642578125,-25.686658709883098
187,4005.17578125,-24.96092562524993
188,4026.708984375,-21.264656937845906
189,4048.2421875,-22.82304920547729
190,4069.775390625,-30.21000999533158
191,4091.30859375,-36.6217615978586
192,4112.841796875,-30.13146534072571
193,4134.375,-33.37158032144326
194,4155.908203125,-42.78227719647113
195,4177.44140625,-27.485993033641666
196,4198.974609375,-20.368067478450488
197,4220.5078125,-16.072410044830683
198,4242.041015625,-14.326962194648825
199,4263.57421875,-15.248827661610264
200,4285.107421875,-19.576391555199123
201,4306.640625,-31.371460193633716
202,4328.173828125,-26.813731165862297
203,4349.70703125,-21.9472505265937
204,4371.240234375,-20.73477712706302
205,4392.7734375,-21.408058892390244
206,4414.306640625,-24.058649517374825
207,4435.83984375,-30.343907887932822
208,4457.373046875,-42.94670176849479
209,4478.90625,-27.13962789506018
210,4500.439453125,-21.649396772801623
211,4521.97265625,-18.58021553606858
212,4543.505859375,-17.120045304072043
213,4565.0390625,-17.008029649942653
214,4586.572265625,-18.108436606131516
215,4608.10546875,-20.078503422925884
216,4629.638671875,-21.371711235795146
217,4651.171875,-21.444109594845173
218,4672.705078125,-22.389890904811608
219,4694.23828125,-24.902672433520763
220,4715.771484375,-27.94026200713837
221,4737.3046875,-29.704902660626654
222,4758.837890625,-29.597736076024496
223,4780.37109375,-28.4183216318211
224,4801.904296875,-27.096769109890886
225,4823.4375,-26.54281092833827
226,4844.970703125,-27.26104228079891
227,4866.50390625,-28.806630350840827
228,4888.037109375,-30.133948443938454
229,4909.5703125,-32.02738039936065
230,4931.103515625,-38.6788694240829
231,4952.63671875,-41.9450395626209
232,4974.169921875,-31.945020386009976
233,4995.703125,-29.423427983959908
234,5017.236328125,-28.42472573929653
235,5038.76953125,-27.36971366752709
236,5060.302734375,-26.758406179336845
237,5081.8359375,-24.43209545022023
238,5103.369140625,-20.44541929998385
239,5124.90234375,-17.689535706066785
240,5146.435546875,-16.605601174833563
241,5167.96875,-16.87104358476605
242,5189.501953125,-18.180042814271367
243,5211.03515625,-20.453689076814765
244,5232.568359375,-23.724061164211108
245,5254.1015625,-27.4017556078401
246,5275.634765625,-28.690091710938685
247,5297.16796875,-27.037183268332985
248,5318.701171875,-25.72986732247959
249,5340.234375,-25.728384406757193
250,5361.767578125,-26.53151737019614
251,5383.30078125,-26.79427903398011
252,5404.833984375,-26.131124065642886
253,5426.3671875,-25.834168189378634
254,5447.900390625,-26.935181784117354
255,5469.43359375,-30.065495412699505
256,5490.966796875,-36.023681676553714
257,5512.5,-44.00327705438599
258,5534.033203125,-42.95312335458445
259,5555.56640625,-42.302216619665074
260,5577.099609375,-43.77215393399312
261,5598.6328125,-46.365670786025234
262,5620.166015625,-46.28959375578093
263,5641.69921875,-40.84378699878581
264,5663.232421875,-36.55781241713132
265,5684.765625,-34.28064309059033
266,5706.298828125,-33.762718827191776
267,5727.83203125,-35.03926187575971
268,5749.365234375,-38.33780770209393
269,5770.8984375,-40.83263875500839
270,5792.431640625,-36.28119625816084
271,5813.96484375,-32.03974882818597
272,5835.498046875,-29.646304049467407
273,5857.03125,-29.002465003584305
274,5878.564453125,-30.26492133171871
275,5900.09765625,-34.426436421861986
276,5921.630859375,-43.6765117651876
277,5943.1640625,-33.38103786276924
278,5964.697265625,-28.032285266387152
279,5986.23046875,-25.55115526555024
280,6007.763671875,-24.553819647203685
281,6029.296875,-24.566417295037596
282,6050.830078125,-25.418000543901474
283,6072.36328125,-26.83229515423904
284,6093.896484375,-28.070529745021922
285,6115.4296875,-28.351640056883667
286,6136.962890625,-27.87949251511514
287,6158.49609375,-27.42257344625176
288,6180.029296875,-27.58445424979262
289,6201.5625,-28.669437442372647
290,6223.095703125,-30.867447975935256
291,6244.62890625,-34.88189300932998
292,6266.162109375,-41.35157131836624
293,6287.6953125,-36.16275696587263
294,6309.228515625,-31.12266962574656
295,6330.76171875,-28.955236899135492
296,6352.294921875,-28.694678870970634
297,6373.828125,-29.680824403907206
298,6395.361328125,-31.11175458311422
299,6416.89453125,-32.79209943776216
300,6438.427734375,-35.21687274365001
301,6459.9609375,-37.84852311201076
302,6481.494140625,-40.790164176345826
303,6503.02734375,-46.96422924883219
304,6524.560546875,-48.56644616462107
305,6546.09375,-49.76863290924379
306,6567.626953125,-63.23582594375825
307,6589.16015625,-46.69897875515239
308,6610.693359375,-42.81402213788585
309,6632.2265625,-40.51150127038825
310,6653.759765625,-38.73010203858687
311,6675.29296875,-37.63662708257203
312,6696.826171875,-36.8736859204748
313,6718.359375,-35.7092613094177
314,6739.892578125,-34.262135694101076
315,6761.42578125,-33.277427924741694
316,6782.958984375,-33.17153731770076
317,6804.4921875,-33.978568709264266
318,6826.025390625,-34.826276683605826
319,6847.55859375,-33.91201925581778
320,6869.091796875,-31.964826629971515
321,6890.625,-30.85825461633403
322,6912.158203125,-31.064509061264896
323,6933.69140625,-32.32619420854738
324,6955.224609375,-34.461995571612334
325,6976.7578125,-37.837070055402585
326,6998.291015625,-41.61142423224679
327,7019.82421875,-38.63279179201038
328,7041.357421875,-34.58893661849521
329,7062.890625,-31.984991524849576
330,7084.423828125,-30.144297480684244
331,7105.95703125,-28.684442053227954
332,7127.490234375,-27.00597718432889
