bin,freq(Hz),pow(dB/Hz)
1,0,10.415428065892446
2,5.38330078125,13.147669262859695
3,10.7666015625,15.89811620990854
4,16.14990234375,16.64572967540854
5,21.533203125,15.722434738337341
6,26.91650390625,14.37152971944952
7,32.2998046875,14.984238874104221
8,37.68310546875,16.53246675241338
9,43.06640625,16.96533656848853
10,48.44970703125,15.839401612739092
11,53.8330078125,13.68803130240875
12,59.21630859375,13.056079611786478
13,64.599609375,14.544446883365229
14,69.98291015625,15.338887738256627
15,75.3662109375,14.402974869830325
16,80.74951171875,11.18811280364155
17,86.1328125,4.083123969681152
18,91.51611328125,2.3038943254165183
19,96.8994140625,8.556408203584606
20,102.28271484375,10.89498241522556
21,107.666015625,11.264373858877047
22,113.04931640625,10.383600011536938
23,118.4326171875,8.573367956031106
24,123.81591796875,6.052236815281963
25,129.19921875,3.0860367575293846
26,134.58251953125,0.009428670570552744
27,139.9658203125,-3.1208675845305676
28,145.34912109375,-6.625129128376876
29,150.732421875,-7.3377644559889745
30,156.11572265625,-2.9328108193461073
31,161.4990234375,0.8267688054105126
32,166.88232421875,3.2017970696954356
33,172.265625,4.516941315430657
34,177.64892578125,5.000602303055784
35,183.0322265625,4.782419101805532
36,188.41552734375,3.944324997241504
37,193.798828125,2.549757113766507
38,199.18212890625,0.6326321910546342
39,204.5654296875,-1.8100395298806955
40,209.94873046875,-4.601417854350467
41,215.33203125,-6.64274928593056
42,220.71533203125,-6.6137972947377675
43,226.0986328125,-5.64623299064642
44,231.48193359375,-4.9434562861752696
45,236.865234375,-4.750348762722666
46,242.24853515625,-5.168890462318252
47,247.6318359375,-6.413491388613992
48,253.01513671875,-8.806616099927918
49,258.3984375,-12.929281526315389
50,263.78173828125,-20.562124293214048
51,269.1650390625,-32.44264924070942
52,274.54833984375,-23.183494667723874
53,279.931640625,-22.286583186183755
54,285.31494140625,-16.979422408128187
55,290.6982421875,-9.971843173262071
56,296.08154296875,-5.23246149677528
57,301.46484375,-2.1061533330777342
58,306.84814453125,-0.017906266104531988
59,312.2314453125,1.4457425508311725
60,317.61474609375,2.573861966287394
61,322.998046875,3.5030883356182296
62,328.38134765625,4.236144595582904
63,333.7646484375,4.723995038731408
64,339.14794921875,4.933871115780733
65,344.53125,4.8631741594105575
66,349.91455078125,4.513889985625584
67,355.2978515625,3.8540074690815946
68,360.68115234375,2.790947474524341
69,366.064453125,1.1717502591248485
70,371.44775390625,-1.1795373041170927
71,376.8310546875,-4.283096937213533
72,382.21435546875,-7.2416602735206475
73,387.59765625,-8.121932325564279
74,392.98095703125,-7.921446487932804
75,398.3642578125,-8.614481423035997
76,403.74755859375,-10.797553693574374
77,409.130859375,-14.307089954829795
78,414.51416015625,-16.610928871986776
79,419.8974609375,-15.510433742422993
80,425.28076171875,-14.592770267836261
81,430.6640625,-15.363025168368292
82,436.04736328125,-17.974263115295514
83,441.4306640625,-17.07564940969857
84,446.81396484375,-11.358639894967531
85,452.197265625,-7.246233614893846
86,457.58056640625,-4.8164810678850465
87,462.9638671875,-3.7251312966568326
88,468.34716796875,-3.8442295703047478
89,473.73046875,-5.220139586699317
90,479.11376953125,-8.111645030544423
91,484.4970703125,-13.166463010186419
92,489.88037109375,-19.79244223559309
93,495.263671875,-17.1146720697891
94,500.64697265625,-14.09687585765915
95,506.0302734375,-12.916511737860507
96,511.41357421875,-12.463070336396925
97,516.796875,-12.431143553016181
98,522.18017578125,-13.27225352751233
99,527.5634765625,-15.904914201636265
100,532.94677734375,-22.063704396351458
101,538.330078125,-21.139052233812762
102,543.71337890625,-14.487772156211724
103,549.0966796875,-11.375407183501242
104,554.47998046875,-10.414884561113553
105,559.86328125,-11.426862108072983
106,565.24658203125,-15.357632675044986
