bin,freq(Hz),pow(dB/Hz)
1,0,-13.333347893672862
2,21.533203125,-10.800691012082005
3,43.06640625,-6.435345855442742
4,64.599609375,-3.3263926896625313
5,86.1328125,-2.288172802250499
6,107.666015625,-3.5110864552371037
7,129.19921875,-7.2626376818470115
8,150.732421875,-14.075643273621964
9,172.265625,-18.521204635194565
10,193.798828125,-15.487649411975951
11,215.33203125,-13.769513233923277
12,236.865234375,-13.076765285639095
13,258.3984375,-13.991163131025354
14,279.931640625,-16.776994028992714
15,301.46484375,-17.185554346942112
16,322.998046875,-16.640989863313443
17,344.53125,-20.24467410877888
18,366.064453125,-31.492613236813902
19,387.59765625,-28.094831576952398
20,409.130859375,-28.170765878886705
21,430.6640625,-25.178712705083196
22,452.197265625,-20.153521043984497
23,473.73046875,-17.516765099822635
24,495.263671875,-16.60866639164025
25,516.796875,-16.278538234606547
26,538.330078125,-16.209098498284323
27,559.86328125,-17.285119260685494
28,581.396484375,-19.360330318237132
29,602.9296875,-20.78365935522552
30,624.462890625,-20.5192650758907
31,645.99609375,-21.375152036295212
32,667.529296875,-28.215846364842854
33,689.0625,-22.043754408023474
34,710.595703125,-16.384678635087862
35,732.12890625,-15.220597997390284
36,753.662109375,-16.25690619330171
37,775.1953125,-17.90611387331141
38,796.728515625,-18.994641310475856
39,818.26171875,-19.34001560144257
40,839.794921875,-19.380283586534087
41,861.328125,-20.996839892527408
42,882.861328125,-24.151616220779317
43,904.39453125,-22.890516966135163
44,925.927734375,-23.11960427411675
45,947.4609375,-30.734871797260904
46,968.994140625,-32.61531728745196
47,990.52734375,-24.622161514893712
48,1012.060546875,-23.608525803957498
49,1033.59375,-25.98595268089779
50,1055.126953125,-23.37979890530746
51,1076.66015625,-17.67017388147906
52,1098.193359375,-14.738561058871367
53,1119.7265625,-13.727399568464476
54,1141.259765625,-13.270822156155887
55,1162.79296875,-12.405088586550333
56,1184.326171875,-11.742823914328287
57,1205.859375,-11.851364779741886
58,1227.392578125,-13.082793041135055
59,1248.92578125,-16.37536604107384
60,1270.458984375,-21.744293849259723
61,1291.9921875,-17.34161706176689
62,1313.525390625,-13.623447065919521
63,1335.05859375,-12.082733127823884
64,1356.591796875,-10.911679497396513
65,1378.125,-9.866785644875968
66,1399.658203125,-9.767954510406621
67,1421.19140625,-10.785399471366405
68,1442.724609375,-11.683042132572186
69,1464.2578125,-12.44145804089474
70,1485.791015625,-15.344640851172207
71,1507.32421875,-24.103896033029958
72,1528.857421875,-26.84503868655053
73,1550.390625,-19.97927790413747
74,1571.923828125,-16.34441906982139
75,1593.45703125,-12.58214830917356
76,1614.990234375,-10.324344444110519
77,1636.5234375,-10.753431127044369
78,1658.056640625,-13.638318924759968
79,1679.58984375,-16.195800814307717
80,1701.123046875,-18.271206688394088
81,1722.65625,-21.685501950548428
82,1744.189453125,-26.863721065582205
83,1765.72265625,-32.36218294221004
84,1787.255859375,-40.36381137630718
85,1808.7890625,-32.71268519391925
86,1830.322265625,-22.216705255678924
87,1851.85546875,-18.167701087060358
88,1873.388671875,-19.85960238633172
89,1894.921875,-32.334565059243715
90,1916.455078125,-19.047832148894244
91,1937.98828125,-14.5988708660205
92,1959.521484375,-14.607300710215378
93,1981.0546875,-18.047563332133812
94,2002.587890625,-23.30791687756446
95,2024.12109375,-24.31266042653048
96,2045.654296875,-19.419869846320324
97,2067.1875,-15.928200312683298
98,2088.720703125,-13.78732665440879
99,2110.25390625,-12.914650624300272
100,2131.787109375,-14.727147090014283
101,2153.3203125,-19.52389265513974
102,2174.853515625,-24.88589871904253
103,2196.38671875,-21.83455628095368
104,2217.919921875,-15.241432361618832
105,2239.453125,-15.843399265945969
106,2260.986328125,-15.331753324392334
107,2282.51953125,-9.608005522429716
108,2304.052734375,-7.130147944235312
109,2325.5859375,-5.725368233900285
110,2347.119140625,-4.837813433449198
111,2368.65234375,-5.670200268965182
112,2390.185546875,-8.504340380477093
113,2411.71875,-11.60684377921953
114,2433.251953125,-13.909331540436575
