bin,freq(Hz),pow(dB/Hz)
1,0,-14.621341188463807
2,5.38330078125,-14.60857882242156
3,10.7666015625,-14.389593413595257
4,16.14990234375,-13.683911672501509
5,21.533203125,-12.13482011203081
6,26.91650390625,-9.482187964910619
7,32.2998046875,-6.289952318209842
8,37.68310546875,-3.2948197305835
9,43.06640625,-0.8534542444238162
10,48.44970703125,0.8783147580169354
11,53.8330078125,1.8008169699536092
12,59.21630859375,1.8473773607749662
13,64.599609375,0.9929609498071533
14,69.98291015625,-0.7286435753228795
15,75.3662109375,-3.15573441526445
16,80.74951171875,-5.805260416949557
17,86.1328125,-7.746242016435767
18,91.51611328125,-8.134354269702845
19,96.8994140625,-7.1396052300647375
20,102.28271484375,-6.004715827181083
21,107.666015625,-5.782907834148964
22,113.04931640625,-6.920065299924751
23,118.4326171875,-9.569257639208397
24,123.81591796875,-13.558170877940936
25,129.19921875,-17.29071797783371
26,134.58251953125,-18.71658558734763
27,139.9658203125,-19.776593484950723
28,145.34912109375,-20.187324795140068
29,150.732421875,-17.59058011734339
30,156.11572265625,-14.864124208793182
31,161.4990234375,-13.604297562707012
32,166.88232421875,-13.848910953758482
33,172.265625,-15.610452822278774
34,177.64892578125,-19.126856070931648
35,183.0322265625,-22.358950022532355
36,188.41552734375,-19.003871050707588
37,193.798828125,-15.623093315310928
38,199.18212890625,-13.978393622846578
39,204.5654296875,-13.518546964135815
40,209.94873046875,-13.815105647997292
41,215.33203125,-14.716000408686652
42,220.71533203125,-16.245816671669928
43,226.0986328125,-18.288363908370293
44,231.48193359375,-20.381802651810077
45,236.865234375,-21.822297085695205
46,242.24853515625,-21.382343603000415
47,247.6318359375,-19.056837870553366
48,253.01513671875,-16.867465852750154
49,258.3984375,-15.701739070976926
50,263.78173828125,-15.4406165644993
51,269.1650390625,-15.57130029768902
52,274.54833984375,-15.629695241171952
53,279.931640625,-15.650645964848042
54,285.31494140625,-15.991036472011697
55,290.6982421875,-17.000881439450957
56,296.08154296875,-19.049168433773627
57,301.46484375,-22.664903605630357
58,306.84814453125,-28.169210201467422
59,312.2314453125,-29.77026678351242
60,317.61474609375,-27.168451101754044
61,322.998046875,-26.608472143210378
62,328.38134765625,-27.91775653761
63,333.7646484375,-30.727677375417286
64,339.14794921875,-34.70956017289406
65,344.53125,-35.10449908437426
66,349.91455078125,-31.05119659488659
67,355.2978515625,-27.95981913821551
68,360.68115234375,-26.06996525239638
69,366.064453125,-25.248843269790513
70,371.44775390625,-25.655388249158765
71,376.8310546875,-27.64619849550575
72,382.21435546875,-31.92081631584309
73,387.59765625,-37.40173155556895
74,392.98095703125,-32.48728032216232
75,398.3642578125,-28.172735395519865
76,403.74755859375,-26.14642943840034
77,409.130859375,-25.76180222254318
78,414.51416015625,-26.743092814440914
79,419.8974609375,-28.92986603805965
80,425.28076171875,-32.121767919994845
81,430.6640625,-35.04663715858568
82,436.04736328125,-34.32690143854948
83,441.4306640625,-31.77364794028349
84,446.81396484375,-29.912583359973624
85,452.197265625,-28.881981086537447
86,457.58056640625,-28.349586492293245
87,462.9638671875,-27.989817843800658
88,468.34716796875,-27.674513805128832
89,473.73046875,-27.445948400006355
90,479.11376953125,-27.28887019245281
91,484.4970703125,-27.123084788699412
92,489.88037109375,-27.0380490874711
93,495.263671875,-27.25416963790942
94,500.64697265625,-27.83149871254802
95,506.0302734375,-28.58324365613661
96,511.41357421875,-29.34191517523295
97,516.796875,-30.30420415273564
98,522.18017578125,-31.96353076524486
99,527.5634765625,-34.829985720344645
100,532.94677734375,-38.436094467025725
101,538.330078125,-37.174379337287114
102,543.71337890625,-32.9077091895677
103,549.0966796875,-29.938276054565087
104,554.47998046875,-28.42174959395525
105,559.86328125,-28.13601877807696
106,565.24658203125,-28.650305785925376
107,570.6298828125,-29.161399145414112
108,576.01318359375,-29.163419768403504
