freq(Hz),pow(dB/Hz)
0,-14.26885196094842
10.7666015625,-14.06878533776208
21.533203125,-13.773805387771231
32.2998046875,-14.11840634485706
43.06640625,-15.611789643856044
53.8330078125,-15.665659679979164
64.599609375,-11.675320682584989
75.3662109375,-8.000559924269488
86.1328125,-5.469269430249129
96.8994140625,-3.8785273280714883
107.666015625,-3.2988729654343367
118.4326171875,-3.7720246425980184
129.19921875,-4.929659295394861
139.9658203125,-5.825446365390125
150.732421875,-5.823251916061566
161.4990234375,-5.38349517044756
172.265625,-4.942697066172018
183.0322265625,-4.5267919417537
193.798828125,-4.136651158151605
204.5654296875,-3.914982027583804
215.33203125,-4.05451539240321
226.0986328125,-4.645067852915488
236.865234375,-5.609295919059141
247.6318359375,-6.813748599277426
258.3984375,-8.288303900130508
269.1650390625,-10.164075048532968
279.931640625,-11.92766010506594
290.6982421875,-12.037743800108249
301.46484375,-10.948854752233547
312.2314453125,-10.393877590201503
322.998046875,-10.929811494795416
333.7646484375,-12.590734359641795
344.53125,-15.442683985472259
355.2978515625,-19.798731343727372
366.064453125,-25.363341602152417
376.8310546875,-25.01525450206346
387.59765625,-21.120188269953196
398.3642578125,-17.80786089803898
409.130859375,-14.542034405452766
419.8974609375,-11.450389865354804
430.6640625,-8.921137396830925
441.4306640625,-7.195422515788272
452.197265625,-6.419507812349265
462.9638671875,-6.617169311523774
473.73046875,-7.413230283129715
484.4970703125,-7.795547723153429
495.263671875,-7.432605283236759
506.0302734375,-7.397584326140894
516.796875,-8.303639706406392
527.5634765625,-9.49267932888975
538.330078125,-9.385553951818867
549.0966796875,-8.159879229326169
559.86328125,-7.186028826947401
570.6298828125,-7.058893799842321
581.396484375,-7.958326077730762
592.1630859375,-9.968640037202846
602.9296875,-13.208714796178958
613.6962890625,-18.166264237651973
624.462890625,-27.146567511212133
635.2294921875,-27.629164172301287
645.99609375,-20.888011262840024
656.7626953125,-18.3363523843718
667.529296875,-17.674034981195025
678.2958984375,-18.170110023195285
689.0625,-19.4578685999174
699.8291015625,-21.304372343050304
710.595703125,-23.53730397786184
721.3623046875,-25.993246091760295
732.12890625,-28.20758975073329
742.8955078125,-28.402181102837616
753.662109375,-25.85604955404305
764.4287109375,-23.144159282737856
775.1953125,-21.535011829561306
785.9619140625,-21.045233272116114
796.728515625,-21.13821034148479
807.4951171875,-21.00135815230494
818.26171875,-20.272669891816562
829.0283203125,-19.239838385677302
839.794921875,-18.310277988228975
850.5615234375,-17.787169534583338
861.328125,-17.856981452490064
872.0947265625,-18.679155688829695
882.861328125,-20.37846296070425
893.6279296875,-22.248351227568417
904.39453125,-21.73256783937148
915.1611328125,-19.584106929560132
925.927734375,-18.16939623271713
936.6943359375,-17.812550531630528
947.4609375,-18.210593530936176
958.2275390625,-18.82848115322823
968.994140625,-18.985202046103687
979.7607421875,-18.786079809418556
990.52734375,-19.25968638881821
1001.2939453125,-21.340763663913723
1012.060546875,-25.29744379412312
1022.8271484375,-26.107824658844336
1033.59375,-22.567067107228564
1044.3603515625,-20.340561067051354
1055.126953125,-19.354713746531242
1065.8935546875,-19.113061297439614
1076.66015625,-19.40947979344606
1087.4267578125,-20.233097159289922
1098.193359375,-21.757176162693035
1108.9599609375,-23.79190070408886
1119.7265625,-23.45094393781382
1130.4931640625,-20.413166565860163
1141.259765625,-18.22143806428293
1152.0263671875,-17.540582701162602
1162.79296875,-18.231107931747573
1173.5595703125,-20.215946257162418
1184.326171875,-23.644157379309437
1195.0927734375,-28.96193406910318
1205.859375,-34.15333278227675
1216.6259765625,-32.324201252760474
1227.392578125,-31.407746398419167
1238.1591796875,-31.39641529291861
1248.92578125,-27.909185257836032
1259.6923828125,-23.71612317582613
1270.458984375,-20.469941944970532
1281.2255859375,-17.841017879639125
1291.9921875,-15.792403643674856
1302.7587890625,-14.64753915220941
1313.525390625,-14.75516237003498
1324.2919921875,-16.370816248991176
1335.05859375,-19.51212356125163
1345.8251953125,-22.983372710305872
1356.591796875,-24.787667742502748
1367.3583984375,-27.550879996190595
1378.125,-36.10541255565383
1388.8916015625,-30.07423639918724
1399.658203125,-23.836639093486916
1410.4248046875,-20.7275135259528
1421.19140625,-18.834884993002422
1431.9580078125,-17.558839133019816
1442.724609375,-16.58370378181733
1453.4912109375,-15.780546166683486
1464.2578125,-15.161992046360746
1475.0244140625,-14.713641358381961
1485.791015625,-14.559151514018225
1496.5576171875,-15.007574423830757
1507.32421875,-16.179645601299132
1518.0908203125,-17.767656146423164
1528.857421875,-19.394296355942725
1539.6240234375,-21.463050754950075
1550.390625,-25.477918685682614
1561.1572265625,-35.034627920757494
1571.923828125,-28.3835724224519
1582.6904296875,-23.12510709009807
1593.45703125,-21.495665931612635
1604.2236328125,-21.8245017855796
1614.990234375,-23.352302120180344
1625.7568359375,-25.27575705764482
1636.5234375,-26.59160469165088
1647.2900390625,-26.546208772436817
1658.056640625,-25.45976702206328
1668.8232421875,-24.36090584893413
1679.58984375,-23.28551277103768
1690.3564453125,-21.737718744562564
1701.123046875,-20.290936507835546
1711.8896484375,-19.81564428268062
1722.65625,-20.503934171268305
1733.4228515625,-21.956996574488944
1744.189453125,-23.617485173303248
1754.9560546875,-25.19204435236489
1765.72265625,-26.425634122302412
1776.4892578125,-27.295077216884266
1787.255859375,-28.501724407220408
1798.0224609375,-31.226954858130206
1808.7890625,-34.56645052690111
1819.5556640625,-30.264371486244883
1830.322265625,-25.479509541666264
1841.0888671875,-22.022241453152528
1851.85546875,-19.495074743125684
1862.6220703125,-18.118400490143426
1873.388671875,-18.033219262349807
1884.1552734375,-19.141206169111694
1894.921875,-21.090381123299125
1905.6884765625,-23.292624930108232
1916.455078125,-26.014394280573047
1927.2216796875,-30.492250951927183
1937.98828125,-26.724747146161324
1948.7548828125,-20.629267663639137
1959.521484375,-17.60748209844929
1970.2880859375,-16.645163389417647
