bin,freq(Hz),pow(dB/Hz)
1,0,-14.172466788665357
2,10.7666015625,-14.261640035732142
3,21.533203125,-14.930233570353316
4,32.2998046875,-17.038932370589585
5,43.06640625,-21.590619348339118
6,53.8330078125,-28.086501746595456
7,64.599609375,-30.094384043836463
8,75.3662109375,-34.85538038326753
9,86.1328125,-24.038867083803396
10,96.8994140625,-18.84536514325942
11,107.666015625,-17.316659431364897
12,118.4326171875,-17.921841678178293
13,129.19921875,-19.7691993314174
14,139.9658203125,-22.40759179149025
15,150.732421875,-26.645625982976696
16,161.4990234375,-37.354032858711186
17,172.265625,-35.3398475022931
18,183.0322265625,-28.48823738041194
19,193.798828125,-26.454533950680265
20,204.5654296875,-25.77324771319503
21,215.33203125,-25.717408754615036
22,226.0986328125,-26.282402010197533
23,236.865234375,-26.488032658213598
24,247.6318359375,-25.146141534083615
25,258.3984375,-24.11355573693637
26,269.1650390625,-24.884543785407402
27,279.931640625,-27.539673275168187
28,290.6982421875,-30.267676529123946
29,301.46484375,-29.07981781677586
30,312.2314453125,-25.405530984245086
31,322.998046875,-22.17717517281176
32,333.7646484375,-20.23065443233515
33,344.53125,-19.6286319692057
34,355.2978515625,-20.19910385595404
35,366.064453125,-21.68794752731722
36,376.8310546875,-23.844777513308482
37,387.59765625,-26.348080339104413
38,398.3642578125,-28.964849445684784
39,409.130859375,-31.73512260584001
40,419.8974609375,-33.65187716267032
41,430.6640625,-33.22897057783691
42,441.4306640625,-31.479158511674086
43,452.197265625,-30.208385200748246
44,462.9638671875,-30.92536328877142
45,473.73046875,-35.54212605885728
46,484.4970703125,-50.720575240808586
47,495.263671875,-36.07606864137135
48,506.0302734375,-33.596315731307435
49,516.796875,-35.6662981671398
50,527.5634765625,-45.20065024673453
51,538.330078125,-39.98944298079592
52,549.0966796875,-31.64524021979924
53,559.86328125,-28.49018505710638
54,570.6298828125,-28.03796385364859
55,581.396484375,-29.951762573413887
56,592.1630859375,-34.465740563119056
57,602.9296875,-40.758085257353
58,613.6962890625,-40.073617851773705
59,624.462890625,-37.379734763582576
60,635.2294921875,-35.55924761371512
61,645.99609375,-34.186376077575375
62,656.7626953125,-33.50068971565613
63,667.529296875,-33.28886668903216
64,678.2958984375,-32.68781524288685
65,689.0625,-31.754679909864876
66,699.8291015625,-31.47719583358388
67,710.595703125,-32.44368315137337
68,721.3623046875,-34.18852251770343
69,732.12890625,-33.971035133073755
70,742.8955078125,-32.009436160713854
71,753.662109375,-31.067669266843794
72,764.4287109375,-31.933883009915235
73,775.1953125,-34.96233890193522
74,785.9619140625,-39.45400643427881
75,796.728515625,-38.80405276747854
76,807.4951171875,-35.68185033264906
77,818.26171875,-33.70487744111741
78,829.0283203125,-33.441778231451785
79,839.794921875,-35.5717761575282
80,850.5615234375,-37.72446808740999
81,861.328125,-33.65089568178589
82,872.0947265625,-30.39597362275487
83,882.861328125,-29.80901103882286
84,893.6279296875,-32.45340797599201
85,904.39453125,-37.65121505968966
86,915.1611328125,-31.79421633317417
87,925.927734375,-27.25441760733287
88,936.6943359375,-25.14531609757286
89,947.4609375,-24.642563461768248
90,958.2275390625,-25.671774647530846
91,968.994140625,-27.979137409230738
92,979.7607421875,-29.92458611623308
93,990.52734375,-30.18955453261966
94,1001.2939453125,-30.321695484512816
95,1012.060546875,-31.62982210853511
96,1022.8271484375,-35.07429398011243
97,1033.59375,-42.26372307606788
98,1044.3603515625,-46.525899046518475
99,1055.126953125,-39.215603851675255
100,1065.8935546875,-34.81271841309172
101,1076.66015625,-31.431521804005822
102,1087.4267578125,-28.99453204456256
103,1098.193359375,-27.376813954613763
104,1108.9599609375,-26.405990046918074
105,1119.7265625,-26.247348379014397
106,1130.4931640625,-27.222449501231452
107,1141.259765625,-29.548427691571643
108,1152.0263671875,-32.82307980598024
109,1162.79296875,-35.670948067910516
110,1173.5595703125,-38.70057134584429
111,1184.326171875,-41.513115647879594
112,1195.0927734375,-38.206196358991086
113,1205.859375,-35.115736521967875
114,1216.6259765625,-33.068267878739
115,1227.392578125,-31.576555345745167
116,1238.1591796875,-31.04984417131361
117,1248.92578125,-31.736543830212863
118,1259.6923828125,-32.8489757776217
119,1270.458984375,-33.18374715959187
120,1281.2255859375,-33.251112074642876
121,1291.9921875,-34.57172748039569
122,1302.7587890625,-37.19125673348812
123,1313.525390625,-35.48291317096033
124,1324.2919921875,-30.730298226568593
125,1335.05859375,-27.771160858803036
126,1345.8251953125,-26.414209253512468
127,1356.591796875,-25.68968951219272
128,1367.3583984375,-25.21821617894841
129,1378.125,-25.27146713751393
130,1388.8916015625,-25.6535847211736
131,1399.658203125,-25.825073309072653
132,1410.4248046875,-26.007984265623485
133,1421.19140625,-26.913897976064256
134,1431.9580078125,-28.154046391677984
135,1442.724609375,-26.661198824719303
136,1453.4912109375,-22.873684727885205
137,1464.2578125,-20.013498078636026
138,1475.0244140625,-18.70747801001211
139,1485.791015625,-18.982954937581372
140,1496.5576171875,-20.82730498986837
141,1507.32421875,-23.341099137939757
142,1518.0908203125,-24.596232512499366
143,1528.857421875,-25.317438961446467
144,1539.6240234375,-26.40427306602646
145,1550.390625,-25.896222169363107
146,1561.1572265625,-24.07063978634406
147,1571.923828125,-23.43999739718216
148,1582.6904296875,-23.969135091030076
149,1593.45703125,-23.77207715100168
150,1604.2236328125,-21.68676843005342
151,1614.990234375,-19.377639116437276
152,1625.7568359375,-17.988755924764813
153,1636.5234375,-17.706511420735637
154,1647.2900390625,-18.699269860658895
155,1658.056640625,-20.877305055633183
156,1668.8232421875,-22.73721462126491
157,1679.58984375,-23.47067725867216
158,1690.3564453125,-25.53129452323947
159,1701.123046875,-33.23014207615006
160,1711.8896484375,-30.019087317858713
161,1722.65625,-23.09906973012142
162,1733.4228515625,-21.185460796575914
163,1744.189453125,-21.970559050735762
164,1754.9560546875,-24.52214146522486
165,1765.72265625,-27.188947622480086
166,1776.4892578125,-27.713241072102328
167,1787.255859375,-26.257735045587115
168,1798.0224609375,-25.00203773648094
169,1808.7890625,-24.36506702036876
170,1819.5556640625,-24.619458565310048
171,1830.322265625,-26.52662944293396
172,1841.0888671875,-25.75014185708346
173,1851.85546875,-21.494270671386285
174,1862.6220703125,-18.767496970079907
175,1873.388671875,-18.010828869762182
176,1884.1552734375,-19.354348342038598
177,1894.921875,-22.82530671024375
178,1905.6884765625,-27.380084666158563
179,1916.455078125,-27.17403306046951
180,1927.2216796875,-23.935310641473023
181,1937.98828125,-22.685605918127205
182,1948.7548828125,-23.81076350093718
183,1959.521484375,-25.759155477747953
184,1970.2880859375,-25.13785527977049
185,1981.0546875,-22.80245676168751
186,1991.8212890625,-21.23534990746128
187,2002.587890625,-20.520155701884725
188,2013.3544921875,-20.2593233787101
189,2024.12109375,-20.758963242698737
190,2034.8876953125,-22.08373834948535
191,2045.654296875,-22.940366861121536
192,2056.4208984375,-22.187591489549213
193,2067.1875,-20.99214892659767
194,2077.9541015625,-20.14954805904875
195,2088.720703125,-19.753733093359482
196,2099.4873046875,-20.03460327429746
197,2110.25390625,-21.140615074326433
198,2121.0205078125,-22.691868252293993
