bin,freq(Hz),pow(dB/Hz)
1,0,-6.3353612870424225
2,10.7666015625,-6.861842680432333
3,21.533203125,-7.66706811465572
4,32.2998046875,-6.3790754282141275
5,43.06640625,-3.014039530847603
6,53.8330078125,-0.4186564348631149
7,64.599609375,-0.09158282957346046
8,75.3662109375,-2.420669057587824
9,86.1328125,-7.1638310330527055
10,96.8994140625,-13.369273986015568
11,107.666015625,-19.895258632471617
12,118.4326171875,-18.56067453626003
13,129.19921875,-13.087108649753588
14,139.9658203125,-9.471587320568762
15,150.732421875,-7.3878363860593455
16,161.4990234375,-6.369535973321851
17,172.265625,-6.125144265714383
18,183.0322265625,-7.165076536538164
19,193.798828125,-10.264180394310376
20,204.5654296875,-14.363905608664464
21,215.33203125,-16.42450869755477
22,226.0986328125,-20.555628223889492
23,236.865234375,-18.072164716903856
24,247.6318359375,-16.59799282978424
25,258.3984375,-27.29933511015219
26,269.1650390625,-17.944795854286856
27,279.931640625,-13.736063980906316
28,290.6982421875,-16.634944578651243
29,301.46484375,-29.374070285560208
30,312.2314453125,-21.271442602746575
31,322.998046875,-26.101605987888515
32,333.7646484375,-19.19011872767703
33,344.53125,-13.164792385180972
34,355.2978515625,-11.908796408252655
35,366.064453125,-9.331787287740905
36,376.8310546875,-7.459748159937476
37,387.59765625,-8.675027904473444
38,398.3642578125,-13.580267165185589
39,409.130859375,-26.081289664100975
40,419.8974609375,-24.649480008899264
41,430.6640625,-22.097248049319408
42,441.4306640625,-25.774030420860917
43,452.197265625,-23.277549457167673
44,462.9638671875,-16.844673060976508
45,473.73046875,-11.34451298354425
46,484.4970703125,-7.13559508013836
47,495.263671875,-4.863351883627607
48,506.0302734375,-4.48270791652401
49,516.796875,-5.643694722909791
50,527.5634765625,-7.975822358536857
51,538.330078125,-11.39422016849127
52,549.0966796875,-16.243705384494113
53,559.86328125,-21.393229836145778
54,570.6298828125,-18.462950223778996
55,581.396484375,-13.793028148106261
56,592.1630859375,-11.001288053584364
57,602.9296875,-9.826651177930602
58,613.6962890625,-10.164309209705367
59,624.462890625,-12.215423698464665
60,635.2294921875,-15.604183936734605
61,645.99609375,-18.07324971343362
62,656.7626953125,-18.60275285358078
63,667.529296875,-14.092457137456698
64,678.2958984375,-10.195734053614805
65,689.0625,-8.587531794430653
66,699.8291015625,-8.642754176434089
67,710.595703125,-9.922950798975236
68,721.3623046875,-12.352651026558203
69,732.12890625,-16.412477572609905
70,742.8955078125,-22.981019935900516
71,753.662109375,-22.449020085915052
72,764.4287109375,-18.070325111204934
73,775.1953125,-17.207153766143016
74,785.9619140625,-19.530819228600052
75,796.728515625,-25.060509580963654
76,807.4951171875,-27.401824894431307
77,818.26171875,-28.571020948349485
78,829.0283203125,-36.51348460707868
79,839.794921875,-32.93619297917209
80,850.5615234375,-25.88899168330661
81,861.328125,-23.759889260599245
82,872.0947265625,-22.543158950483722
83,882.861328125,-20.61766029428751
84,893.6279296875,-18.484660292562108
85,904.39453125,-16.88196520782637
86,915.1611328125,-16.133466252787628
87,925.927734375,-15.875289177725975
88,936.6943359375,-15.657748765367444
89,947.4609375,-15.252451167015286
90,958.2275390625,-14.531163750664343
91,968.994140625,-14.4928388973727
92,979.7607421875,-15.718043022531912
93,990.52734375,-17.2367045849603
94,1001.2939453125,-17.3013920188459
95,1012.060546875,-16.477484014432513
96,1022.8271484375,-17.15530486132992
97,1033.59375,-18.70185196152647
98,1044.3603515625,-17.275235197648723
99,1055.126953125,-16.803520370614166
100,1065.8935546875,-20.701767722530356
101,1076.66015625,-26.47478658721471
102,1087.4267578125,-17.890429974163624
103,1098.193359375,-15.156267984001527
104,1108.9599609375,-15.62480040863573
105,1119.7265625,-17.47307591418456
106,1130.4931640625,-18.35526794553465
107,1141.259765625,-17.977263374349057
108,1152.0263671875,-17.94314254924309
109,1162.79296875,-18.612777741883463
110,1173.5595703125,-19.4835439549539
111,1184.326171875,-20.146832574035884
112,1195.0927734375,-20.653104650443737
113,1205.859375,-21.646085397381345
114,1216.6259765625,-22.45372009904571
115,1227.392578125,-22.447285397259407
116,1238.1591796875,-23.66162890686816
117,1248.92578125,-23.57495007228263
118,1259.6923828125,-21.407092646514585
119,1270.458984375,-20.32668858679086
120,1281.2255859375,-19.544682500093145
121,1291.9921875,-17.465488630991246
122,1302.7587890625,-15.21571357350803
123,1313.525390625,-14.069437043047966
124,1324.2919921875,-14.050095910126162
125,1335.05859375,-14.846458357338983
126,1345.8251953125,-16.601158980285156
127,1356.591796875,-19.731515839082114
128,1367.3583984375,-22.85639020323563
129,1378.125,-21.766230483840356
130,1388.8916015625,-21.103054885462065
131,1399.658203125,-24.19690984732579
132,1410.4248046875,-39.86143702386746
133,1421.19140625,-25.78512304797544
134,1431.9580078125,-21.32793761009363
135,1442.724609375,-22.15886777682301
136,1453.4912109375,-26.278945614658433
137,1464.2578125,-27.98850927221657
138,1475.0244140625,-31.125594110765316
139,1485.791015625,-32.22192624694385
140,1496.5576171875,-29.228341416870684
141,1507.32421875,-22.377434738395042
142,1518.0908203125,-16.574778583378947
143,1528.857421875,-14.611033811093785
144,1539.6240234375,-15.857382150357084
145,1550.390625,-19.40966576165978
146,1561.1572265625,-21.642189903670157
147,1571.923828125,-19.662425519238788
148,1582.6904296875,-17.146550994038584
149,1593.45703125,-15.232830891198235
150,1604.2236328125,-13.987704354982355
151,1614.990234375,-13.69664730097359
152,1625.7568359375,-13.963574131326729
153,1636.5234375,-13.715456512520682
154,1647.2900390625,-13.290392475275766
155,1658.056640625,-13.493458414511728
156,1668.8232421875,-13.631707272779753
157,1679.58984375,-13.134053950400293
158,1690.3564453125,-13.61321364620013
159,1701.123046875,-16.474971426622712
160,1711.8896484375,-20.32486151624476
161,1722.65625,-23.24348562859128
162,1733.4228515625,-28.613892556356536
163,1744.189453125,-31.649817690353892
164,1754.9560546875,-20.672554569036556
165,1765.72265625,-13.896531952017417
166,1776.4892578125,-10.9371779576383
167,1787.255859375,-10.915279374896535
