bin,freq(Hz),pow(dB/Hz)
1,0,-16.08992859636793
2,10.7666015625,-21.5300066943681
3,21.533203125,-12.817318854623949
4,32.2998046875,-3.9784556597918397
5,43.06640625,-0.5501306377406224
6,53.8330078125,-1.739071728193218
7,64.599609375,-12.397473936134356
8,75.3662109375,-8.665212700899556
9,86.1328125,-4.431772360378849
10,96.8994140625,-6.305789704460418
11,107.666015625,-11.637737084914637
12,118.4326171875,-7.257236304702614
13,129.19921875,-4.101706683443829
14,139.9658203125,-5.154622142388899
15,150.732421875,-7.7779236601618615
16,161.4990234375,-10.346006237991238
17,172.265625,-9.400136445870512
18,183.0322265625,-7.410966922014291
19,193.798828125,-7.530715392544338
20,204.5654296875,-8.766143372835577
21,215.33203125,-10.048923472203647
22,226.0986328125,-11.717365776051142
23,236.865234375,-12.321311777866084
24,247.6318359375,-10.997829375663455
25,258.3984375,-10.646728877829009
26,269.1650390625,-12.770255900351977
27,279.931640625,-11.061323034318846
28,290.6982421875,-6.462658394652446
29,301.46484375,-4.54251499998067
30,312.2314453125,-5.250205954726588
31,322.998046875,-8.039912960003907
32,333.7646484375,-11.289113850670557
33,344.53125,-12.858454056839575
34,355.2978515625,-13.324636474062403
35,366.064453125,-13.02044377302651
36,376.8310546875,-14.7752815348856
37,387.59765625,-23.58605725995583
38,398.3642578125,-7.1300738043711025
39,409.130859375,-2.7651537200795753
40,419.8974609375,-3.2182674215643785
41,430.6640625,-8.471887936920055
42,441.4306640625,-17.268000468523212
43,452.197265625,-10.53600817025362
44,462.9638671875,-8.06537145759242
45,473.73046875,-8.1923402182446
46,484.4970703125,-10.025061843643059
47,495.263671875,-9.476412215830502
48,506.0302734375,-8.643412249364692
49,516.796875,-11.430415810699092
50,527.5634765625,-12.830226355741832
51,538.330078125,-11.042316284587908
52,549.0966796875,-9.910067957664294
53,559.86328125,-7.964237412997908
54,570.6298828125,-6.070614358488218
55,581.396484375,-5.387990345778868
56,592.1630859375,-6.797382397167025
57,602.9296875,-11.7276459530482
58,613.6962890625,-23.199414727758665
59,624.462890625,-28.617272482204783
60,635.2294921875,-15.061913228913
61,645.99609375,-6.821411832931611
62,656.7626953125,-3.242599589580103
63,667.529296875,-2.729732808818206
64,678.2958984375,-3.655749732750959
65,689.0625,-4.312083825844607
66,699.8291015625,-4.427879194119853
67,710.595703125,-3.7696220399265994
68,721.3623046875,-2.878115832726963
69,732.12890625,-2.371836964045052
70,742.8955078125,-2.3455153936724926
71,753.662109375,-2.8135757085630346
72,764.4287109375,-4.159301563477467
73,775.1953125,-6.723548582298756
74,785.9619140625,-11.428562965977637
75,796.728515625,-12.826947043548993
76,807.4951171875,-8.22054328947415
77,818.26171875,-7.205875702958258
78,829.0283203125,-8.930254123494398
79,839.794921875,-9.610871581134944
80,850.5615234375,-8.825867813075911
81,861.328125,-7.872209227937333
82,872.0947265625,-7.586364345832735
83,882.861328125,-8.616718062412465
84,893.6279296875,-11.264648366026487
85,904.39453125,-17.056287979805425
86,915.1611328125,-16.863923655170765
87,925.927734375,-15.664043125155665
88,936.6943359375,-19.206804758585996
89,947.4609375,-31.639408935620587
90,958.2275390625,-13.846147896624817
91,968.994140625,-8.109898042395866
92,979.7607421875,-6.4280042300859
93,990.52734375,-7.8994040839475215
94,1001.2939453125,-15.732614725470597
95,1012.060546875,-13.685188909300622
96,1022.8271484375,-6.936409044658317
97,1033.59375,-6.656929346859243
98,1044.3603515625,-9.825391886522173
99,1055.126953125,-10.288645765648152
100,1065.8935546875,-7.262424101229497
101,1076.66015625,-5.394546005411733
102,1087.4267578125,-5.042135695877876
103,1098.193359375,-6.858869709722722
104,1108.9599609375,-12.492685221149834
105,1119.7265625,-18.509405262480442
106,1130.4931640625,-15.609471765528864
107,1141.259765625,-21.804934131485293
108,1152.0263671875,-18.482397534329838
109,1162.79296875,-10.65516378135936
110,1173.5595703125,-8.020805626397658
111,1184.326171875,-8.147933385265056
112,1195.0927734375,-10.5371865409593
113,1205.859375,-14.990170368667155
114,1216.6259765625,-18.28699806606808
115,1227.392578125,-17.273322429105434
116,1238.1591796875,-16.5344557082563
117,1248.92578125,-18.798855928928006
118,1259.6923828125,-27.453706254355975
119,1270.458984375,-19.624382728159762
120,1281.2255859375,-16.083223695156356
121,1291.9921875,-16.480655006693283
122,1302.7587890625,-16.107135511835125
123,1313.525390625,-13.242732757499214
124,1324.2919921875,-10.996406511062396
125,1335.05859375,-9.96055342049304
126,1345.8251953125,-9.09519765250152
127,1356.591796875,-8.998499168297512
128,1367.3583984375,-10.018757989260738
129,1378.125,-10.354388928856721
130,1388.8916015625,-9.139609675419667
131,1399.658203125,-8.463793374858092
132,1410.4248046875,-7.4714293330597235
133,1421.19140625,-4.7824751184676515
134,1431.9580078125,-2.9361899067176007
135,1442.724609375,-2.378379716453454
136,1453.4912109375,-3.3249247811506075
137,1464.2578125,-6.657684150497788
138,1475.0244140625,-10.662830222323773
139,1485.791015625,-7.969259297114871
140,1496.5576171875,-6.669822717386338
141,1507.32421875,-9.065430800995667
142,1518.0908203125,-16.589105356434782
143,1528.857421875,-26.54548885460006
144,1539.6240234375,-27.738131327398325
145,1550.390625,-21.193481173432133
146,1561.1572265625,-12.988032927110478
147,1571.923828125,-12.01198131664846
148,1582.6904296875,-16.976416555663413
149,1593.45703125,-22.652986964932424
150,1604.2236328125,-12.624889292116164
151,1614.990234375,-11.461958396166406
152,1625.7568359375,-15.868698641300425
153,1636.5234375,-29.571604327879385
154,1647.2900390625,-17.20123458736966
155,1658.056640625,-13.666867047120268
156,1668.8232421875,-13.908090662530647
157,1679.58984375,-17.34286536892918
158,1690.3564453125,-26.40472084085381
159,1701.123046875,-13.874228384665479
160,1711.8896484375,-11.236685020572049
161,1722.65625,-14.721630365889196
162,1733.4228515625,-35.52424280909003
163,1744.189453125,-20.830466273220164
164,1754.9560546875,-22.827130028170963
165,1765.72265625,-25.639454603551485
166,1776.4892578125,-20.784465605070377
167,1787.255859375,-14.965553108442863
168,1798.0224609375,-12.905482663264493
169,1808.7890625,-14.951965355702647
170,1819.5556640625,-24.37264043467811
171,1830.322265625,-17.644478789141672
172,1841.0888671875,-15.096803876161085
173,1851.85546875,-15.211616925259108
174,1862.6220703125,-11.80908794420574
175,1873.388671875,-11.030073231853304
176,1884.1552734375,-14.065351293287268
177,1894.921875,-20.150049248731833
178,1905.6884765625,-19.969452790272406
179,1916.455078125,-18.694688931950857
180,1927.2216796875,-14.923130382077282
181,1937.98828125,-14.091034142281389
182,1948.7548828125,-17.558059348534748
183,1959.521484375,-20.767579833766725
184,1970.2880859375,-27.742673755705752
185,1981.0546875,-20.16173480385551
186,1991.8212890625,-18.947300143434433
187,2002.587890625,-14.383251295537287
188,2013.3544921875,-11.320406640068816
189,2024.12109375,-13.299590138328405
190,2034.8876953125,-20.294426971890044
191,2045.654296875,-28.26138584423078
192,2056.4208984375,-31.109373030457594
193,2067.1875,-28.652607974445807
194,2077.9541015625,-20.820030327635983
195,2088.720703125,-19.293786361997938
196,2099.4873046875,-22.186096657826383
197,2110.25390625,-12.774785676069378
198,2121.0205078125,-8.557033996268306
199,2131.787109375,-7.900656189891542
200,2142.5537109375,-8.913715671439244
201,2153.3203125,-9.779736800661453
202,2164.0869140625,-11.289858502500639
203,2174.853515625,-17.54962945305357
204,2185.6201171875,-23.04989491353519
205,2196.38671875,-13.542104350858944
206,2207.1533203125,-11.553710418767915
207,2217.919921875,-12.265951344857342
208,2228.6865234375,-15.46863272144183
209,2239.453125,-16.45608013555536
210,2250.2197265625,-14.947139201238436
211,2260.986328125,-18.115626711489078
212,2271.7529296875,-32.110539005775244
213,2282.51953125,-18.536827950233278
214,2293.2861328125,-11.862207705902708
215,2304.052734375,-11.957371783380806
216,2314.8193359375,-15.520379279458092
217,2325.5859375,-22.595659855618848
218,2336.3525390625,-19.502941481641148
219,2347.119140625,-12.99808087420066
220,2357.8857421875,-11.799047027259622
221,2368.65234375,-24.37571495890408
222,2379.4189453125,-13.36600989461983
223,2390.185546875,-8.441264159649279
224,2400.9521484375,-9.04766333959863
225,2411.71875,-6.7137118607123885
226,2422.4853515625,-4.268665460121202
227,2433.251953125,-5.671628674994094
228,2444.0185546875,-13.030530299170062
229,2454.78515625,-19.761231471584864
230,2465.5517578125,-15.405600606094671
231,2476.318359375,-15.334502718477914
232,2487.0849609375,-28.500186982548612
233,2497.8515625,-15.809703352032535
234,2508.6181640625,-14.196729804602732
235,2519.384765625,-14.101756291206966
236,2530.1513671875,-12.004864751317896
237,2540.91796875,-6.9191288472443535
238,2551.6845703125,-10.885463442567811
239,2562.451171875,-15.079189930566987
240,2573.2177734375,-8.741164498890985
241,2583.984375,-8.345582781597699
242,2594.7509765625,-9.100827448831918
243,2605.517578125,-6.139482360251213
244,2616.2841796875,-13.345958886091577
245,2627.05078125,-10.773578297900437
246,2637.8173828125,-5.955364040521085
247,2648.583984375,-7.354114819218069
248,2659.3505859375,-17.206769212130865
249,2670.1171875,-2.5811593463493527
250,2680.8837890625,1.4291428031054036
251,2691.650390625,0.18326672233677738
252,2702.4169921875,-0.02998369654098565
253,2713.18359375,2.4801380934282298
254,2723.9501953125,-0.597077880638008
255,2734.716796875,-0.9070887095726022
256,2745.4833984375,0.7311461831154121
257,2756.25,3.684890990221093
258,2767.0166015625,8.90109923395311
259,2777.783203125,9.574011154785303
260,2788.5498046875,13.078093937984878
261,2799.31640625,11.33114770359448
262,2810.0830078125,10.311559445237059
263,2820.849609375,18.81244404452771
264,2831.6162109375,15.35398426493947
265,2842.3828125,23.15928820506327
266,2853.1494140625,27.11579705429112
267,2863.916015625,24.697583116608527
268,2874.6826171875,27.834449680255382
269,2885.44921875,33.995065884853524
270,2896.2158203125,36.573620330730144
271,2906.982421875,36.82671105089439
272,2917.7490234375,35.35578318204922
273,2928.515625,32.451336433216916
274,2939.2822265625,28.253099064504394
275,2950.048828125,22.78483523402751
276,2960.8154296875,16.02352245100104
277,2971.58203125,7.505154404749817
278,2982.3486328125,-8.068773202393416
279,2993.115234375,-0.11824669557087189
280,3003.8818359375,4.4293979094702145
281,3014.6484375,5.260720411525717
282,3025.4150390625,3.6503123104356474
283,3036.181640625,0.9587839678104144
284,3046.9482421875,-0.4652710414622171
285,3057.71484375,-0.7916621222049559
286,3068.4814453125,-2.1691969061512895
287,3079.248046875,-6.328681630805063
288,3090.0146484375,-14.86456162389824
289,3100.78125,-25.7177620318401
290,3111.5478515625,-26.91233140374333
291,3122.314453125,-32.5907923718973
292,3133.0810546875,-26.362864040687487
293,3143.84765625,-24.79494701794687
294,3154.6142578125,-25.34446314081999
295,3165.380859375,-31.379571005415357
296,3176.1474609375,-19.53310738401361
297,3186.9140625,-28.1901828275016
298,3197.6806640625,-18.674958282688884
299,3208.447265625,-16.341581343451914
300,3219.2138671875,-20.648728934701733
301,3229.98046875,-16.51178488243268
302,3240.7470703125,-14.30658219808264
303,3251.513671875,-17.62176261869654
304,3262.2802734375,-21.979107341381713
305,3273.046875,-30.46185805441841
306,3283.8134765625,-19.29403157431423
307,3294.580078125,-20.289062931896147
308,3305.3466796875,-18.406782485957667
309,3316.11328125,-21.68662422568766
310,3326.8798828125,-16.038572215767864
311,3337.646484375,-19.29720667306539
312,3348.4130859375,-25.62901156520139
313,3359.1796875,-21.428074942425827
314,3369.9462890625,-27.076760169108198
315,3380.712890625,-22.91085600491881
316,3391.4794921875,-16.6566723657778
317,3402.24609375,-22.455316667178984
318,3413.0126953125,-20.017767428682323
319,3423.779296875,-14.321564518827977
320,3434.5458984375,-9.982193077559673
321,3445.3125,-14.524258893964468
322,3456.0791015625,-15.083212900365622
323,3466.845703125,-8.34097248538491
324,3477.6123046875,-10.70443183417849
325,3488.37890625,-27.58263413927635
326,3499.1455078125,-12.331829630248416
327,3509.912109375,-9.122781349988955
328,3520.6787109375,-15.418343671646413
329,3531.4453125,-17.092109512411586
330,3542.2119140625,-11.500051369756722
331,3552.978515625,-14.359222991785964
332,3563.7451171875,-30.009941548118185
333,3574.51171875,-14.114972566507603
334,3585.2783203125,-14.154476923702743
335,3596.044921875,-11.292616381866523
336,3606.8115234375,-11.141342735424843
337,3617.578125,-24.546799733225573
338,3628.3447265625,-12.663707003706081
339,3639.111328125,-10.164433690223255
340,3649.8779296875,-14.265689064678726
341,3660.64453125,-13.408356569073758
342,3671.4111328125,-7.843750470200355
343,3682.177734375,-10.417508808736473
344,3692.9443359375,-15.128113406701114
345,3703.7109375,-8.928917393928907
346,3714.4775390625,-10.268064698651706
347,3725.244140625,-14.51728307443252
348,3736.0107421875,-17.39939136086506
349,3746.77734375,-9.866572022479103
350,3757.5439453125,-6.414991893247464
351,3768.310546875,-9.3176722496172
352,3779.0771484375,-15.878476680343212
353,3789.84375,-10.672074762717473
354,3800.6103515625,-11.173711325241307
355,3811.376953125,-10.862514076277463
356,3822.1435546875,-12.13316830802055
357,3832.91015625,-14.48376981032123
358,3843.6767578125,-15.251649656995676
359,3854.443359375,-12.048809127501451
360,3865.2099609375,-13.18545130339462
361,3875.9765625,-32.20336283891234
362,3886.7431640625,-11.376021907341613
363,3897.509765625,-10.784563784597058
364,3908.2763671875,-16.431425409607368
365,3919.04296875,-21.817584263019295
366,3929.8095703125,-13.814342361234733
367,3940.576171875,-16.302501870817686
368,3951.3427734375,-24.49899582093522
369,3962.109375,-12.67733999515426
370,3972.8759765625,-13.717267701997784
371,3983.642578125,-24.08839686474604
372,3994.4091796875,-19.526898066545552
373,4005.17578125,-16.799169611671836
374,4015.9423828125,-20.281069316598916
375,4026.708984375,-21.13311254438726
376,4037.4755859375,-18.77608939446255
377,4048.2421875,-19.044513605233973
378,4059.0087890625,-24.060473639203067
379,4069.775390625,-33.63598658139534
380,4080.5419921875,-25.241510067565613
381,4091.30859375,-25.857780681838356
382,4102.0751953125,-27.84784333339203
383,4112.841796875,-22.448867350370033
384,4123.6083984375,-17.751355217303818
385,4134.375,-23.7794648978026
386,4145.1416015625,-18.553709861290837
387,4155.908203125,-13.903845424207177
388,4166.6748046875,-15.843464973924853
389,4177.44140625,-25.435710784662184
390,4188.2080078125,-19.759830393940806
391,4198.974609375,-23.25987332665743
392,4209.7412109375,-16.811442564689422
393,4220.5078125,-11.438756321801142
394,4231.2744140625,-9.039979517191584
395,4242.041015625,-11.591397475712284
396,4252.8076171875,-14.791077954889715
397,4263.57421875,-9.675079090175394
398,4274.3408203125,-12.248895793238832
399,4285.107421875,-20.213712876641505
400,4295.8740234375,-16.89144472955195
401,4306.640625,-20.927385578933595
402,4317.4072265625,-31.302573594467322
403,4328.173828125,-24.319831550431363
404,4338.9404296875,-21.985267221304298
405,4349.70703125,-20.806205562674712
406,4360.4736328125,-19.55850554218449
407,4371.240234375,-17.031083605923328
408,4382.0068359375,-17.281018054004882
409,4392.7734375,-20.60328848688072
410,4403.5400390625,-17.78699625692226
411,4414.306640625,-15.649356908372285
412,4425.0732421875,-17.596322125108237
413,4435.83984375,-19.891712314270784
414,4446.6064453125,-19.407851326815816
415,4457.373046875,-20.572596958237305
