bin,freq(Hz),pow(dB/Hz)
1,0,-1.9944640841762906
2,5.38330078125,-1.482243954736906
3,10.7666015625,-0.5952807740713266
4,16.14990234375,-0.19271007067376736
5,21.533203125,-0.5408262239073214
6,26.91650390625,-1.3274055626755843
7,32.2998046875,-1.7492208661160238
8,37.68310546875,-1.4860745510876228
9,43.06640625,-1.2434000265574623
10,48.44970703125,-1.6436740441119486
11,53.8330078125,-2.859734954693659
12,59.21630859375,-4.831683627992404
13,64.599609375,-7.378461680451604
14,69.98291015625,-10.244018037151783
15,75.3662109375,-13.231441558668598
16,80.74951171875,-16.36223807372118
17,86.1328125,-19.796976086020052
18,91.51611328125,-23.695600202312185
19,96.8994140625,-28.362597733923064
20,102.28271484375,-33.321063253235124
21,107.666015625,-32.79698174509952
22,113.04931640625,-29.833735472171785
23,118.4326171875,-28.050640943645835
24,123.81591796875,-26.89222215614327
25,129.19921875,-25.773248896432158
26,134.58251953125,-24.753639463460587
27,139.9658203125,-24.26570139271893
28,145.34912109375,-24.653250348535348
29,150.732421875,-26.064211439334805
30,156.11572265625,-28.554489148488923
31,161.4990234375,-32.74345350529523
32,166.88232421875,-44.131300508012444
33,172.265625,-34.97309263072604
34,177.64892578125,-27.491769673767074
35,183.0322265625,-23.919458450243333
36,188.41552734375,-22.200272174705994
37,193.798828125,-21.685511600406198
38,199.18212890625,-22.06463384272192
39,204.5654296875,-23.174842838049088
40,209.94873046875,-24.752503881477562
41,215.33203125,-25.762194352973466
42,220.71533203125,-24.9960916629518
43,226.0986328125,-23.607090638234425
44,231.48193359375,-23.030876187548195
45,236.865234375,-23.769254136260688
46,242.24853515625,-26.03985065773054
47,247.6318359375,-29.466663330009727
48,253.01513671875,-29.955138465759852
49,258.3984375,-27.17156448387778
50,263.78173828125,-25.424670644916304
51,269.1650390625,-25.219702167799692
52,274.54833984375,-26.474017291567225
53,279.931640625,-29.368407678447834
54,285.31494140625,-34.58626159880092
55,290.6982421875,-37.126348487689505
56,296.08154296875,-31.404237771847306
57,301.46484375,-27.930076617029943
58,306.84814453125,-26.300237405069847
59,312.2314453125,-25.853139231488534
60,317.61474609375,-26.170464116196733
