bin,freq(Hz),pow(dB/Hz)
1,0,-10.076128263338129
2,5.38330078125,-10.418274878248212
3,10.7666015625,-11.226408428548131
4,16.14990234375,-11.661598931430957
5,21.533203125,-10.978243618827893
6,26.91650390625,-10.299529574466664
7,32.2998046875,-11.456226072169093
8,37.68310546875,-15.300100572599673
9,43.06640625,-11.746773836318114
10,48.44970703125,-6.459893132702542
11,53.8330078125,-4.180006057048517
12,59.21630859375,-3.969863377716389
13,64.599609375,-5.1352650774075
14,69.98291015625,-6.926665358313632
15,75.3662109375,-8.453548040843941
16,80.74951171875,-9.173439868861168
17,86.1328125,-9.224356641380954
18,91.51611328125,-9.218103816937877
19,96.8994140625,-9.685163561647775
20,102.28271484375,-9.82248040746812
21,107.666015625,-8.223102728330652
22,113.04931640625,-6.632417765322426
23,118.4326171875,-6.879038233497559
24,123.81591796875,-10.154072358778595
25,129.19921875,-18.38316699805992
26,134.58251953125,-10.693378448919248
27,139.9658203125,-5.3230447616855425
28,145.34912109375,-3.0928487598412717
29,150.732421875,-2.781400273922828
30,156.11572265625,-4.116411715714015
31,161.4990234375,-7.23239732141365
32,166.88232421875,-12.89382029762007
33,172.265625,-25.12031729641082
34,177.64892578125,-20.46898005590741
35,183.0322265625,-14.947625608158756
36,188.41552734375,-12.979531297693947
37,193.798828125,-12.900714426170598
38,199.18212890625,-14.377191326680649
39,204.5654296875,-17.312640651372817
40,209.94873046875,-22.343253698189688
41,215.33203125,-22.794349699095896
42,220.71533203125,-15.940023339653631
43,226.0986328125,-12.175689828995328
44,231.48193359375,-10.392842210551036
45,236.865234375,-9.559152630340563
46,242.24853515625,-9.014565432923748
47,247.6318359375,-8.722916535450993
48,253.01513671875,-8.894860001864997
49,258.3984375,-9.406784979895352
50,263.78173828125,-9.915582338667893
51,269.1650390625,-10.51933546618374
52,274.54833984375,-11.810467724164141
53,279.931640625,-14.263562960636637
54,285.31494140625,-17.51310347641286
55,290.6982421875,-19.221420410260578
56,296.08154296875,-18.720101973512634
57,301.46484375,-17.75298778639032
58,306.84814453125,-16.22203795629473
59,312.2314453125,-13.977786476445168
60,317.61474609375,-11.632871468794118
61,322.998046875,-9.755833079390136
62,328.38134765625,-8.528560473479253
63,333.7646484375,-7.949432526175427
64,339.14794921875,-8.046606419140945
65,344.53125,-8.938496935523835
66,349.91455078125,-10.816282665131398
67,355.2978515625,-14.028485097406396
68,360.68115234375,-19.673485621434637
69,366.064453125,-35.14016626947007
70,371.44775390625,-23.855625525696126
71,376.8310546875,-19.120874541738782
72,382.21435546875,-18.21639473810577
73,387.59765625,-19.39544808899989
74,392.98095703125,-21.79764231379146
75,398.3642578125,-24.187089876850386
76,403.74755859375,-24.851342246027727
77,409.130859375,-23.21062464312221
78,414.51416015625,-20.77144919607669
79,419.8974609375,-19.082649820872195
80,425.28076171875,-18.840836102368396
81,430.6640625,-20.348178671075413
82,436.04736328125,-23.993382125154824
83,441.4306640625,-29.36704260040298
84,446.81396484375,-25.359794556913286
85,452.197265625,-19.456450988405244
86,457.58056640625,-15.189587203036552
87,462.9638671875,-11.850526961983686
88,468.34716796875,-9.237816578663692
89,473.73046875,-7.412954825850964
90,479.11376953125,-6.528920224194645
91,484.4970703125,-6.753110761898878
92,489.88037109375,-8.236340250854543
93,495.263671875,-11.07513580036285
94,500.64697265625,-15.136013351988971
95,506.0302734375,-19.236230747736037
96,511.41357421875,-20.409848632121754
97,516.796875,-19.71132321906707
98,522.18017578125,-19.75921664753869
99,527.5634765625,-17.944318459353724
100,532.94677734375,-13.590630784434001
101,538.330078125,-10.432561681534905
102,543.71337890625,-9.075985989129805
103,549.0966796875,-9.363316154478296
104,554.47998046875,-11.170956309562186
105,559.86328125,-14.296335388164263
106,565.24658203125,-17.742576490931434
107,570.6298828125,-18.96631564747476
108,576.01318359375,-17.965694160512598
109,581.396484375,-16.9200865647631
110,586.77978515625,-16.570857219540592
111,592.1630859375,-16.85142625603571
112,597.54638671875,-17.06289706226756
113,602.9296875,-16.29517205935184
114,608.31298828125,-15.246862256143821
115,613.6962890625,-15.515687920621827
116,619.07958984375,-18.54663505102083
117,624.462890625,-27.637328012656045
118,629.84619140625,-23.41444840673542
119,635.2294921875,-18.140059150042344
120,640.61279296875,-17.02418686997084
121,645.99609375,-18.169414132036483
122,651.37939453125,-20.686706406517068
123,656.7626953125,-22.51628400084476
124,662.14599609375,-22.035800207326695
125,667.529296875,-21.28902281444492
126,672.91259765625,-21.645515912254176
127,678.2958984375,-23.56663197203749
128,683.67919921875,-24.304010810874978
129,689.0625,-20.61366109847787
130,694.44580078125,-18.077660854117262
