bin,freq(Hz),pow(dB/Hz)
1,0,-21.75741900978469
2,5.38330078125,-24.3496278956056
3,10.7666015625,-27.69900098850488
4,16.14990234375,-17.402836204232237
5,21.533203125,-11.397732056390248
6,26.91650390625,-7.513333241551202
7,32.2998046875,-4.795210003945524
8,37.68310546875,-2.907984218548753
9,43.06640625,-1.7532211236789053
10,48.44970703125,-1.3399234392906858
11,53.8330078125,-1.7339602021917013
12,59.21630859375,-3.065010382366819
13,64.599609375,-5.6145387210558795
14,69.98291015625,-10.116755588616506
15,75.3662109375,-18.043696414548663
16,80.74951171875,-14.968336207428445
17,86.1328125,-9.85574786098808
18,91.51611328125,-7.717015542381959
19,96.8994140625,-7.349476540377863
20,102.28271484375,-8.457656138999587
21,107.666015625,-11.264003465647047
22,113.04931640625,-17.08512218272331
23,118.4326171875,-36.642653544348114
24,123.81591796875,-17.63338572608482
25,129.19921875,-12.368633289713674
26,134.58251953125,-9.65470198237323
27,139.9658203125,-8.019698514237575
28,145.34912109375,-7.026345912541125
29,150.732421875,-6.531789406395877
30,156.11572265625,-6.485606785447927
31,161.4990234375,-6.829347767307913
32,166.88232421875,-7.452318048354643
33,172.265625,-8.205009821521559
34,177.64892578125,-8.938537537232863
35,183.0322265625,-9.469399401018707
36,188.41552734375,-9.476744782512302
37,193.798828125,-8.683193060565479
38,199.18212890625,-7.299716810293689
39,204.5654296875,-5.85722045205717
40,209.94873046875,-4.751825190441458
41,215.33203125,-4.189751234109976
42,220.71533203125,-4.29575207749716
43,226.0986328125,-5.181249310300417
44,231.48193359375,-6.975816655050696
45,236.865234375,-9.874636668764778
46,242.24853515625,-14.204426695125651
47,247.6318359375,-18.215876348769704
48,253.01513671875,-14.183919345653688
49,258.3984375,-9.445037039906104
50,263.78173828125,-6.243612236203639
51,269.1650390625,-4.208598272874759
52,274.54833984375,-3.1035625703302068
53,279.931640625,-2.7937858667750803
54,285.31494140625,-3.188951705114098
55,290.6982421875,-4.211066823675491
56,296.08154296875,-5.766104049063533
57,301.46484375,-7.723074844794081
58,306.84814453125,-9.936239580788198
59,312.2314453125,-12.289367116874416
60,317.61474609375,-14.38644768128878
