freq(Hz),pow(dB/Hz)
0,-7.917599089581794
10.7666015625,-7.799320433465864
21.533203125,-7.829496107062079
32.2998046875,-8.481146887621648
43.06640625,-9.283690679446398
53.8330078125,-8.425934071467474
64.599609375,-6.0393887621092315
75.3662109375,-4.066106803714538
86.1328125,-3.2490846201791
96.8994140625,-3.7050066322394533
107.666015625,-5.429570951600703
118.4326171875,-8.352476176714836
129.19921875,-12.061197642981673
139.9658203125,-15.215461607215325
150.732421875,-17.55862889834689
161.4990234375,-21.882428502860954
172.265625,-20.961689146916346
183.0322265625,-14.26472398587595
193.798828125,-10.896709868495629
204.5654296875,-9.76590279966037
215.33203125,-10.31262964218234
226.0986328125,-12.360094316124538
236.865234375,-16.02959176560882
247.6318359375,-22.057662851737113
258.3984375,-34.84955166615699
269.1650390625,-33.62137571253392
279.931640625,-28.138532819872182
290.6982421875,-27.153180619325013
301.46484375,-27.40142195563449
312.2314453125,-27.58808965459114
322.998046875,-27.51558895499676
333.7646484375,-27.59105630017149
344.53125,-27.912801799119936
355.2978515625,-28.343699639667307
366.064453125,-28.307853497544016
376.8310546875,-27.096358223683904
387.59765625,-25.263209366763427
398.3642578125,-23.67573417670977
409.130859375,-22.64805142923684
419.8974609375,-22.26010188299901
430.6640625,-22.54652264696408
441.4306640625,-23.47688354264715
452.197265625,-24.90656059922425
462.9638671875,-26.63994141717477
473.73046875,-28.703249329752598
484.4970703125,-31.751111075064138
495.263671875,-37.76033955112754
506.0302734375,-40.839689181838715
516.796875,-33.05560666831569
527.5634765625,-29.797855558965097
538.330078125,-28.90613581094824
549.0966796875,-29.487339615595708
559.86328125,-31.036600054287163
570.6298828125,-32.86515301548412
581.396484375,-33.43288674520787
592.1630859375,-32.142368185508786
602.9296875,-30.61240477432402
613.6962890625,-29.73349795605873
624.462890625,-29.394399902214616
635.2294921875,-28.99763711904955
645.99609375,-28.099098473319224
656.7626953125,-27.097721180994032
667.529296875,-26.725158592712855
678.2958984375,-27.460852603967375
689.0625,-29.601176031930912
699.8291015625,-33.56561556112779
710.595703125,-40.88406982465357
721.3623046875,-64.0059418904449
732.12890625,-43.35219135217287
742.8955078125,-40.91574350826784
753.662109375,-42.33402389326032
764.4287109375,-45.5868745762048
775.1953125,-43.54870410972584
785.9619140625,-40.81143699015701
796.728515625,-41.075150328360365
807.4951171875,-44.83595949720825
818.26171875,-49.707294027198195
829.0283203125,-46.039506639749476
839.794921875,-43.01366699043197
850.5615234375,-38.51159905433327
861.328125,-34.003084962673256
872.0947265625,-31.245497684752692
882.861328125,-30.40985425782594
893.6279296875,-31.553415174545503
904.39453125,-34.92334961813488
915.1611328125,-40.73675306942348
925.927734375,-44.68525053607493
936.6943359375,-43.38841384736482
947.4609375,-43.229594697134104
958.2275390625,-44.25423266546679
968.994140625,-45.613455112879215
979.7607421875,-45.3801969816078
990.52734375,-41.958504665817955
1001.2939453125,-37.7988887992746
1012.060546875,-34.720373780895365
1022.8271484375,-33.10759372843939
1033.59375,-32.97418236563439
1044.3603515625,-34.301700654688204
1055.126953125,-37.091817017798114
1065.8935546875,-40.25554187928945
1076.66015625,-39.09061471804372
1087.4267578125,-36.06808664919783
1098.193359375,-34.42585370598094
1108.9599609375,-34.145466519658456
1119.7265625,-34.44673163027382
1130.4931640625,-33.731198274767074
1141.259765625,-31.448054991732253
1152.0263671875,-29.093448796992124
1162.79296875,-27.722052117925745
1173.5595703125,-27.7272086540555
1184.326171875,-29.269553236156295
1195.0927734375,-32.0835515870299
1205.859375,-34.17837626609299
1216.6259765625,-33.89130942580654
1227.392578125,-33.55635772399482
1238.1591796875,-34.31186330287136
1248.92578125,-36.00513065980287
1259.6923828125,-36.59658646781469
1270.458984375,-33.83126172436452
1281.2255859375,-30.73795077604547
1291.9921875,-28.862033730091202
1302.7587890625,-28.307755236154804
1313.525390625,-28.840604926808968
1324.2919921875,-29.444775592385316
1335.05859375,-28.68836501280914
1345.8251953125,-27.410611196855648
1356.591796875,-27.050456359437682
1367.3583984375,-28.096712037505007
1378.125,-30.691831379760735
1388.8916015625,-34.77731439068744
1399.658203125,-39.10437991017972
1410.4248046875,-39.4871178529442
1421.19140625,-36.2488198531135
1431.9580078125,-33.51618392061803
1442.724609375,-32.37334442717454
1453.4912109375,-32.616610231172125
1464.2578125,-33.648944354637365
1475.0244140625,-35.35301030038438
1485.791015625,-39.359566001727735
1496.5576171875,-46.05782412848227
1507.32421875,-36.98522648317456
1518.0908203125,-32.784600112973905
1528.857421875,-31.581030134139873
1539.6240234375,-31.24728471783974
1550.390625,-29.933591076413954
1561.1572265625,-28.252167474374588
1571.923828125,-27.07869211768426
1582.6904296875,-26.198588857725618
1593.45703125,-25.19083624812008
1604.2236328125,-23.88465308918574
1614.990234375,-22.598907551540464
1625.7568359375,-21.954095549359902
1636.5234375,-22.384149845936182
1647.2900390625,-23.964384861493187
1658.056640625,-26.167139835496116
1668.8232421875,-27.614079481955606
1679.58984375,-27.71788789279254
1690.3564453125,-27.139411786483706
1701.123046875,-26.1344148066042
1711.8896484375,-24.97852185606577
1722.65625,-23.92195172579312
1733.4228515625,-23.07819543018473
1744.189453125,-22.742902185339982
1754.9560546875,-23.352595756903032
1765.72265625,-25.24626461347413
1776.4892578125,-28.492374499537423
1787.255859375,-32.14115492418845
1798.0224609375,-33.032961660678886
1808.7890625,-31.533850403679125
1819.5556640625,-30.319049813303856
1830.322265625,-29.714795713010123
1841.0888671875,-29.201644446351956
1851.85546875,-28.42079319338342
1862.6220703125,-27.46555739083323
1873.388671875,-26.618463686107262
1884.1552734375,-26.20549678197183
1894.921875,-26.4875768965086
1905.6884765625,-27.46073196729368
1916.455078125,-28.419605599062127
1927.2216796875,-28.206916174447162
1937.98828125,-27.30360952550798
1948.7548828125,-26.811838673468607
1959.521484375,-26.85301560730022
1970.2880859375,-27.164504031173692
1981.0546875,-27.565375027817055
1991.8212890625,-27.54264864618743
2002.587890625,-26.941361877780796
2013.3544921875,-26.98710616806846
2024.12109375,-29.061963386102786
2034.8876953125,-33.52455887820836
2045.654296875,-31.47928276467092
2056.4208984375,-27.077032231181086
2067.1875,-24.933411413330884
2077.9541015625,-24.127725444484728
2088.720703125,-24.130119934032287
2099.4873046875,-24.8148525241894
2110.25390625,-25.631894656205105
2121.0205078125,-24.010509595934696
2131.787109375,-20.392785594974093
2142.5537109375,-17.82299811590199
2153.3203125,-17.09041592830736
2164.0869140625,-18.23741100275911
2174.853515625,-20.906170983207648
2185.6201171875,-23.20691729465144
2196.38671875,-22.068472148599476
2207.1533203125,-19.005846895680012
2217.919921875,-16.484967534644635
2228.6865234375,-15.034913180481954
2239.453125,-14.331855120685194
2250.2197265625,-13.847193733327254
2260.986328125,-13.237125251918751
2271.7529296875,-12.611833870684235
2282.51953125,-12.482155378531258
2293.2861328125,-13.402357963922473
2304.052734375,-15.389739669012517
2314.8193359375,-16.953287808317363
2325.5859375,-16.555927533546505
2336.3525390625,-14.955526360312263
2347.119140625,-13.868225513735435
2357.8857421875,-14.31268144215808
2368.65234375,-14.657412938250845
2379.4189453125,-13.849557597234682
2390.185546875,-13.34168816239395
2400.9521484375,-11.841510426516912
2411.71875,-10.976058665581125
2422.4853515625,-13.627183764502806
2433.251953125,-15.949314039992174
2444.0185546875,-10.629618524438891
2454.78515625,-9.16711062148132
2465.5517578125,-10.361806843079131
2476.318359375,-7.817438836554345
2487.0849609375,-3.070906006941322
2497.8515625,0.16570716787975653
2508.6181640625,1.8195656966398868
2519.384765625,1.9815277822187283
2530.1513671875,0.892210096619164
2540.91796875,-0.482618068704634
2551.6845703125,-0.8198062277782092
2562.451171875,-0.6504821699753458
2573.2177734375,-0.9144223972818412
2583.984375,-1.5438660075146882
2594.7509765625,-2.3916400124917425
2605.517578125,-3.8650303260029024
2616.2841796875,-6.6589978139982575
2627.05078125,-11.917968468477335
2637.8173828125,-25.95663499814217
2648.583984375,-19.13566032581543
2659.3505859375,-13.712690237322187
2670.1171875,-12.665979784687488
2680.8837890625,-14.060377692484273
2691.650390625,-17.928772669350234
2702.4169921875,-21.156772527863794
2713.18359375,-16.830614675109846
2723.9501953125,-13.946676242189838
2734.716796875,-13.366686349938972
2745.4833984375,-14.631431990081733
2756.25,-17.063861404094073
2767.0166015625,-17.575667814088746
2777.783203125,-15.09876421309627
