freq(Hz),pow(dB/Hz)
0,-20.422210763152194
10.7666015625,-20.408069439595216
21.533203125,-19.796821825414508
32.2998046875,-17.863257801012487
43.06640625,-15.13341740255467
53.8330078125,-12.750983767639493
64.599609375,-11.463638642355633
75.3662109375,-11.75387096832105
86.1328125,-14.349992360847983
96.8994140625,-19.32328007535035
107.666015625,-15.27902790770878
118.4326171875,-10.563362292432938
129.19921875,-8.527041300401457
139.9658203125,-8.238559163881133
150.732421875,-9.127472034813929
161.4990234375,-10.82344553024248
172.265625,-13.221599207875453
183.0322265625,-16.241043102903255
193.798828125,-19.031060789652642
204.5654296875,-20.847958688001906
215.33203125,-23.214578166874496
226.0986328125,-28.554438484756496
236.865234375,-65.93625926656757
247.6318359375,-28.45084599536271
258.3984375,-22.653552814536123
269.1650390625,-19.31352312316239
279.931640625,-17.242602239470642
290.6982421875,-16.356589119122862
301.46484375,-16.64637821671885
312.2314453125,-18.02865084547786
322.998046875,-20.4439656328816
333.7646484375,-24.066971438939877
344.53125,-29.76056188301338
355.2978515625,-41.232736533640626
366.064453125,-35.97326250985143
376.8310546875,-30.153415479681215
387.59765625,-27.616030300558954
398.3642578125,-26.887683070646297
409.130859375,-27.3272814624776
419.8974609375,-27.366824179602062
430.6640625,-26.07760271955051
441.4306640625,-24.88002335813733
452.197265625,-24.537257950345513
462.9638671875,-24.77151141867095
473.73046875,-24.750493945711362
484.4970703125,-23.798772635192677
495.263671875,-22.407485777646894
506.0302734375,-21.3501742142535
516.796875,-20.892982992390504
527.5634765625,-21.074789824797442
538.330078125,-21.977748617374747
549.0966796875,-23.67380590407569
559.86328125,-25.863226606695527
570.6298828125,-27.58575724756884
581.396484375,-28.36150662806208
592.1630859375,-28.781195568222987
602.9296875,-28.958086659265962
613.6962890625,-28.394364492049124
624.462890625,-26.991988316759272
635.2294921875,-25.714042025883074
645.99609375,-25.54437270096627
656.7626953125,-27.049888723549806
667.529296875,-30.76494413451512
678.2958984375,-37.20506125448692
689.0625,-42.62768272529476
699.8291015625,-46.69399225863147
710.595703125,-47.05049681664968
721.3623046875,-37.45235615596125
732.12890625,-33.13092565722836
742.8955078125,-30.61071330740014
753.662109375,-29.014950651910215
764.4287109375,-28.258106430104096
775.1953125,-28.443443904462708
785.9619140625,-29.55632221771101
796.728515625,-31.251904355398523
807.4951171875,-33.125067630454346
818.26171875,-35.88201410565493
829.0283203125,-43.097990601297184
839.794921875,-44.68268864399996
850.5615234375,-33.9681724916466
861.328125,-29.801541723328743
872.0947265625,-28.228755882708093
882.861328125,-28.580017606837025
893.6279296875,-30.626011399153853
904.39453125,-33.902765370736525
915.1611328125,-36.98444069718579
925.927734375,-38.60822622355494
936.6943359375,-38.886205772174264
947.4609375,-38.19151822412892
958.2275390625,-37.263770757558305
968.994140625,-35.966675376669116
979.7607421875,-34.3097516680903
990.52734375,-33.237264400303054
1001.2939453125,-33.715988143540365
1012.060546875,-35.89192304745536
1022.8271484375,-37.549832864169694
1033.59375,-37.61246813716403
1044.3603515625,-39.73783615172222
1055.126953125,-46.7223659566767
1065.8935546875,-42.16480768516643
1076.66015625,-35.67992708002078
1087.4267578125,-32.097133269779164
1098.193359375,-30.076843262255363
1108.9599609375,-29.5493768647531
1119.7265625,-30.71876389595737
1130.4931640625,-33.45276268702313
1141.259765625,-35.81753303031235
1152.0263671875,-35.86224728366051
1162.79296875,-36.06532568464279
1173.5595703125,-37.46743372448308
1184.326171875,-38.80868310803344
1195.0927734375,-37.96636321906737
1205.859375,-35.280110400484865
1216.6259765625,-32.519716581247295
1227.392578125,-30.79603023660185
1238.1591796875,-30.58237523184435
1248.92578125,-32.49482624848397
1259.6923828125,-38.654023181060666
1270.458984375,-44.16762358624517
1281.2255859375,-34.303909712821365
1291.9921875,-30.674240122120274
1302.7587890625,-28.93552699216186
1313.525390625,-28.096676752226593
1324.2919921875,-28.070928430892423
1335.05859375,-28.907235449927008
1345.8251953125,-30.463853222591055
1356.591796875,-32.68628325328037
1367.3583984375,-35.9839267579462
1378.125,-41.35474564831231
1388.8916015625,-49.097938299687655
1399.658203125,-44.43482073318065
1410.4248046875,-38.10228646904771
1421.19140625,-34.12693873071747
1431.9580078125,-32.27029678242192
1442.724609375,-31.880459791844018
1453.4912109375,-31.68704139820135
1464.2578125,-30.711694993492316
1475.0244140625,-29.448040344177397
1485.791015625,-28.695299730586935
1496.5576171875,-28.932990061498337
1507.32421875,-30.366759896849743
1518.0908203125,-32.25828160718053
1528.857421875,-32.29198150587378
1539.6240234375,-31.439133728454873
1550.390625,-32.49820449744043
1561.1572265625,-37.54136195125446
1571.923828125,-40.869589721714014
1582.6904296875,-33.44439317829312
1593.45703125,-30.937364917587264
1604.2236328125,-30.597014089714925
1614.990234375,-29.455401052067035
1625.7568359375,-27.515370214980024
1636.5234375,-26.950796603734602
1647.2900390625,-28.245651360865082
1658.056640625,-30.15014739993967
1668.8232421875,-29.896687336113985
1679.58984375,-29.01600940202837
1690.3564453125,-29.471598798994915
1701.123046875,-31.176423827378244
1711.8896484375,-32.96168175814833
1722.65625,-32.4498480521724
1733.4228515625,-30.464718973115836
1744.189453125,-29.551893890496224
1754.9560546875,-30.69518100433948
1765.72265625,-35.22117248588256
1776.4892578125,-58.889182106291315
1787.255859375,-35.40323309987532
1798.0224609375,-30.287922744161705
1808.7890625,-28.545065297092165
1819.5556640625,-28.555636267011522
1830.322265625,-29.395695229653352
1841.0888671875,-30.434521502970632
1851.85546875,-32.01014927070936
1862.6220703125,-34.72565100226428
1873.388671875,-37.82905094712838
1884.1552734375,-37.58995291734479
1894.921875,-36.18234824512966
1905.6884765625,-37.968350407984126
1916.455078125,-40.586842041366104
1927.2216796875,-31.91390278883143
1937.98828125,-26.47754382219545
1948.7548828125,-23.168360380655585
1959.521484375,-21.016243512808984
1970.2880859375,-19.584122342849902
1981.0546875,-18.50503983296735
1991.8212890625,-17.72253051645756
2002.587890625,-17.656583379617278
2013.3544921875,-18.658776076094924
2024.12109375,-20.297998156235842
2034.8876953125,-20.835174301409204
2045.654296875,-19.66131079943481
2056.4208984375,-18.082586042288323
2067.1875,-16.566673039580984
2077.9541015625,-15.262881813608061
2088.720703125,-14.456617209605165
2099.4873046875,-14.32707777137746
2110.25390625,-14.92134071871378
2121.0205078125,-16.33380045481092
2131.787109375,-18.91316871357271
2142.5537109375,-23.791893501235492
2153.3203125,-39.382541592883754
2164.0869140625,-27.714878943961907
2174.853515625,-21.9658463944284
2185.6201171875,-20.25128372704271
2196.38671875,-20.030040360885764
2207.1533203125,-19.25040281183405
2217.919921875,-17.467908733059634
2228.6865234375,-15.749807428697908
2239.453125,-14.358786102779373
2250.2197265625,-13.397484806881119
2260.986328125,-13.274401466600514
2271.7529296875,-14.432231400597132
2282.51953125,-17.359770356638403
2293.2861328125,-23.006019150295437
2304.052734375,-28.10756669337103
2314.8193359375,-20.521097080710362
2325.5859375,-14.341356953228289
2336.3525390625,-9.445441253900556
2347.119140625,-5.564888270191136
