bin,freq(Hz),pow(dB/Hz)
1,0,-4.838514657612199
2,10.7666015625,-6.191821501837015
3,21.533203125,-8.826775959598741
4,32.2998046875,-5.577556966067895
5,43.06640625,-0.6686088812207118
6,53.8330078125,2.9555900048061847
7,64.599609375,5.618267971921175
8,75.3662109375,7.2196664253773015
9,86.1328125,7.272658264764079
10,96.8994140625,5.220722556159742
11,107.666015625,0.6924819442645974
12,118.4326171875,-6.712909320411775
13,129.19921875,-13.619396802966053
14,139.9658203125,-10.362954450620007
15,150.732421875,-9.160340049405276
16,161.4990234375,-8.845589917524958
17,172.265625,-7.7768911189745715
18,183.0322265625,-7.9935870256743415
19,193.798828125,-11.0100827820756
20,204.5654296875,-15.495056450000405
21,215.33203125,-14.662462184994638
22,226.0986328125,-12.997169120821255
23,236.865234375,-11.552138255699653
24,247.6318359375,-11.654640760766682
25,258.3984375,-13.6571225788052
26,269.1650390625,-13.17543330108486
27,279.931640625,-8.104571368216533
28,290.6982421875,-3.604730886048848
29,301.46484375,-1.7681324418676823
30,312.2314453125,-3.046380272938058
31,322.998046875,-8.25608615101743
32,333.7646484375,-21.616000417009936
33,344.53125,-19.158008796512476
34,355.2978515625,-16.009442568702966
35,366.064453125,-20.00359860772359
36,376.8310546875,-19.80511893061499
37,387.59765625,-8.821220778901132
38,398.3642578125,-4.058398313382765
39,409.130859375,-2.3048332830249922
40,419.8974609375,-3.066720665168794
41,430.6640625,-6.185867172666047
42,441.4306640625,-10.575844776328754
43,452.197265625,-11.049685100025236
44,462.9638671875,-10.056514537874477
45,473.73046875,-12.721720794944964
46,484.4970703125,-23.966576249057056
47,495.263671875,-22.30045096674062
48,506.0302734375,-17.5709526567784
49,516.796875,-17.548498723788494
50,527.5634765625,-18.936698165555754
51,538.330078125,-21.61389157653676
52,549.0966796875,-23.526057272069025
53,559.86328125,-25.033792460413515
54,570.6298828125,-26.358003966208045
55,581.396484375,-22.184468276372264
56,592.1630859375,-19.645641263296724
57,602.9296875,-17.30298440989895
58,613.6962890625,-14.732693230682132
59,624.462890625,-13.03319438487006
60,635.2294921875,-12.334725709696148
61,645.99609375,-12.6248224725491
62,656.7626953125,-13.912951683829904
63,667.529296875,-15.73943229691106
64,678.2958984375,-16.071743738475345
65,689.0625,-15.027675008362111
66,699.8291015625,-15.78518851566856
67,710.595703125,-20.267307591984817
68,721.3623046875,-31.103875577402892
69,732.12890625,-22.80720822500093
70,742.8955078125,-19.32568267382847
71,753.662109375,-19.479968694901174
72,764.4287109375,-21.42802251304099
73,775.1953125,-22.506213694930423
74,785.9619140625,-21.80753699502056
75,796.728515625,-21.605793864898928
76,807.4951171875,-23.28436066795113
77,818.26171875,-26.882327259307843
78,829.0283203125,-27.4768808199673
79,839.794921875,-27.070715405724552
80,850.5615234375,-26.58516734313534
81,861.328125,-24.594688770102042
82,872.0947265625,-26.467665008184298
83,882.861328125,-31.12278626287103
84,893.6279296875,-26.725351141135995
85,904.39453125,-26.238659829822417
86,915.1611328125,-25.11512951601878
87,925.927734375,-25.027516755412996
88,936.6943359375,-29.331717472014304
89,947.4609375,-25.75942322423355
90,958.2275390625,-23.439986165922967
91,968.994140625,-21.466439136454987
92,979.7607421875,-18.537254351515994
93,990.52734375,-17.374292501408885
94,1001.2939453125,-18.355785474167867
95,1012.060546875,-19.62048380496185
96,1022.8271484375,-23.091795611946605
97,1033.59375,-32.92776772860846
98,1044.3603515625,-33.17392979007911
99,1055.126953125,-37.82367897659072
100,1065.8935546875,-39.65434669004501
101,1076.66015625,-35.77892793771647
102,1087.4267578125,-42.13358016864036
103,1098.193359375,-25.892172414964072
104,1108.9599609375,-19.885169847325088
105,1119.7265625,-17.409275829351685
106,1130.4931640625,-17.129699712088623
107,1141.259765625,-18.33596316540879
108,1152.0263671875,-19.91260943167498
109,1162.79296875,-21.03927353620168
110,1173.5595703125,-21.563632808105048
111,1184.326171875,-20.577642616380828
112,1195.0927734375,-19.78567864026481
113,1205.859375,-22.184525392347147
114,1216.6259765625,-29.7628766787263
115,1227.392578125,-41.093725494723294
116,1238.1591796875,-39.9732639031062
117,1248.92578125,-43.144307321396724
118,1259.6923828125,-28.453727302869734
119,1270.458984375,-18.42622266769088
120,1281.2255859375,-14.362560949581958
121,1291.9921875,-14.020287433856138
122,1302.7587890625,-15.525137429554745
123,1313.525390625,-17.364587390755744
124,1324.2919921875,-19.735309784530905
125,1335.05859375,-22.17267631497731
126,1345.8251953125,-22.972890812798315
127,1356.591796875,-22.43734788239886
128,1367.3583984375,-23.185576486744147
129,1378.125,-22.009523425122573
130,1388.8916015625,-19.0426904560298
131,1399.658203125,-19.405350029684623
132,1410.4248046875,-24.157384657398158
133,1421.19140625,-23.21276974646032
134,1431.9580078125,-19.159861216615855
135,1442.724609375,-17.958277654119165
136,1453.4912109375,-17.196542282554784
137,1464.2578125,-16.220489817590046
138,1475.0244140625,-16.50251576554046
139,1485.791015625,-20.380312727382275
140,1496.5576171875,-27.045436045372306
141,1507.32421875,-23.0748390615695
142,1518.0908203125,-21.552374439287874
143,1528.857421875,-23.422198595001078
144,1539.6240234375,-25.268492874879737
145,1550.390625,-21.76197056499315
146,1561.1572265625,-19.029776273648743
147,1571.923828125,-19.141081135451024
148,1582.6904296875,-19.62966207971078
149,1593.45703125,-17.138278227572407
150,1604.2236328125,-15.026646588325638
151,1614.990234375,-13.604986408901045
152,1625.7568359375,-12.529133448114994
153,1636.5234375,-11.411996738983191
154,1647.2900390625,-11.4197208981053
155,1658.056640625,-13.87543647842708
156,1668.8232421875,-18.986028323988094
157,1679.58984375,-23.725719227102815
158,1690.3564453125,-19.18688975000609
159,1701.123046875,-13.483186953708577
160,1711.8896484375,-11.985046353710374
161,1722.65625,-15.318021147734097
162,1733.4228515625,-18.30044011527435
163,1744.189453125,-15.542455492990086
164,1754.9560546875,-15.33342476556836
165,1765.72265625,-16.38068661149444
166,1776.4892578125,-17.702679110048763
167,1787.255859375,-17.511661312188636
168,1798.0224609375,-15.729226348593059
169,1808.7890625,-14.590599180612402
170,1819.5556640625,-15.232272945032943
171,1830.322265625,-15.753331356117762
172,1841.0888671875,-14.560509678320111
173,1851.85546875,-14.293363097135284
174,1862.6220703125,-14.776196333189803
175,1873.388671875,-14.976396802377632
176,1884.1552734375,-14.929570922846207
177,1894.921875,-13.931657937968273
178,1905.6884765625,-13.899215826453839
179,1916.455078125,-17.504186707618203
180,1927.2216796875,-24.232800201411514
181,1937.98828125,-23.333316556493013
182,1948.7548828125,-23.469065804001062
183,1959.521484375,-24.312383459150677
184,1970.2880859375,-20.992573816769227
185,1981.0546875,-16.316875985654193
186,1991.8212890625,-14.016951901713817
187,2002.587890625,-14.243908580418674
188,2013.3544921875,-15.39731217229355
189,2024.12109375,-13.383488659763517
190,2034.8876953125,-9.484118483002014
191,2045.654296875,-7.303171599152327
192,2056.4208984375,-6.976934356295567
193,2067.1875,-7.611678986217687
194,2077.9541015625,-7.919818972907984
195,2088.720703125,-7.313202585192674
196,2099.4873046875,-7.570175290335102
197,2110.25390625,-9.79878991441406
198,2121.0205078125,-11.024165316096543
199,2131.787109375,-11.91754445181148
200,2142.5537109375,-16.75427280355884
201,2153.3203125,-26.564457125514398
202,2164.0869140625,-37.32612661554546
203,2174.853515625,-28.897166183390762
204,2185.6201171875,-20.151679884350337
205,2196.38671875,-18.460932250751373
206,2207.1533203125,-15.805592025593869
207,2217.919921875,-10.87128569010414
208,2228.6865234375,-8.925584237672254
209,2239.453125,-9.945106125119462
210,2250.2197265625,-13.941958584133172
211,2260.986328125,-16.62870998264577
212,2271.7529296875,-12.11673798004911
213,2282.51953125,-8.668844285695684
214,2293.2861328125,-6.428956188486737
215,2304.052734375,-5.1708471282347945
216,2314.8193359375,-5.034398726576393
217,2325.5859375,-6.379264904948071
218,2336.3525390625,-9.541181020564597
219,2347.119140625,-10.078070291371706
220,2357.8857421875,-6.908410544152513
221,2368.65234375,-5.982021653183091
222,2379.4189453125,-6.714707037571403
223,2390.185546875,-7.336992122008428
224,2400.9521484375,-7.586319576918974
225,2411.71875,-10.492000035449983
226,2422.4853515625,-26.031916690189185
227,2433.251953125,-11.012174674725731
228,2444.0185546875,-6.927589458368715
229,2454.78515625,-6.272408402108569
230,2465.5517578125,-6.917883612495835
231,2476.318359375,-9.433687819789785
232,2487.0849609375,-18.522960514451924
233,2497.8515625,-16.748985828096327
234,2508.6181640625,-8.983276158263989
235,2519.384765625,-6.657340821611976
236,2530.1513671875,-5.936942980623155
237,2540.91796875,-6.142569531942216
238,2551.6845703125,-7.803693759002217
239,2562.451171875,-12.418281093008645
240,2573.2177734375,-17.114352710142477
241,2583.984375,-9.490315284100237
242,2594.7509765625,-7.069083868993021
243,2605.517578125,-7.433493744994816
244,2616.2841796875,-7.425040248054021
245,2627.05078125,-5.870734577733437
246,2637.8173828125,-4.7675573567622145
247,2648.583984375,-4.00830280080568
248,2659.3505859375,-2.3112328367028696
249,2670.1171875,-0.6027714393956565
250,2680.8837890625,-0.5316930819323027
251,2691.650390625,-2.7409700024696293
252,2702.4169921875,-5.457289630113031
253,2713.18359375,-6.412181156711298
254,2723.9501953125,-5.979262065260991
255,2734.716796875,-5.884201761327352
256,2745.4833984375,-6.977386418597121
257,2756.25,-5.688303248757721
258,2767.0166015625,1.0749491195521785
259,2777.783203125,5.237339573543085
260,2788.5498046875,5.734578992241741
261,2799.31640625,3.63902944928511
262,2810.0830078125,1.0930784036828316
263,2820.849609375,-0.07138544824745464
264,2831.6162109375,-1.1146229882615557
265,2842.3828125,-2.7113883802700105
266,2853.1494140625,-3.8390326735078246
267,2863.916015625,-4.450494712957452
268,2874.6826171875,-7.063832096728938
269,2885.44921875,-23.323559823274568
270,2896.2158203125,-5.36228732109811
271,2906.982421875,0.14282611325185102
272,2917.7490234375,1.2433485029078393
273,2928.515625,0.6227663947166442
274,2939.2822265625,0.0498866463449786
275,2950.048828125,-1.8532070347964784
276,2960.8154296875,-6.413073345379883
277,2971.58203125,-1.231661585330129
278,2982.3486328125,1.522143429964899
279,2993.115234375,-2.3423608150100454
280,3003.8818359375,-10.961712320543253
281,3014.6484375,-1.1904501242830787
282,3025.4150390625,0.04037321936136376
283,3036.181640625,-2.532629845073483
284,3046.9482421875,-0.638928156392919
285,3057.71484375,2.9884664170661175
286,3068.4814453125,4.086845575845733
287,3079.248046875,2.735523278233918
288,3090.0146484375,0.1738691027333104
289,3100.78125,-0.062191967037629886
290,3111.5478515625,0.7078314177190771
291,3122.314453125,-1.606485065096808
292,3133.0810546875,-6.86694752211822
293,3143.84765625,-8.090339507252708
294,3154.6142578125,-11.403809016863924
295,3165.380859375,-4.652019241071162
296,3176.1474609375,1.4580763386988183
297,3186.9140625,2.6315727098853596
298,3197.6806640625,-0.9792941800825254
299,3208.447265625,-11.259955234997548
300,3219.2138671875,-21.289781931097682
301,3229.98046875,-0.9080270854920744
302,3240.7470703125,6.015811143666103
303,3251.513671875,10.538568753047805
304,3262.2802734375,11.45951989510644
305,3273.046875,8.009125787348339
306,3283.8134765625,11.757146041862882
307,3294.580078125,18.63660397693206
308,3305.3466796875,22.1960806948725
309,3316.11328125,24.94371117754442
310,3326.8798828125,27.270415950234366
311,3337.646484375,28.952194370126513
312,3348.4130859375,29.86143301681792
313,3359.1796875,29.7974541860993
314,3369.9462890625,28.92663560422102
315,3380.712890625,27.403841755036797
316,3391.4794921875,25.022269868944488
317,3402.24609375,22.758973930493433
318,3413.0126953125,22.937709022822922
319,3423.779296875,23.703049291476702
320,3434.5458984375,22.876844572505533
321,3445.3125,19.900340805933098
322,3456.0791015625,14.486488080939369
323,3466.845703125,5.718594890432893
324,3477.6123046875,-7.996028281390208
325,3488.37890625,0.2373448202954891
326,3499.1455078125,7.13874804775373
327,3509.912109375,10.282881351066536
328,3520.6787109375,10.445565027299233
329,3531.4453125,7.909469950663947
330,3542.2119140625,2.638963000714512
331,3552.978515625,-4.379219055511795
332,3563.7451171875,-6.756917246798356
333,3574.51171875,-7.489889319748881
334,3585.2783203125,-13.891405080080295
335,3596.044921875,-6.896213721220848
336,3606.8115234375,0.7906396394104773
337,3617.578125,4.950656931336005
338,3628.3447265625,6.321111484878138
339,3639.111328125,4.429343520178124
340,3649.8779296875,-1.8597503815730758
341,3660.64453125,-6.9732053235896805
342,3671.4111328125,-6.326776091500488
343,3682.177734375,-14.99788709441118
344,3692.9443359375,-13.898209190838628
345,3703.7109375,-8.495255522240813
346,3714.4775390625,-9.869212036641844
347,3725.244140625,-12.962564643176972
348,3736.0107421875,-8.935622558924424
349,3746.77734375,-5.041148607048255
350,3757.5439453125,-1.6109224231534436
351,3768.310546875,-0.12433536905003441
352,3779.0771484375,-3.1041631056576477
353,3789.84375,-13.225005940404134
354,3800.6103515625,-5.467364653931323
355,3811.376953125,-2.9109426010475707
356,3822.1435546875,-4.318412772906559
357,3832.91015625,-10.631469725493181
358,3843.6767578125,-11.79793982194507
359,3854.443359375,-6.705993001522716
360,3865.2099609375,-5.728241551604823
361,3875.9765625,-9.921842504176192
362,3886.7431640625,-17.207582294942224
363,3897.509765625,-4.1012407484392766
364,3908.2763671875,-0.7344378144791481
365,3919.04296875,-1.022200202245074
366,3929.8095703125,-3.4206821818289206
367,3940.576171875,-8.380939055846628
368,3951.3427734375,-15.77906489074345
369,3962.109375,-10.625524739597232
370,3972.8759765625,-6.647671832289328
371,3983.642578125,-4.46980938658058
372,3994.4091796875,-3.0704450314892835
373,4005.17578125,-2.212886935377669
374,4015.9423828125,-1.5610343106189093
375,4026.708984375,-0.604590828856693
376,4037.4755859375,-0.1768243180274756
377,4048.2421875,-2.021614416668702
378,4059.0087890625,-8.038003300728203
379,4069.775390625,-22.24726448404131
380,4080.5419921875,-19.862575939048263
381,4091.30859375,-27.882368914553666
382,4102.0751953125,-13.47428474114686
383,4112.841796875,-5.611604355846707
384,4123.6083984375,-2.8386628323401064
385,4134.375,-3.682282032504702
386,4145.1416015625,-8.055674971337375
387,4155.908203125,-16.175133552268306
388,4166.6748046875,-6.891627430607291
389,4177.44140625,-1.8384535848744912
390,4188.2080078125,-0.2458315784763865
391,4198.974609375,-0.6661493683758051
392,4209.7412109375,-2.468573255601997
393,4220.5078125,-5.502072667610758
394,4231.2744140625,-8.09476512402515
395,4242.041015625,-9.085355078174581
396,4252.8076171875,-10.674288254205226
397,4263.57421875,-9.26959422619908
398,4274.3408203125,-4.389706912180772
399,4285.107421875,-2.0823810849943643
400,4295.8740234375,-2.4305814898690823
401,4306.640625,-5.436463711697449
402,4317.4072265625,-10.840893244764832
403,4328.173828125,-19.064370524145303
404,4338.9404296875,-28.420839504245382
405,4349.70703125,-17.76428988143592
406,4360.4736328125,-11.321310874457417
407,4371.240234375,-7.004750947179317
408,4382.0068359375,-5.2013310665388035
409,4392.7734375,-4.979790444210824
410,4403.5400390625,-6.575715748480274
411,4414.306640625,-13.00472232373531
412,4425.0732421875,-19.050361752031268
413,4435.83984375,-11.446607221729447
414,4446.6064453125,-13.272236414731577
415,4457.373046875,-15.80022942936959
416,4468.1396484375,-13.824219517948336
417,4478.90625,-20.255580364084782
418,4489.6728515625,-20.73827141574405
419,4500.439453125,-13.67255228961425
420,4511.2060546875,-13.560350737060116
421,4521.97265625,-15.54258499388401
422,4532.7392578125,-17.69372184076613
423,4543.505859375,-20.15196001538991
424,4554.2724609375,-19.976596249778357
425,4565.0390625,-16.780446528353576
426,4575.8056640625,-14.69112403380359
427,4586.572265625,-13.283242515151972
428,4597.3388671875,-12.187970904283958
429,4608.10546875,-12.1433335381912
430,4618.8720703125,-11.840464611121668
431,4629.638671875,-11.088042254473983
432,4640.4052734375,-12.062980328344747
433,4651.171875,-14.580770255155464
434,4661.9384765625,-16.722472005263437
435,4672.705078125,-22.736042559824735
436,4683.4716796875,-27.66658450183142
437,4694.23828125,-18.838227168045435
438,4705.0048828125,-16.497276522763418
439,4715.771484375,-13.658240398012806
440,4726.5380859375,-11.585266651761712
441,4737.3046875,-10.617961079839695
442,4748.0712890625,-10.215150382733357
443,4758.837890625,-10.746709281515102
444,4769.6044921875,-12.616062012573295
445,4780.37109375,-15.40831581686387
446,4791.1376953125,-18.072934083777575
447,4801.904296875,-20.878382054972487
448,4812.6708984375,-24.62486280144968
449,4823.4375,-28.215365800044037
450,4834.2041015625,-22.980648322715027
451,4844.970703125,-21.85480265186746
452,4855.7373046875,-38.31800634992953
453,4866.50390625,-16.342821237476677
454,4877.2705078125,-11.456118055631386
455,4888.037109375,-10.991732609459909
456,4898.8037109375,-14.274347467868662
457,4909.5703125,-20.539615123788103
458,4920.3369140625,-17.409737738341825
459,4931.103515625,-15.776506323193818
460,4941.8701171875,-16.785995714927907
461,4952.63671875,-18.057203811951435
462,4963.4033203125,-19.91223589790152
463,4974.169921875,-25.349833402432417
464,4984.9365234375,-40.53943371482415
465,4995.703125,-37.258535622170356
466,5006.4697265625,-29.921748228741528
467,5017.236328125,-22.041193485596207
468,5028.0029296875,-20.607750609536648
469,5038.76953125,-22.26225589733753
470,5049.5361328125,-24.391088867813156
471,5060.302734375,-28.118196011213982
472,5071.0693359375,-20.359558481545285
473,5081.8359375,-14.177634118896592
474,5092.6025390625,-11.558879984055704
475,5103.369140625,-11.318229936073521
476,5114.1357421875,-12.662805807844
477,5124.90234375,-14.627278515664553
478,5135.6689453125,-16.680720924025373
479,5146.435546875,-19.82706007302386
480,5157.2021484375,-21.471244147490683
481,5167.96875,-18.8586219826262
482,5178.7353515625,-17.39398313988368
483,5189.501953125,-17.270683172219524
484,5200.2685546875,-19.824329006002642
485,5211.03515625,-27.507165714906684
486,5221.8017578125,-21.252994931530008
487,5232.568359375,-19.49277757506551
488,5243.3349609375,-23.46134131784101
489,5254.1015625,-21.945593543204293
490,5264.8681640625,-19.601515969786018
491,5275.634765625,-22.04268345029805
492,5286.4013671875,-22.132679129485723
493,5297.16796875,-16.681118846143324
494,5307.9345703125,-14.076853217941451
495,5318.701171875,-14.021449744285043
496,5329.4677734375,-15.570099030008821
497,5340.234375,-17.197351031837968
498,5351.0009765625,-18.406472142222178
499,5361.767578125,-21.26580104977932
500,5372.5341796875,-26.14168124908167
501,5383.30078125,-21.83383549795636
502,5394.0673828125,-19.344252867921064
503,5404.833984375,-20.067518614527373
504,5415.6005859375,-21.846671343687255
505,5426.3671875,-19.009195996226925
506,5437.1337890625,-14.920327727291493
507,5447.900390625,-13.493147719414946
508,5458.6669921875,-14.691417154252942
509,5469.43359375,-18.500737677611877
510,5480.2001953125,-20.73151200493658
511,5490.966796875,-16.03551416549378
512,5501.7333984375,-14.187557331944248
513,5512.5,-15.268185437469553
514,5523.2666015625,-16.468147047873167
515,5534.033203125,-15.785631966197748
516,5544.7998046875,-14.90255464097704
517,5555.56640625,-14.047118846606082
518,5566.3330078125,-13.846759473375359
519,5577.099609375,-15.479702546942285
520,5587.8662109375,-19.588424826794473
521,5598.6328125,-26.926317637966555
522,5609.3994140625,-22.744488238203147
523,5620.166015625,-16.12929654684109
524,5630.9326171875,-15.10816651129095
525,5641.69921875,-18.39698796970177
526,5652.4658203125,-23.767689636067782
527,5663.232421875,-23.6545598048841
528,5673.9990234375,-24.08600085664044
529,5684.765625,-23.84275730336232
530,5695.5322265625,-23.448392340495623
531,5706.298828125,-23.650208300203825
532,5717.0654296875,-22.04141420836173
533,5727.83203125,-21.847589293877334
534,5738.5986328125,-24.001524100443895
535,5749.365234375,-25.576036279394295
536,5760.1318359375,-24.473015999791095
537,5770.8984375,-25.345787886794863
538,5781.6650390625,-27.738619637037985
539,5792.431640625,-26.46766124492224
540,5803.1982421875,-27.163331735067295
541,5813.96484375,-27.405976903749387
542,5824.7314453125,-22.33120855149586
543,5835.498046875,-17.95331701762272
544,5846.2646484375,-16.125711454713116
545,5857.03125,-17.068342996413904
546,5867.7978515625,-21.274288273565276
547,5878.564453125,-30.21204156810033
548,5889.3310546875,-35.46334702660177
549,5900.09765625,-30.401378658195057
550,5910.8642578125,-26.034671868874717
551,5921.630859375,-23.78063319985916
552,5932.3974609375,-22.58933825107443
553,5943.1640625,-20.901932189769493
554,5953.9306640625,-19.46129772629599
555,5964.697265625,-19.494541348210824
556,5975.4638671875,-21.1707293111758
557,5986.23046875,-23.636277093756895
558,5996.9970703125,-24.33012512092607
559,6007.763671875,-23.44210224646437
560,6018.5302734375,-23.297645549670932
561,6029.296875,-24.814568386213928
562,6040.0634765625,-26.727566491387297
563,6050.830078125,-25.342174657609398
564,6061.5966796875,-24.247054865547746
565,6072.36328125,-25.070901872969692
566,6083.1298828125,-27.209500255161725
567,6093.896484375,-30.315518811707353
568,6104.6630859375,-35.007189361262576
569,6115.4296875,-48.54150007406708
570,6126.1962890625,-32.67001919218343
571,6136.962890625,-26.45410221156733
572,6147.7294921875,-24.930241558025443
573,6158.49609375,-26.180964045149516
574,6169.2626953125,-27.46789294327966
575,6180.029296875,-26.010222774127527
576,6190.7958984375,-23.458591416154007
577,6201.5625,-21.799280370228434
578,6212.3291015625,-21.006977268761133
579,6223.095703125,-20.57559958603839
580,6233.8623046875,-20.892737795240347
581,6244.62890625,-22.943663687522594
582,6255.3955078125,-27.72881428511011
583,6266.162109375,-36.38711320267834
584,6276.9287109375,-51.38862898070427
585,6287.6953125,-31.75184440391696
586,6298.4619140625,-26.12023108361203
587,6309.228515625,-24.23629987649177
588,6319.9951171875,-24.218774244969417
589,6330.76171875,-24.675304407133947
590,6341.5283203125,-24.379119048607677
591,6352.294921875,-23.464817338684956
592,6363.0615234375,-23.126955858248024
593,6373.828125,-23.595554136137068
594,6384.5947265625,-23.73523913520062
595,6395.361328125,-22.490197829105625
596,6406.1279296875,-20.568527674113646
597,6416.89453125,-18.869304321341367
598,6427.6611328125,-17.861772793016993
599,6438.427734375,-17.877298463853894
600,6449.1943359375,-18.651845655552258
601,6459.9609375,-19.405447685592144
602,6470.7275390625,-19.683771533102867
603,6481.494140625,-19.676606739072874
604,6492.2607421875,-21.48909907118123
605,6503.02734375,-25.37519438857737
606,6513.7939453125,-24.59249421289477
607,6524.560546875,-28.30204849761806
608,6535.3271484375,-32.92652724491933
609,6546.09375,-23.166448860298917
610,6556.8603515625,-24.046369315597435
611,6567.626953125,-28.975739411964113
612,6578.3935546875,-21.40729467759705
613,6589.16015625,-21.202129921478686
614,6599.9267578125,-23.914134940986294
615,6610.693359375,-24.63305561003103
616,6621.4599609375,-22.98008561895945
617,6632.2265625,-21.221289174980956
618,6642.9931640625,-19.18461493727184
619,6653.759765625,-18.027141551407407
620,6664.5263671875,-15.008859360809376
