bin,freq(Hz),pow(dB/Hz)
1,0,-14.846449927748955
2,5.38330078125,-14.792005184607204
3,10.7666015625,-14.867856849105001
4,16.14990234375,-15.47469453008775
5,21.533203125,-16.67952561459757
6,26.91650390625,-17.696027066382754
7,32.2998046875,-17.13558833591367
8,37.68310546875,-15.181758137280044
9,43.06640625,-12.73759320636958
10,48.44970703125,-10.291269812747885
11,53.8330078125,-8.369594929441774
12,59.21630859375,-7.448797675475052
13,64.599609375,-7.91827888207979
14,69.98291015625,-10.347661673301364
15,75.3662109375,-16.471549661242577
16,80.74951171875,-26.652652601893596
17,86.1328125,-15.088625330030359
18,91.51611328125,-11.600236294613293
19,96.8994140625,-10.72327007194417
20,102.28271484375,-11.219779604774455
21,107.666015625,-12.473659597437305
22,113.04931640625,-13.932740291429369
23,118.4326171875,-15.070937054032198
24,123.81591796875,-15.718247389299766
25,129.19921875,-16.25730444397903
26,134.58251953125,-17.327461166600948
27,139.9658203125,-19.5364448849099
28,145.34912109375,-23.033116377759413
29,150.732421875,-24.718210659482725
30,156.11572265625,-22.49521504253778
31,161.4990234375,-20.631614550976558
32,166.88232421875,-19.460941346286628
33,172.265625,-18.209929030702384
34,177.64892578125,-16.743187256059365
35,183.0322265625,-15.382522583806084
36,188.41552734375,-14.311787411026227
37,193.798828125,-13.5433422053778
38,199.18212890625,-13.065565777458817
39,204.5654296875,-12.910637471917788
40,209.94873046875,-13.15206047564896
41,215.33203125,-13.876224598234149
42,220.71533203125,-15.153142499010857
43,226.0986328125,-17.019081967059613
44,231.48193359375,-19.482300482991466
45,236.865234375,-22.58506565883158
46,242.24853515625,-26.566052735780154
47,247.6318359375,-31.58470583490282
48,253.01513671875,-32.28226581884663
49,258.3984375,-28.28620239010519
50,263.78173828125,-25.908646466296666
51,269.1650390625,-25.340995146944195
52,274.54833984375,-26.440124932985864
53,279.931640625,-29.360289183835228
54,285.31494140625,-34.02533676043599
55,290.6982421875,-34.927973352651
56,296.08154296875,-31.7152461229645
57,301.46484375,-29.932651918353386
58,306.84814453125,-29.30416388065934
59,312.2314453125,-28.980154866599758
60,317.61474609375,-28.41731592243594
61,322.998046875,-27.629434801603235
62,328.38134765625,-26.811037850513895
63,333.7646484375,-26.013309671642407
64,339.14794921875,-25.217367754638182
65,344.53125,-24.417363058499674
66,349.91455078125,-23.637371256908594
67,355.2978515625,-23.010074543737737
68,360.68115234375,-22.752529898459628
69,366.064453125,-22.943288904766636
70,371.44775390625,-23.255486164586628
71,376.8310546875,-22.971108168488573
72,382.21435546875,-21.842824462226645
73,387.59765625,-20.478471804836055
74,392.98095703125,-19.467838106027347
75,398.3642578125,-19.071213780208776
76,403.74755859375,-19.349190604900386
77,409.130859375,-20.230865512123316
78,414.51416015625,-21.53571859370093
79,419.8974609375,-23.02478545685503
80,425.28076171875,-24.486378222110353
81,430.6640625,-25.826342281401907
82,436.04736328125,-27.132687236778146
83,441.4306640625,-28.577419031497158
84,446.81396484375,-30.185418436903305
85,452.197265625,-31.74271066677648
86,457.58056640625,-32.95002986292957
87,462.9638671875,-33.846915724273344
88,468.34716796875,-34.949556538919275
89,473.73046875,-35.88640163376994
90,479.11376953125,-34.259777755870545
91,484.4970703125,-30.99897171434119
92,489.88037109375,-28.25330190468967
93,495.263671875,-26.398816959937186
94,500.64697265625,-25.48726193253359
95,506.0302734375,-25.615884504452026
96,511.41357421875,-26.86825395900832
97,516.796875,-29.08350088257411
98,522.18017578125,-30.89976544132668
99,527.5634765625,-30.032125712599026
100,532.94677734375,-27.72917455740428
101,538.330078125,-25.458880645112806
102,543.71337890625,-23.302714412551808
103,549.0966796875,-21.20747900148871
104,554.47998046875,-19.31289009898353
105,559.86328125,-17.87442788797653
106,565.24658203125,-17.142050950422668
107,570.6298828125,-17.305641377512
108,576.01318359375,-18.49890661214519
109,581.396484375,-20.81450136544005
110,586.77978515625,-24.25046902306756
111,592.1630859375,-28.262345036896434
112,597.54638671875,-30.690951174434122
113,602.9296875,-30.579598480683575
114,608.31298828125,-29.89805909508714
115,613.6962890625,-29.316323842641772
116,619.07958984375,-28.838563915716833
117,624.462890625,-28.624697551912725
118,629.84619140625,-28.869318650714515
119,635.2294921875,-29.513824391226144
120,640.61279296875,-30.112977785604546
121,645.99609375,-30.259857480870053
122,651.37939453125,-30.29804945632482
123,656.7626953125,-30.841006334863184
124,662.14599609375,-32.06627581301215
125,667.529296875,-33.7452470642837
126,672.91259765625,-35.68135857306588
127,678.2958984375,-37.71273498034033
128,683.67919921875,-38.44398148337676
129,689.0625,-37.00559925285292
130,694.44580078125,-35.23291106701186
131,699.8291015625,-33.888932260291014
132,705.21240234375,-32.71542280363234
133,710.595703125,-31.353046286009114
134,715.97900390625,-29.76462926684149
135,721.3623046875,-28.234562707834524
136,726.74560546875,-27.01866158562045
137,732.12890625,-26.17462224700501
138,737.51220703125,-25.66334647883312
139,742.8955078125,-25.51228496318215
140,748.27880859375,-25.850728475286534
141,753.662109375,-26.792402243820703
142,759.04541015625,-28.26122872611292
143,764.4287109375,-29.799344662193317
144,769.81201171875,-30.690915365613098
145,775.1953125,-30.78902968811097
146,780.57861328125,-30.64443961726658
147,785.9619140625,-30.857364797121765
148,791.34521484375,-32.00866274376218
149,796.728515625,-34.938249683494064
150,802.11181640625,-42.231432010413
151,807.4951171875,-48.38055776829798
152,812.87841796875,-36.78511500586684
153,818.26171875,-32.76040431404047
154,823.64501953125,-30.82268541823265
155,829.0283203125,-29.96001120360345
156,834.41162109375,-29.807426445408947
157,839.794921875,-30.236867113724042
158,845.17822265625,-31.261910843831973
159,850.5615234375,-33.04171442863095
160,855.94482421875,-35.88383315267783
161,861.328125,-39.45525058926768
162,866.71142578125,-39.437313209872926
163,872.0947265625,-36.70982402791709
164,877.47802734375,-35.503092915776875
165,882.861328125,-36.28637921359773
166,888.24462890625,-38.849513698100104
167,893.6279296875,-41.323252443803035
168,899.01123046875,-41.108338109626395
169,904.39453125,-41.16485491225652
170,909.77783203125,-43.50280222403384
171,915.1611328125,-48.7783354702843
172,920.54443359375,-51.48675670099949
173,925.927734375,-46.28618868289661
174,931.31103515625,-43.00119764417446
175,936.6943359375,-41.949552181944654
176,942.07763671875,-43.89641031973242
177,947.4609375,-54.088389967557895
178,952.84423828125,-47.306493477049685
179,958.2275390625,-40.28851779446154
180,963.61083984375,-38.23889513394037
181,968.994140625,-38.50392626808541
182,974.37744140625,-39.0884611412574
183,979.7607421875,-38.00725320127776
184,985.14404296875,-36.77541049795328
185,990.52734375,-37.17623720366019
186,995.91064453125,-40.36451014346649
187,1001.2939453125,-50.45863202196486
188,1006.67724609375,-46.810384766597
189,1012.060546875,-41.03942946056912
190,1017.44384765625,-40.84966087015989
191,1022.8271484375,-45.80592489005626
192,1028.21044921875,-44.180188052676314
193,1033.59375,-35.695743215463274
194,1038.97705078125,-31.365269268554364
195,1044.3603515625,-29.06800502783937
196,1049.74365234375,-28.022158790440113
197,1055.126953125,-27.7658055463218
198,1060.51025390625,-27.921917583093542
199,1065.8935546875,-28.23975380597462
200,1071.27685546875,-28.75243763950461
201,1076.66015625,-29.836437323530888
202,1082.04345703125,-32.11078803541902
203,1087.4267578125,-36.23762386237726
204,1092.81005859375,-40.482050857052485
205,1098.193359375,-39.27074502309636
206,1103.57666015625,-38.00273597093593
207,1108.9599609375,-37.7722271803283
208,1114.34326171875,-38.42171683447347
209,1119.7265625,-40.11184406273561
210,1125.10986328125,-39.22519406178339
211,1130.4931640625,-37.37810630920207
212,1135.87646484375,-36.990263738239456
213,1141.259765625,-35.728362153563424
214,1146.64306640625,-34.72149327099479
215,1152.0263671875,-35.05619106555428
216,1157.40966796875,-33.2219488323408
217,1162.79296875,-31.52396019561909
218,1168.17626953125,-34.07144176731406
219,1173.5595703125,-56.32937222933471
220,1178.94287109375,-32.63929046901359
221,1184.326171875,-28.19678517223768
222,1189.70947265625,-27.969840049858398
223,1195.0927734375,-31.200602224556423
224,1200.47607421875,-41.78638327688823
225,1205.859375,-38.50777810341681
226,1211.24267578125,-31.570021387234068
227,1216.6259765625,-29.41731844640001
228,1222.00927734375,-29.250476983353938
229,1227.392578125,-30.356457421063485
230,1232.77587890625,-32.15895614488355
231,1238.1591796875,-33.09779585199924
232,1243.54248046875,-32.51128898671415
233,1248.92578125,-32.51501898286439
234,1254.30908203125,-34.21653253101559
235,1259.6923828125,-36.74573846352777
236,1265.07568359375,-37.97088368566822
237,1270.458984375,-38.86772021188477
238,1275.84228515625,-37.97209317371815
239,1281.2255859375,-34.81520734230309
240,1286.60888671875,-33.18078327955244
241,1291.9921875,-33.8655261902007
242,1297.37548828125,-37.584516110864584
243,1302.7587890625,-50.86267368543262
244,1308.14208984375,-38.73348209294797
245,1313.525390625,-32.697578221125084
246,1318.90869140625,-30.828597534335287
247,1324.2919921875,-31.81788135497675
248,1329.67529296875,-35.720700912173356
249,1335.05859375,-42.37401696573301
250,1340.44189453125,-44.28222333458335
251,1345.8251953125,-36.80240878381737
252,1351.20849609375,-31.549343826600342
253,1356.591796875,-29.269355596741843
254,1361.97509765625,-29.048667861868978
255,1367.3583984375,-29.342871126128607
256,1372.74169921875,-28.844847984519983
257,1378.125,-28.279992702964208
258,1383.50830078125,-28.24023611271208
259,1388.8916015625,-28.892748863714267
260,1394.27490234375,-31.085235207117083
261,1399.658203125,-36.42331879297954
262,1405.04150390625,-41.24343564765722
263,1410.4248046875,-36.07483333169408
264,1415.80810546875,-34.54306591499978
265,1421.19140625,-35.94932336751548
266,1426.57470703125,-40.10052208875996
267,1431.9580078125,-42.050919865246605
268,1437.34130859375,-38.77754379821767
269,1442.724609375,-38.875234177504645
270,1448.10791015625,-39.86183217776479
271,1453.4912109375,-34.70071665663726
272,1458.87451171875,-30.687066881061927
273,1464.2578125,-29.027822187806102
274,1469.64111328125,-29.42202549918185
275,1475.0244140625,-32.221384433729064
276,1480.40771484375,-39.26455370703789
277,1485.791015625,-48.687842944745825
278,1491.17431640625,-41.64879935732728
279,1496.5576171875,-44.71522723336881
280,1501.94091796875,-52.36055764508987
281,1507.32421875,-41.44309022047875
282,1512.70751953125,-37.45551856241403
283,1518.0908203125,-34.224909682376875
284,1523.47412109375,-32.25163153767512
285,1528.857421875,-32.897079374025566
286,1534.24072265625,-37.97319806061903
287,1539.6240234375,-46.763294377897076
288,1545.00732421875,-36.16871582708782
289,1550.390625,-33.333399987782016
290,1555.77392578125,-33.09762818744581
291,1561.1572265625,-34.312593261010264
292,1566.54052734375,-37.96251739614084
293,1571.923828125,-40.89622616211393
294,1577.30712890625,-34.06306316142586
295,1582.6904296875,-30.562262387401308
