bin,freq(Hz),pow(dB/Hz)
1,0,-7.76585714333685
2,5.38330078125,-8.191805150678066
3,10.7666015625,-9.45855437630328
4,16.14990234375,-11.527608878035254
5,21.533203125,-14.325434483415336
6,26.91650390625,-17.781797129122783
7,32.2998046875,-22.076528079344335
8,37.68310546875,-28.065519846206413
9,43.06640625,-27.22566257184164
10,48.44970703125,-19.712187317000105
11,53.8330078125,-14.499007793084788
12,59.21630859375,-10.698458734596574
13,64.599609375,-7.887529365766709
14,69.98291015625,-5.91395560510355
15,75.3662109375,-4.715181149325439
16,80.74951171875,-4.263720769117494
17,86.1328125,-4.5615510449019325
18,91.51611328125,-5.6542001697110855
19,96.8994140625,-7.65019728071273
20,102.28271484375,-10.736291988581241
21,107.666015625,-15.141287562657382
22,113.04931640625,-20.596495013337886
23,118.4326171875,-24.25462648022613
24,123.81591796875,-25.34532404367802
25,129.19921875,-26.814427185744748
26,134.58251953125,-27.404738691391014
27,139.9658203125,-25.9840606270128
28,145.34912109375,-24.357385742822704
29,150.732421875,-23.21823753319105
30,156.11572265625,-22.529493508103723
31,161.4990234375,-22.256255711553067
32,166.88232421875,-22.44162228097856
33,172.265625,-23.242177033043802
34,177.64892578125,-25.0224923129335
35,183.0322265625,-28.602113316273066
36,188.41552734375,-36.72765795707168
37,193.798828125,-39.186365460230256
38,199.18212890625,-31.385172805734136
39,204.5654296875,-29.54972100492299
40,209.94873046875,-31.0365625879694
41,215.33203125,-36.35769374417557
42,220.71533203125,-35.48310917173787
43,226.0986328125,-29.135784666751423
44,231.48193359375,-26.050602328697043
45,236.865234375,-24.92295829642702
46,242.24853515625,-25.232479982215295
47,247.6318359375,-26.881118975047762
48,253.01513671875,-30.08295603490606
49,258.3984375,-34.705596651249145
50,263.78173828125,-34.23357322812645
51,269.1650390625,-30.151966464221456
52,274.54833984375,-27.894929022851525
53,279.931640625,-27.391442911617325
54,285.31494140625,-28.48327403283317
55,290.6982421875,-31.17400236484709
56,296.08154296875,-34.42002610246397
57,301.46484375,-33.63896289220862
58,306.84814453125,-30.69316570625121
59,312.2314453125,-28.52847815285397
60,317.61474609375,-27.078565404955466
61,322.998046875,-26.0927526751118
62,328.38134765625,-25.476913492617275
63,333.7646484375,-25.18173563567801
64,339.14794921875,-25.145792863450854
65,344.53125,-25.333805109746805
66,349.91455078125,-25.764970560944974
67,355.2978515625,-26.435518064487876
68,360.68115234375,-27.1751431350172
69,366.064453125,-27.654107427402312
70,371.44775390625,-27.74510404083605
71,376.8310546875,-27.73165673212086
72,382.21435546875,-27.95352789220938
73,387.59765625,-28.5554409841823
74,392.98095703125,-29.54948731916298
75,398.3642578125,-30.94284567103252
76,403.74755859375,-32.79815545298959
77,409.130859375,-35.190608837598184
78,414.51416015625,-38.09554745976416
79,419.8974609375,-41.26832285726353
80,425.28076171875,-44.1670470127866
81,430.6640625,-45.97569712208514
82,436.04736328125,-45.349525290942424
83,441.4306640625,-41.69887534721421
84,446.81396484375,-37.450037011229426
85,452.197265625,-34.05081095705518
86,457.58056640625,-31.675091209505787
87,462.9638671875,-30.221739796092795
88,468.34716796875,-29.56832089108676
89,473.73046875,-29.605122218883395
90,479.11376953125,-30.244528814137883
91,484.4970703125,-31.456319941933202
92,489.88037109375,-33.31947387676302
93,495.263671875,-36.03364876745331
94,500.64697265625,-39.757447959291056
95,506.0302734375,-43.30470751320509
96,511.41357421875,-42.691511368257125
97,516.796875,-39.71858264748368
98,522.18017578125,-36.67779847538064
99,527.5634765625,-33.81913351425434
100,532.94677734375,-31.384144784298144
101,538.330078125,-29.535335875066913
