bin,freq(Hz),pow(dB/Hz)
1,0,-14.524284775701497
2,10.7666015625,-8.276055771151995
3,21.533203125,-5.322460722216825
4,32.2998046875,-6.284827957123462
5,43.06640625,-10.722078906084175
6,53.8330078125,-7.985193655847672
7,64.599609375,-1.5379794321573086
8,75.3662109375,1.6061229905380623
9,86.1328125,2.024323053834797
10,96.8994140625,-0.08729416169275112
11,107.666015625,-4.090569245437148
12,118.4326171875,-5.595986628851088
13,129.19921875,-3.526228413883784
14,139.9658203125,-3.825140269318754
15,150.732421875,-10.71390349999238
16,161.4990234375,-5.55970369324831
17,172.265625,-0.6870215429430466
18,183.0322265625,-1.1660089609189597
19,193.798828125,-5.772636058012502
20,204.5654296875,-15.749003654157177
21,215.33203125,-19.62851537983194
22,226.0986328125,-17.345658190735364
23,236.865234375,-13.440523181026933
24,247.6318359375,-12.45024295391968
25,258.3984375,-14.506915473066817
26,269.1650390625,-15.911663193026836
27,279.931640625,-13.65512594071239
28,290.6982421875,-10.671229299084679
29,301.46484375,-9.730843012263634
30,312.2314453125,-11.632715589563405
31,322.998046875,-15.711974675562637
32,333.7646484375,-18.008228312554667
33,344.53125,-15.887031298540045
34,355.2978515625,-13.440509455101537
35,366.064453125,-12.46155667443493
36,376.8310546875,-13.022178919411967
37,387.59765625,-14.947589076638664
38,398.3642578125,-18.74513010399465
39,409.130859375,-23.26251518290207
40,419.8974609375,-20.791981948701142
41,430.6640625,-17.801138907169623
42,441.4306640625,-16.64116492378396
43,452.197265625,-17.333448239657802
44,462.9638671875,-18.795342574325616
45,473.73046875,-19.877603608214937
46,484.4970703125,-18.13561697863159
47,495.263671875,-15.306437316326097
48,506.0302734375,-14.443548144509199
49,516.796875,-16.357621916104033
50,527.5634765625,-25.27118949849794
51,538.330078125,-22.01927025155069
52,549.0966796875,-15.769322821992555
53,559.86328125,-15.21830947269892
54,570.6298828125,-16.49481715787467
55,581.396484375,-17.3449225331182
56,592.1630859375,-18.053810111974855
57,602.9296875,-20.442567587658363
58,613.6962890625,-21.16022257803826
59,624.462890625,-17.71913189411443
60,635.2294921875,-17.36278568258822
61,645.99609375,-21.35114931418563
62,656.7626953125,-28.971798626970724
63,667.529296875,-20.83985299491504
64,678.2958984375,-16.1875766457501
65,689.0625,-14.531539402531415
66,699.8291015625,-14.391319039680637
67,710.595703125,-14.424158132255497
68,721.3623046875,-14.468667053908602
69,732.12890625,-15.101726694454698
70,742.8955078125,-16.596932759514573
71,753.662109375,-19.644026064514144
72,764.4287109375,-26.627698600506946
73,775.1953125,-35.18771120154723
74,785.9619140625,-30.639948052465872
75,796.728515625,-32.831059510473395
76,807.4951171875,-28.80267176926585
77,818.26171875,-30.743578972234786
78,829.0283203125,-30.72015207656009
79,839.794921875,-27.42476474569552
80,850.5615234375,-27.525636732908183
81,861.328125,-28.774381173747766
82,872.0947265625,-30.794939780044935
83,882.861328125,-34.103336551524464
84,893.6279296875,-42.39991237483353
85,904.39453125,-35.409623574319866
86,915.1611328125,-29.668774981185226
87,925.927734375,-30.864416766005625
88,936.6943359375,-33.841795608731154
89,947.4609375,-22.317978383011425
90,958.2275390625,-17.869448981960364
91,968.994140625,-17.042195110319042
92,979.7607421875,-19.12237429189854
93,990.52734375,-25.179731283289474
94,1001.2939453125,-33.792893367633965
95,1012.060546875,-23.210813771981734
96,1022.8271484375,-19.975541714126827
97,1033.59375,-20.355955561662174
98,1044.3603515625,-23.688141026631246
99,1055.126953125,-25.487266556057875
100,1065.8935546875,-24.533861785531286
101,1076.66015625,-25.891361715932195
102,1087.4267578125,-31.76856594040696
103,1098.193359375,-39.412919809681654
104,1108.9599609375,-26.172253260912484
105,1119.7265625,-22.165986600436476
106,1130.4931640625,-21.924163036043737
107,1141.259765625,-25.28994310367096
108,1152.0263671875,-33.97910213974771
109,1162.79296875,-33.001988368396894
110,1173.5595703125,-27.304778239381772
111,1184.326171875,-28.45788407289403
112,1195.0927734375,-28.822675212198252
113,1205.859375,-21.72498904699683
114,1216.6259765625,-19.08796526949535
115,1227.392578125,-18.923484892243884
116,1238.1591796875,-20.565462433855124
117,1248.92578125,-24.961013881417408
118,1259.6923828125,-36.81997001278401
119,1270.458984375,-24.050474818148615
120,1281.2255859375,-19.478533793960256
121,1291.9921875,-19.084888365382177
122,1302.7587890625,-21.85649271908712
123,1313.525390625,-28.80914446035821
124,1324.2919921875,-41.824808640904266
125,1335.05859375,-39.394140850532494
126,1345.8251953125,-29.5186361416511
127,1356.591796875,-19.738219148620434
128,1367.3583984375,-15.017948798360427
129,1378.125,-12.90503835423408
130,1388.8916015625,-12.761758994160877
131,1399.658203125,-13.571352503133536
132,1410.4248046875,-13.270359511776713
133,1421.19140625,-12.938841754503613
134,1431.9580078125,-14.56056853948468
135,1442.724609375,-17.47918723713838
136,1453.4912109375,-17.504928103477738
137,1464.2578125,-14.983483037610664
138,1475.0244140625,-13.108287416047173
139,1485.791015625,-13.02230084399865
140,1496.5576171875,-14.987210351926226
141,1507.32421875,-19.28514607824271
142,1518.0908203125,-27.439041007206256
143,1528.857421875,-22.50220082886549
144,1539.6240234375,-15.862865387196056
145,1550.390625,-13.381095185480323
146,1561.1572265625,-12.104843541303119
147,1571.923828125,-10.770284236730037
148,1582.6904296875,-10.608604800608692
149,1593.45703125,-12.493956556137881
150,1604.2236328125,-15.982505756946155
151,1614.990234375,-21.075575319910218
152,1625.7568359375,-19.982474574770734
153,1636.5234375,-14.425879501162608
154,1647.2900390625,-11.502604680919049
155,1658.056640625,-9.515938754532877
156,1668.8232421875,-8.386705333790488
157,1679.58984375,-8.566186399599996
158,1690.3564453125,-9.839306874992818
159,1701.123046875,-11.753942647053837
160,1711.8896484375,-14.787607614225141
161,1722.65625,-19.227701807887335
162,1733.4228515625,-20.45213182885179
163,1744.189453125,-21.473969977377187
164,1754.9560546875,-24.528721347060504
165,1765.72265625,-16.646237691548556
166,1776.4892578125,-11.462394550726799
167,1787.255859375,-8.997473870622835
168,1798.0224609375,-8.565874858770151
169,1808.7890625,-10.61272675111037
170,1819.5556640625,-17.688515512449577
171,1830.322265625,-23.731128656895102
172,1841.0888671875,-13.04976878734307
173,1851.85546875,-9.49184692356085
174,1862.6220703125,-7.415041592490037
175,1873.388671875,-6.175156947985122
176,1884.1552734375,-5.750364004221802
177,1894.921875,-5.4317728396012965
178,1905.6884765625,-4.318041730913736
179,1916.455078125,-3.0229175918147226
180,1927.2216796875,-3.07243130192174
181,1937.98828125,-6.032388023879469
182,1948.7548828125,-16.393850718229896
183,1959.521484375,-10.069264909861115
184,1970.2880859375,-4.484819610991002
185,1981.0546875,-3.5233388653189235
186,1991.8212890625,-5.7867097748304115
187,2002.587890625,-11.890056413735799
188,2013.3544921875,-14.196146538396253
189,2024.12109375,-8.272417516741758
190,2034.8876953125,-5.413394804242044
191,2045.654296875,-4.522205083646133
192,2056.4208984375,-4.963842717504998
193,2067.1875,-5.627827309439233
194,2077.9541015625,-5.687131962646386
195,2088.720703125,-5.684365063983352
196,2099.4873046875,-5.114211480663673
197,2110.25390625,-4.241242145840154
198,2121.0205078125,-5.722825758763683
199,2131.787109375,-13.060038996916372
200,2142.5537109375,-6.864350526585142
201,2153.3203125,-0.5829234242346203
202,2164.0869140625,1.5361230939271977
203,2174.853515625,0.9536338472809711
204,2185.6201171875,-1.7721049008542733
205,2196.38671875,-5.596152809106146
206,2207.1533203125,-11.322227541133357
207,2217.919921875,-16.964961576074305
208,2228.6865234375,-5.33065024900652
209,2239.453125,-2.028594082067798
210,2250.2197265625,-2.2859520683942596
211,2260.986328125,-5.264758029218352
212,2271.7529296875,-9.737364585807383
213,2282.51953125,-10.270720766535177
214,2293.2861328125,-9.363203835869484
215,2304.052734375,-8.462877808355147
216,2314.8193359375,-6.055216150020274
217,2325.5859375,-4.789503763905957
218,2336.3525390625,-6.417606679242052
219,2347.119140625,-13.15268161532291
220,2357.8857421875,-13.167931632205098
221,2368.65234375,-4.8736334046133685
222,2379.4189453125,0.6781453602399248
223,2390.185546875,3.414407106831743
224,2400.9521484375,2.614265710976622
225,2411.71875,-4.376468546104439
226,2422.4853515625,-5.703025503433496
227,2433.251953125,2.9947876144372425
228,2444.0185546875,5.36821001255661
229,2454.78515625,5.011059608081078
230,2465.5517578125,2.513851926968232
231,2476.318359375,-2.378913684207751
232,2487.0849609375,-10.152538202896375
233,2497.8515625,-17.781855406353007
234,2508.6181640625,-16.68852508228717
235,2519.384765625,-18.569340273363693
236,2530.1513671875,-11.69487302754404
237,2540.91796875,-4.752523923554389
238,2551.6845703125,-2.6445498448357307
239,2562.451171875,-4.715177665929546
240,2573.2177734375,-15.924119861767213
241,2583.984375,-5.797706525898497
242,2594.7509765625,1.9081169989574922
243,2605.517578125,5.3156599563939135
244,2616.2841796875,6.16226205799963
245,2627.05078125,3.8799609448717365
246,2637.8173828125,-5.279484233960572
247,2648.583984375,5.209979051745615
248,2659.3505859375,10.448612427256387
249,2670.1171875,11.511781981001224
250,2680.8837890625,9.728630848338497
251,2691.650390625,5.255180583432554
252,2702.4169921875,-3.1299854549873047
