bin,freq(Hz),pow(dB/Hz)
1,0,-16.322846758227204
2,5.38330078125,-17.288752192356114
3,10.7666015625,-20.386360856427824
4,16.14990234375,-26.52379803471174
5,21.533203125,-36.00922381602209
6,26.91650390625,-29.855863432273118
7,32.2998046875,-25.521051823872334
8,37.68310546875,-22.827234979736094
9,43.06640625,-21.164134291981654
10,48.44970703125,-20.11231061415321
11,53.8330078125,-18.975420982092434
12,59.21630859375,-17.490340831321923
13,64.599609375,-15.905733223325132
14,69.98291015625,-14.489001795699412
15,75.3662109375,-13.373963635035322
16,80.74951171875,-12.319808460524373
17,86.1328125,-10.884550868329159
18,91.51611328125,-9.269469479889658
19,96.8994140625,-8.15162932315624
20,102.28271484375,-7.961464473374605
21,107.666015625,-8.82597730729327
22,113.04931640625,-10.649595749842733
23,118.4326171875,-12.98549110131792
24,123.81591796875,-14.925904354206569
25,129.19921875,-15.818006921428708
26,134.58251953125,-15.848366803220443
27,139.9658203125,-15.395292077544628
28,145.34912109375,-14.884796820705574
29,150.732421875,-14.724063106450078
30,156.11572265625,-14.997821277808827
31,161.4990234375,-15.381692828543327
32,166.88232421875,-15.457342309841362
33,172.265625,-15.278574407775722
34,177.64892578125,-15.431761745541806
35,183.0322265625,-16.510706680609363
36,188.41552734375,-18.58229571130655
37,193.798828125,-20.432555077243585
38,199.18212890625,-20.453736707972368
39,204.5654296875,-19.10003935662904
40,209.94873046875,-16.983530622037268
41,215.33203125,-15.107022988136102
42,220.71533203125,-14.329935528783281
43,226.0986328125,-14.942934030662101
44,231.48193359375,-17.030606042578484
45,236.865234375,-20.612151161636362
46,242.24853515625,-24.78308928887867
47,247.6318359375,-25.75151304609993
48,253.01513671875,-24.71519672667028
49,258.3984375,-24.91874394500528
50,263.78173828125,-26.86315709960098
51,269.1650390625,-30.012022499079414
52,274.54833984375,-30.88967266446386
53,279.931640625,-29.050719651619534
54,285.31494140625,-27.905196094163816
55,290.6982421875,-27.4511017448769
56,296.08154296875,-26.83969912598303
57,301.46484375,-26.246605897223112
58,306.84814453125,-26.493701428263865
59,312.2314453125,-28.08534634696992
60,317.61474609375,-31.309543837773575
61,322.998046875,-36.53357355969052
62,328.38134765625,-42.57352924922914
63,333.7646484375,-41.509400018493295
64,339.14794921875,-39.71033594001643
65,344.53125,-40.01815244212628
