bin,freq(Hz),pow(dB/Hz)
1,0,-12.14001407118193
2,5.38330078125,-12.697457289065506
3,10.7666015625,-14.482830495416295
4,16.14990234375,-18.005922576872937
5,21.533203125,-25.11679520871189
6,26.91650390625,-25.24347628599005
7,32.2998046875,-17.061172030515774
8,37.68310546875,-12.263421311922098
9,43.06640625,-8.711912169870754
10,48.44970703125,-5.711618327172044
11,53.8330078125,-3.0902290475389975
12,59.21630859375,-0.9817656606004086
13,64.599609375,0.35712734599103485
14,69.98291015625,0.6846962370695515
15,75.3662109375,-0.20853253565715127
16,80.74951171875,-2.5581638072348256
17,86.1328125,-6.728778457810469
18,91.51611328125,-13.221649119401777
19,96.8994140625,-19.04137359001059
20,102.28271484375,-17.900265974415902
21,107.666015625,-16.70017960701739
22,113.04931640625,-15.351096024351696
23,118.4326171875,-13.914015296187621
24,123.81591796875,-12.94250016610452
25,129.19921875,-12.372174466598773
26,134.58251953125,-11.957042803991492
27,139.9658203125,-11.716822417498056
28,145.34912109375,-11.954102698251571
29,150.732421875,-13.012332673772956
30,156.11572265625,-15.147458683116257
31,161.4990234375,-18.482669823738135
32,166.88232421875,-22.761385603426618
33,172.265625,-26.720336597471235
34,177.64892578125,-27.94806465067609
35,183.0322265625,-24.813385853882917
36,188.41552734375,-20.74884300571675
37,193.798828125,-17.73149632905971
38,199.18212890625,-15.799463428303355
39,204.5654296875,-14.722775191978466
40,209.94873046875,-14.280658240479749
41,215.33203125,-14.282196327001468
42,220.71533203125,-14.571160647376868
43,226.0986328125,-15.009075130778191
44,231.48193359375,-15.439335879381144
45,236.865234375,-15.71986220743576
46,242.24853515625,-15.840860902558727
47,247.6318359375,-15.958929574748115
48,253.01513671875,-16.29603840369178
49,258.3984375,-17.03547194298339
50,263.78173828125,-18.251134120578143
51,269.1650390625,-19.84183423232877
52,274.54833984375,-21.5149732190902
53,279.931640625,-22.94454686316665
54,285.31494140625,-24.010977144475014
55,290.6982421875,-24.771265637098384
56,296.08154296875,-25.26625853825908
57,301.46484375,-25.480499124261655
58,306.84814453125,-25.409154577765122
59,312.2314453125,-24.91142159013898
60,317.61474609375,-23.6270705762798
61,322.998046875,-21.693427994242676
62,328.38134765625,-19.857105033966487
63,333.7646484375,-18.67356930862504
64,339.14794921875,-18.358958260975648
65,344.53125,-18.979910724859486
66,349.91455078125,-20.564229396136405
67,355.2978515625,-23.116471974043513
68,360.68115234375,-26.554257239466864
69,366.064453125,-30.785468592081344
70,371.44775390625,-36.608612056075344
71,376.8310546875,-38.663183937091205
72,382.21435546875,-32.082918307871765
73,387.59765625,-28.89269432716889
74,392.98095703125,-28.33687434511738
75,398.3642578125,-30.117781733998644
76,403.74755859375,-34.661885298541776
77,409.130859375,-37.56762129761904
78,414.51416015625,-32.102417805210216
79,419.8974609375,-28.767844440574933
80,425.28076171875,-27.541253510610296
81,430.6640625,-28.043704441451677
82,436.04736328125,-30.218676628944593
83,441.4306640625,-32.8238575439865
84,446.81396484375,-31.70331595525749
85,452.197265625,-29.51332748049917
86,457.58056640625,-29.20996095361243
87,462.9638671875,-31.537694817258913
88,468.34716796875,-39.167515280447006
89,473.73046875,-41.25189870330147
90,479.11376953125,-32.03427098079169
91,484.4970703125,-28.748552066525484
92,489.88037109375,-27.42831598846498
93,495.263671875,-26.977301880116183
94,500.64697265625,-26.81160011129404
95,506.0302734375,-26.681049531727197
96,511.41357421875,-26.673042811804343
97,516.796875,-27.109768453540944
98,522.18017578125,-28.465724253423264
99,527.5634765625,-31.56747168335364
100,532.94677734375,-38.737587898955375
101,538.330078125,-37.519244624319875
102,543.71337890625,-29.918185741473344
103,549.0966796875,-26.295143419516513
104,554.47998046875,-24.637132133206308
105,559.86328125,-24.356111381497293
106,565.24658203125,-25.22334422635587
107,570.6298828125,-27.07852344581495
108,576.01318359375,-29.558954841520496
109,581.396484375,-31.503475711734964
110,586.77978515625,-31.559253149272113
111,592.1630859375,-30.816535136489463
112,597.54638671875,-30.985966708288018
113,602.9296875,-33.27512944875279
114,608.31298828125,-40.55910521164606
115,613.6962890625,-41.88163337174477
116,619.07958984375,-33.34177515861113
117,624.462890625,-30.581594201593777
118,629.84619140625,-30.29393787252487
119,635.2294921875,-31.606324254794295
120,640.61279296875,-34.0303051574557
121,645.99609375,-37.102411786481525
122,651.37939453125,-40.05709653871044
123,656.7626953125,-41.2031740678026
124,662.14599609375,-39.18212974769758
125,667.529296875,-35.436204886578146
126,672.91259765625,-31.898902536262092
127,678.2958984375,-29.31952614445768
128,683.67919921875,-27.874376458668255
129,689.0625,-27.654381537926255
130,694.44580078125,-28.84417474501268
131,699.8291015625,-31.86556590006184
132,705.21240234375,-37.737964319141156
133,710.595703125,-45.32429687105237
134,715.97900390625,-41.02568346400283
135,721.3623046875,-38.016179922816164
136,726.74560546875,-34.64348878664982
137,732.12890625,-31.071892975442744
138,737.51220703125,-28.62014943605756
139,742.8955078125,-27.57938248055285
140,748.27880859375,-28.036854227805563
141,753.662109375,-30.248235658410355
142,759.04541015625,-34.33159719623089
143,764.4287109375,-34.90534844236975
144,769.81201171875,-30.56777035759708
145,775.1953125,-27.614000739511336
146,780.57861328125,-26.02063743333214
147,785.9619140625,-25.362651174733642
148,791.34521484375,-25.407534787088494
149,796.728515625,-25.975297187067913
