,individuals,tipo,dB 1er armónico - F0
0,A,alfa,27.503985203719864
1,A,alfa,-9.495122518254544
2,A,alfa,2.1382517764711224
3,A,alfa,29.171291048067626
4,A,alfa,-7.248387186401267
5,A,alfa,-7.899327075502827
6,A,alfa,28.290691272675513
7,A,alfa,-9.091141542220756
8,A,alfa,2.981174570638119
9,A,alfa,24.264873416239777
10,A,alfa,-7.1021977633350595
11,A,alfa,-6.19885335851246
12,A,alfa,33.166172888226484
13,A,alfa,-3.1560946035371114
14,A,alfa,0.9429231723898077
15,A,alfa,27.589856280317385
16,A,alfa,-3.8027397788680055
17,A,alfa,-7.516651814853152
18,A,alfa,27.884047585400133
19,A,alfa,0.7357064180379709
20,A,alfa,-5.743777184252536
21,A,alfa,25.453461695088716
22,A,alfa,0.35363908731608795
23,A,alfa,-3.9577863688849853
24,A,alfa,28.369098474967895
25,A,alfa,0.5248909865143805
26,A,alfa,-8.808392379332432
27,A,alfa,31.3414625156105
28,A,alfa,0.688773967853372
29,A,alfa,-3.3250686536166114
30,A,alfa,31.65029030820806
31,A,alfa,-4.198690628017252
32,A,alfa,-4.250922103161519
33,A,alfa,32.58894532019835
34,A,alfa,-0.4750806498579472
35,A,alfa,1.4313200446420655
36,A,alfa,21.019188268850407
37,A,alfa,-1.963625535774172
38,A,alfa,-8.23346291783206
39,A,alfa,26.60647886879336
40,A,alfa,-2.6274547932112298
41,A,alfa,-0.49859216337146606
42,A,alfa,27.624977772371626
43,A,alfa,-8.519947716696857
44,A,alfa,-3.7188760362750344
45,A,alfa,27.099874372646823
46,A,alfa,-0.943337983010867
47,A,alfa,-8.292611838764504
48,A,alfa,29.191662137242197
49,A,alfa,-8.1565237980964
50,A,alfa,-1.6567468719216976
51,A,alfa,22.156684143338303
52,A,alfa,-7.003714121535811
53,A,alfa,-3.0393505312312747
54,A,alfa,29.258603637421917
55,A,alfa,-6.697295007811622
56,A,alfa,1.32205763926747
57,A,beta,-2.9438160515596623
58,A,beta,-22.488935975900155
59,A,beta,-12.434536351846917
60,A,beta,1.7623502729069758
61,A,beta,-15.448445048209145
62,A,beta,-4.396480913790079
63,A,beta,8.215138577050464
64,A,beta,-17.237117314647605
65,A,beta,-7.243493048205974
66,A,beta,8.541020858033207
67,A,beta,-8.47599896912891
68,A,beta,-8.789311571507199
69,A,beta,5.823586668551996
70,A,beta,-8.37812803062614
71,A,beta,-4.807890234292964
72,A,beta,1.3579407521078553
73,A,beta,-9.118874840883109
74,A,beta,-1.3551283584678036
75,A,beta,-0.14620315063408107
76,A,beta,-13.397547602960898
77,A,beta,-6.718262460143784
78,A,beta,12.288751038766293
79,A,beta,-16.851785060013754
80,A,beta,2.9619105806761628
81,A,beta,-6.835968417114924
82,A,beta,-16.882428627389377
83,A,beta,-13.894170855285449
84,A,beta,2.461683872898341
85,A,beta,-14.82212874790372
86,A,beta,-4.656542076573216
87,A,beta,7.572028749371127
88,A,beta,-10.751732741437142
89,A,beta,-21.590811315860773
90,A,beta,2.963755240077094
91,A,beta,-5.822071281341069
92,A,beta,0.5961797434637859
93,A,beta,4.9181973996213015
94,A,beta,-9.760415729439305
95,A,beta,-12.094617959005099
96,A,beta,0.8881524528439924
97,A,beta,-12.685952977002266
98,A,beta,-10.882930836448425
99,A,beta,-0.9853211906509625
100,A,beta,-10.844998056693953
101,A,beta,-10.837951181221754
102,A,beta,-4.070813284309868
103,A,beta,-15.660540955140343
104,A,beta,-17.648995769430165
105,A,beta,2.1275426201113863
106,A,beta,-8.294120982093112
107,A,beta,-20.98831104459969
108,A,beta,1.8267191385106765
109,A,beta,-4.503583676278021
110,A,beta,-8.642258657743447
111,A,beta,20.677830944777305
112,A,beta,-8.352195578429793
113,A,beta,-26.154635105882164
114,A,beta,12.230173995705341
115,A,beta,-6.5520063784219795
116,A,beta,-10.142498337731377
117,A,beta,11.005802701361958
118,A,beta,-0.2959007836990035
119,A,beta,-12.221152419108432
120,A,beta,-0.8069956074732598
121,A,beta,-9.776927342227417
122,A,beta,-6.130057098027958
123,A,beta,10.884443949666377
124,A,beta,-20.849587431008743
125,A,beta,3.0425891663223528
126,A,beta,18.542467349590204
127,A,beta,-0.8496818998108153
128,A,beta,-25.870157725202333
129,B,alfa,30.39205388907117
130,B,alfa,-5.213127601348003
131,B,alfa,0.5050250649440766
132,B,alfa,20.817208029033303
133,B,alfa,-4.407772928829637
134,B,alfa,7.116374948409732
135,B,alfa,27.2962955291501
136,B,alfa,-9.175946222097604
137,B,alfa,0.7750836508838841
138,B,alfa,22.047936126763076
139,B,alfa,-8.600974342553057
